id,url,levels,word,translation,part_of_speech,ipa,audio_link
a_priori,https://www.oxfordlearnersdictionaries.com/definition/english/a-priori,C2,a priori,tiên nghiệm,"adjective,adverb",/ˌeɪ praɪˈɔːraɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/a_p/a_pri/a_priori_1_gb_1.mp3
expected,https://www.oxfordlearnersdictionaries.com/definition/english/expected,B1,expected,hy vọng,adjective,/ɪkˈspektɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/exp/expec/expected__gb_1.mp3
forecast,https://www.oxfordlearnersdictionaries.com/definition/english/forecast_1,B2,forecast,dự báo,noun,/ˈfɔːkɑːst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/for/forec/forecast__gb_3.mp3
easily,https://www.oxfordlearnersdictionaries.com/definition/english/easily,C1,easily,một cách dễ dàng,adverb,/ˈiːzəli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eas/easil/easily__gb_3.mp3
expect,https://www.oxfordlearnersdictionaries.com/definition/english/expect,B2,expect,trông chờ,verb,/ɪkˈspekt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/exp/expec/expect__gb_1.mp3
admit_of,https://www.oxfordlearnersdictionaries.com/definition/english/admit-of,C2,admit of,thừa nhận,phrasal verb,,
as_likely_as_not,https://www.oxfordlearnersdictionaries.com/definition/english/likely_2,B1,as likely as not,có thể như không,adverb,/ˈlaɪkli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lik/likel/likely__gb_2.mp3
forecast,https://www.oxfordlearnersdictionaries.com/definition/english/forecast_2,B2,forecast,dự báo,verb,/ˈfɔːkɑːst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/for/forec/forecast__gb_3.mp3
(as)_like_as_not,https://www.oxfordlearnersdictionaries.com/definition/english/like_7,C2,(as) like as not,(như) thích như không,adverb,/laɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lik/like_/like__gb_1.mp3
a_good/safe/sure_bet,https://www.oxfordlearnersdictionaries.com/definition/english/bet_2,C2,a good/safe/sure bet,một vụ cá cược tốt/an toàn/chắc chắn,noun,/bet/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bet/bet__/bet__gb_2.mp3
imagine,https://www.oxfordlearnersdictionaries.com/definition/english/imagine,B1,imagine,tưởng tượng,verb,/ɪˈmædʒɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ima/imagi/imagine__gb_1.mp3
i_dare_say,https://www.oxfordlearnersdictionaries.com/definition/english/dare_1,C2,I dare say,Tôi dám nói,verb,/deə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dar/dare_/dare__gb_1.mp3
likely,https://www.oxfordlearnersdictionaries.com/definition/english/likely_1,A2,likely,rất có thể,adjective,/ˈlaɪkli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lik/likel/likely__gb_2.mp3
no_doubt,https://www.oxfordlearnersdictionaries.com/definition/english/doubt_1,B2,no doubt,không còn nghi ngờ gì nữa,noun,/daʊt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dou/doubt/doubt__gb_1.mp3
lend_colour_to_something,https://www.oxfordlearnersdictionaries.com/definition/english/lend,C2,lend colour to something,cho cái gì đó mượn màu sắc,verb,/lend/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/len/lend_/lend__gb_3.mp3
ought_to,https://www.oxfordlearnersdictionaries.com/definition/english/ought-to,B2,ought to,nên,modal verb,/ˈɔːt tə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/oug/ought/ought_to_1_gb_1.mp3
outlook,https://www.oxfordlearnersdictionaries.com/definition/english/outlook,C1,outlook,triển vọng,noun,/ˈaʊtlʊk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/out/outlo/outlook__gb_1.mp3
paradox,https://www.oxfordlearnersdictionaries.com/definition/english/paradox,C1,paradox,nghịch lý,noun,/ˈpærədɒks/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/par/parad/paradox__gb_1.mp3
paradoxical,https://www.oxfordlearnersdictionaries.com/definition/english/paradoxical,C1,paradoxical,nghịch lý,adjective,/ˌpærəˈdɒksɪkl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/par/parad/paradoxical__gb_1.mp3
look,https://www.oxfordlearnersdictionaries.com/definition/english/look_1,B1,look,Nhìn,verb,/lʊk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/loo/look_/look__gb_1.mp3
presumably,https://www.oxfordlearnersdictionaries.com/definition/english/presumably,C1,presumably,có lẽ,adverb,/prɪˈzjuːməbli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pre/presu/presumably__gb_1.mp3
