id,url,levels,word,translation,part_of_speech,ipa,audio_link
ace,https://www.oxfordlearnersdictionaries.com/definition/english/ace_1,C2,ace,quân át,noun,/eɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ace/ace__/ace__gb_1.mp3
achiever,https://www.oxfordlearnersdictionaries.com/definition/english/achiever,C1,achiever,người thành đạt,noun,/əˈtʃiːvə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ach/achie/achiever__gb_1.mp3
advantaged,https://www.oxfordlearnersdictionaries.com/definition/english/advantaged,C1,advantaged,được thuận lợi,adjective,/ədˈvɑːntɪdʒd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advan/advantaged__gb_1.mp3
a_hard/tough_act_to_follow,https://www.oxfordlearnersdictionaries.com/definition/english/act_2,C2,a hard/tough act to follow,một hành động khó khăn/khó khăn để làm theo,noun,/ækt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/act__/act__gb_2.mp3
big_hitter,https://www.oxfordlearnersdictionaries.com/definition/english/big-hitter,C2,big hitter,người đánh lớn,noun,/ˌbɪɡ ˈhɪtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/big/big_h/big_hitter_1_gb_1.mp3
a-lister,https://www.oxfordlearnersdictionaries.com/definition/english/a-lister,C2,A-lister,hạng A,noun,/ˈeɪ lɪstə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/a_l/a_lis/a_lister_1_gb_1.mp3
big_league,https://www.oxfordlearnersdictionaries.com/definition/english/big-league_1,C2,big league,giải đấu lớn,noun,/ˈbɪɡ liːɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/big/big_l/big_league_1_gb_1.mp3
a-list,https://www.oxfordlearnersdictionaries.com/definition/english/a-list,C2,A-list,Danh sách A,adjective,/ˈeɪ lɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/a_l/a_lis/a_list_1_gb_1.mp3
big_man_on_campus,https://www.oxfordlearnersdictionaries.com/definition/english/big-man-on-campus,C2,Big Man on Campus,Người đàn ông lớn trong khuôn viên trường,noun,/ˌbɪɡ mæn ɒn ˈkæmpəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/big/big_m/big_man_on_campus_1_gb_1.mp3
b-list,https://www.oxfordlearnersdictionaries.com/definition/english/b-list,C2,B-list,Danh sách B,adjective,/ˈbiː lɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/b_l/b_lis/b_list_1_gb_1.mp3
bhadralok,https://www.oxfordlearnersdictionaries.com/definition/english/bhadralok,C2,bhadralok,bhadralok,noun,/ˈbʌdrəlɒk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bha/bhadr/bhadralok__gb_2.mp3
bright_young_thing,https://www.oxfordlearnersdictionaries.com/definition/english/bright-young-thing,C2,bright young thing,điều trẻ trung tươi sáng,noun,/ˌbraɪt jʌŋ ˈθɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/brigh/bright_young_thing_1_gb_1.mp3
comer,https://www.oxfordlearnersdictionaries.com/definition/english/comer,C2,comer,người đến,noun,/ˈkʌmə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/comer/comer__gb_1.mp3
great,https://www.oxfordlearnersdictionaries.com/definition/english/great_2,C1,great,Tuyệt,noun,/ɡreɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gre/great/great__gb_1.mp3
distinguished,https://www.oxfordlearnersdictionaries.com/definition/english/distinguished,C1,distinguished,phân biệt,adjective,/dɪˈstɪŋɡwɪʃt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/disti/distinguished__gb_1.mp3
bmoc,https://www.oxfordlearnersdictionaries.com/definition/english/bmoc,C2,BMOC,BMOC,abbreviation,/ˌbiː em əʊ ˈsiː/,
golden_oldie,https://www.oxfordlearnersdictionaries.com/definition/english/golden-oldie,C2,golden oldie,người già vàng,noun,/ˌɡəʊldən ˈəʊldi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gol/golde/golden_oldie_1_gb_1.mp3
buccaneer,https://www.oxfordlearnersdictionaries.com/definition/english/buccaneer,C2,buccaneer,người khai thác hải sản,noun,/ˌbʌkəˈnɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/buc/bucca/buccaneer__gb_1.mp3
hit,https://www.oxfordlearnersdictionaries.com/definition/english/hit_2,A2,hit,đánh,noun,/hɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hit/hit__/hit__gb_1.mp3
hotshot,https://www.oxfordlearnersdictionaries.com/definition/english/hotshot_1,C2,hotshot,nóng bỏng,noun,/ˈhɒtʃɒt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hot/hotsh/hotshot__gb_1.mp3
high-flyer,https://www.oxfordlearnersdictionaries.com/definition/english/high-flyer,C2,high-flyer,người bay cao,noun,/ˌhaɪ ˈflaɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hig/high_/high_flyer_1_gb_1.mp3
enfant_terrible,https://www.oxfordlearnersdictionaries.com/definition/english/enfant-terrible,C2,enfant terrible,trẻ con khủng khiếp,noun,/ˌɒ̃fɒ̃ teˈriːbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/enf/enfan/enfant_terrible_1_gb_1.mp3
heavy_hitter,https://www.oxfordlearnersdictionaries.com/definition/english/heavy-hitter,C2,heavy hitter,người đánh nặng,noun,/ˌhevi ˈhɪtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hea/heavy/heavy_hitter_1_gb_1.mp3
