id,url,levels,word,translation,part_of_speech,ipa,audio_link
cheeky,https://www.oxfordlearnersdictionaries.com/definition/english/cheeky,C1,cheeky,táo bạo,adjective,/ˈtʃiːki/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/che/cheek/cheeky__gb_2.mp3
cheek,https://www.oxfordlearnersdictionaries.com/definition/english/cheek_1,C1,cheek,má,noun,/tʃiːk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/che/cheek/cheek__gb_2.mp3
blabber,https://www.oxfordlearnersdictionaries.com/definition/english/blabber,C2,blabber,nói ba hoa,verb,/ˈblæbə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bla/blabb/blabber__gb_1.mp3
blimp,https://www.oxfordlearnersdictionaries.com/definition/english/blimp,C2,blimp,khí cầu,noun,/blɪmp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bli/blimp/blimp__gb_2.mp3
annoying,https://www.oxfordlearnersdictionaries.com/definition/english/annoying,B1,annoying,khó chịu,adjective,/əˈnɔɪɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ann/annoy/annoying__gb_1.mp3
blimpish,https://www.oxfordlearnersdictionaries.com/definition/english/blimpish,C2,blimpish,mụn nhọt,adjective,/ˈblɪmpɪʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bli/blimp/blimpish__gb_1.mp3
be_the_limit,https://www.oxfordlearnersdictionaries.com/definition/english/limit_1,C2,be the limit,là giới hạn,noun,/ˈlɪmɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lim/limit/limit__gb_2.mp3
colonel_blimp,https://www.oxfordlearnersdictionaries.com/definition/english/colonel-blimp,C2,Colonel Blimp,Đại tá Blimp,noun,/ˌkɜːnl ˈblɪmp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/colon/colonel_blimp_1_gb_1.mp3
exasperating,https://www.oxfordlearnersdictionaries.com/definition/english/exasperating,C2,exasperating,bực tức,adjective,/ɪɡˈzæspəreɪtɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/exa/exasp/exasperating__gb_1.mp3
goad,https://www.oxfordlearnersdictionaries.com/definition/english/goad_1,C2,goad,gậy nhọn,verb,/ɡəʊd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/goa/goad_/goad__gb_2.mp3
bullheaded,https://www.oxfordlearnersdictionaries.com/definition/english/bullheaded,C2,bullheaded,đầu bò,adjective,/ˌbʊlˈhedɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bul/bullh/bullheaded__gb_4.mp3
busybody,https://www.oxfordlearnersdictionaries.com/definition/english/busybody,C2,busybody,người bận rộn,noun,/ˈbɪzibɒdi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bus/busyb/busybody__gb_3.mp3
gripe,https://www.oxfordlearnersdictionaries.com/definition/english/gripe_2,C2,gripe,chuôi,verb,/ɡraɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gri/gripe/gripe__gb_1.mp3
grouse,https://www.oxfordlearnersdictionaries.com/definition/english/grouse_2,C2,grouse,gà gô,verb,/ɡraʊs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gro/grous/grouse__gb_1.mp3
importunate,https://www.oxfordlearnersdictionaries.com/definition/english/importunate,C2,importunate,thúc giục,adjective,/ɪmˈpɔːtʃənət/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/imp/impor/importunate__gb_1.mp3
have_a_big_mouth,https://www.oxfordlearnersdictionaries.com/definition/english/big_1,C2,have a big mouth,có một cái miệng lớn,adjective,/bɪɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/big/big__/big__gb_2.mp3
importune,https://www.oxfordlearnersdictionaries.com/definition/english/importune,C2,importune,xin,verb,/ˌɪmpɔːˈtjuːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/imp/impor/importune__gb_1.mp3
coy,https://www.oxfordlearnersdictionaries.com/definition/english/coy,C2,coy,nhút nhát,adjective,/kɔɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coy/coy__/coy__gb_1.mp3
