id,url,levels,word,translation,part_of_speech,ipa,audio_link
bathroom,https://www.oxfordlearnersdictionaries.com/definition/english/bathroom,A1,bathroom,phòng tắm,noun,/ˈbɑːθruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bat/bathr/bathroom__gb_1.mp3
box_room,https://www.oxfordlearnersdictionaries.com/definition/english/box-room,C2,box room,phòng hộp,noun,/ˈbɒks ruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/box/box_r/box_room_1_gb_1.mp3
attic,https://www.oxfordlearnersdictionaries.com/definition/english/attic,B2,attic,gác mái,noun,/ˈætɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/att/attic/attic__gb_1.mp3
basement,https://www.oxfordlearnersdictionaries.com/definition/english/basement,B2,basement,tầng hầm,noun,/ˈbeɪsmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bas/basem/basement__gb_2.mp3
cellar,https://www.oxfordlearnersdictionaries.com/definition/english/cellar,B2,cellar,hầm,noun,/ˈselə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cel/cella/cellar__gb_1.mp3
comfort_room,https://www.oxfordlearnersdictionaries.com/definition/english/comfort-room,C2,comfort room,phòng tiện nghi,noun,/ˈkʌmfət ruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/comfo/comfort_room_1_gb_1.mp3
boiler_room,https://www.oxfordlearnersdictionaries.com/definition/english/boiler-room,C2,boiler room,phòng nồi hơi,noun,/ˈbɔɪlə ruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boi/boile/boiler_room_1_gb_1.mp3
closet,https://www.oxfordlearnersdictionaries.com/definition/english/closet_1,B2,closet,buồng nhỏ,noun,/ˈklɒzɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/clo/close/closet__gb_2.mp3
ballroom,https://www.oxfordlearnersdictionaries.com/definition/english/ballroom,C1,ballroom,phòng khiêu vũ,noun,/ˈbɔːlruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bal/ballr/ballroom__gb_1.mp3
bedroom,https://www.oxfordlearnersdictionaries.com/definition/english/bedroom_1,A1,bedroom,phòng ngủ,noun,/ˈbedruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bed/bedro/bedroom__gb_1.mp3
conservatory,https://www.oxfordlearnersdictionaries.com/definition/english/conservatory,C2,conservatory,nhạc viện,noun,/kənˈsɜːvətri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconservatory__gb_1.mp3
entrance_hall,https://www.oxfordlearnersdictionaries.com/definition/english/entrance-hall,C1,entrance hall,tiền sảnh,noun,/ˈentrəns hɔːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ent/entra/entrance_hall_1_gb_1.mp3
en_suite,https://www.oxfordlearnersdictionaries.com/definition/english/en-suite_1,C1,en suite,phòng tắm riêng,"adjective,adverb",/ˌɒ̃ ˈswiːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/en_/en_su/en_suite_1_gb_1.mp3
dining_room,https://www.oxfordlearnersdictionaries.com/definition/english/dining-room,A1,dining room,phòng ăn,noun,/ˈdaɪnɪŋ ruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/din/dinin/dining_room_1_gb_1.mp3
garage,https://www.oxfordlearnersdictionaries.com/definition/english/garage_1,B1,garage,ga-ra,noun,/ˈɡærɑːʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gar/garag/garage__gb_6.mp3
drawing_room,https://www.oxfordlearnersdictionaries.com/definition/english/drawing-room,C2,drawing room,phòng vẽ,noun,/ˈdrɔːɪŋ ruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dra/drawi/drawing_room_1_gb_1.mp3
family_room,https://www.oxfordlearnersdictionaries.com/definition/english/family-room,B2,family room,phòng gia đình,noun,/ˈfæməli ruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fam/famil/family_room_1_gb_1.mp3
dormitory,https://www.oxfordlearnersdictionaries.com/definition/english/dormitory,C1,dormitory,ký túc xá,noun,/ˈdɔːmətri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dor/dormi/dormitory__gb_3.mp3
front_room,https://www.oxfordlearnersdictionaries.com/definition/english/front-room,B2,front room,phòng phía trước,noun,/ˌfrʌnt ˈruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fro/front/front_room_1_gb_1.mp3
dressing_room,https://www.oxfordlearnersdictionaries.com/definition/english/dressing-room,C2,dressing room,phòng thay đồ,noun,/ˈdresɪŋ ruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dre/dress/dressing_room_1_gb_1.mp3
larder,https://www.oxfordlearnersdictionaries.com/definition/english/larder,C2,larder,cái tủ đựng thức ăn,noun,/ˈlɑːdə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lar/larde/larder__gb_1.mp3
granny_flat,https://www.oxfordlearnersdictionaries.com/definition/english/granny-flat,C2,granny flat,căn hộ bà nội,noun,/ˈɡræni flæt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gra/grann/granny_flat_1_gb_1.mp3
kitchen,https://www.oxfordlearnersdictionaries.com/definition/english/kitchen,A1,kitchen,phòng bếp,noun,/ˈkɪtʃɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/k/kit/kitch/kitchen__gb_2.mp3
hall,https://www.oxfordlearnersdictionaries.com/definition/english/hall,A2,hall,sảnh,noun,/hɔːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hal/hall_/hall__gb_2.mp3
landing,https://www.oxfordlearnersdictionaries.com/definition/english/landing,C1,landing,hạ cánh,noun,/ˈlændɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lan/landi/landing__gb_1.mp3
home_office,https://www.oxfordlearnersdictionaries.com/definition/english/home-office,B2,home office,văn phòng tại nhà,noun,/ˌhəʊm ˈɒfɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hom/home_/home_office_1_gb_6.mp3
library,https://www.oxfordlearnersdictionaries.com/definition/english/library,A1,library,thư viện,noun,/ˈlaɪbrəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lib/libra/library__gb_1.mp3
lavatory,https://www.oxfordlearnersdictionaries.com/definition/english/lavatory,C2,lavatory,nhà vệ sinh,noun,/ˈlævətri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lav/lavat/lavatory__gb_1.mp3
living_room,https://www.oxfordlearnersdictionaries.com/definition/english/living-room,A1,living room,phòng khách,noun,/ˈlɪvɪŋ ruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/liv/livin/living_room_1_gb_1.mp3
hallway,https://www.oxfordlearnersdictionaries.com/definition/english/hallway,A2,hallway,hành lang,noun,/ˈhɔːlweɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hal/hallw/hallway__gb_2.mp3
loo,https://www.oxfordlearnersdictionaries.com/definition/english/loo,C1,loo,ồ,noun,/luː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/loo/loo__/loo__gb_1.mp3
lounge,https://www.oxfordlearnersdictionaries.com/definition/english/lounge_1,B2,lounge,phòng chờ,noun,/laʊndʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lou/loung/lounge__gb_1.mp3
loft,https://www.oxfordlearnersdictionaries.com/definition/english/loft_1,C1,loft,gác xép,noun,/lɒft/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lof/loft_/loft__gb_1.mp3
mudroom,https://www.oxfordlearnersdictionaries.com/definition/english/mudroom,C2,mudroom,phòng tắm bùn,noun,/ˈmʌdruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mud/mudro/mudroom__gb_1.mp3
nursery,https://www.oxfordlearnersdictionaries.com/definition/english/nursery_1,C2,nursery,vườn ươm,noun,/ˈnɜːsəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/nur/nurse/nursery__gb_1.mp3
pantry,https://www.oxfordlearnersdictionaries.com/definition/english/pantry,C2,pantry,phòng đựng thức ăn,noun,/ˈpæntri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pan/pantr/pantry__gb_1.mp3
office,https://www.oxfordlearnersdictionaries.com/definition/english/office,A1,office,văn phòng,noun,/ˈɒfɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/off/offic/office__gb_2.mp3
man_cave,https://www.oxfordlearnersdictionaries.com/definition/english/man-cave,C2,man cave,Hang người,noun,/ˈmæn keɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/man/man_c/man_cave_1_gb_1.mp3
panic_room,https://www.oxfordlearnersdictionaries.com/definition/english/panic-room,C2,panic room,phòng hoảng loạn,noun,/ˈpænɪk ruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pan/panic/panic_room_1_gb_1.mp3
passage,https://www.oxfordlearnersdictionaries.com/definition/english/passage,B2,passage,đoạn văn,noun,/ˈpæsɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pas/passa/passage__gb_1.mp3
playroom,https://www.oxfordlearnersdictionaries.com/definition/english/playroom,B2,playroom,phòng chơi,noun,/ˈpleɪruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pla/playr/playroom__gb_1.mp3
sauna,https://www.oxfordlearnersdictionaries.com/definition/english/sauna,C1,sauna,tắm hơi,noun,/ˈsɔːnə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sau/sauna/sauna__gb_1.mp3
recreation_room,https://www.oxfordlearnersdictionaries.com/definition/english/recreation-room,C2,recreation room,phòng giải trí,noun,/ˌrekriˈeɪʃn ruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rec/recre/recreation_room_1_gb_1.mp3
room,https://www.oxfordlearnersdictionaries.com/definition/english/room_1,A1,room,phòng,noun,/ruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/roo/room_/room__gb_3.mp3
rec_room,https://www.oxfordlearnersdictionaries.com/definition/english/rec-room,C2,rec room,phòng giải trí,noun,/ˈrek ruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rec/rec_r/rec_room_1_gb_1.mp3
safe_room,https://www.oxfordlearnersdictionaries.com/definition/english/safe-room,C2,safe room,phòng an toàn,noun,/ˈseɪf ruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/saf/safe_/safe_room_1_gb_1.mp3
reception_room,https://www.oxfordlearnersdictionaries.com/definition/english/reception-room,C2,reception room,phòng tiếp tân,noun,/rɪˈsepʃn ruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rec/recep/reception_room_1_gb_1.mp3
studio,https://www.oxfordlearnersdictionaries.com/definition/english/studio,B1,studio,phòng thu,noun,/ˈstjuːdiəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/stu/studi/studio__gb_1.mp3
study,https://www.oxfordlearnersdictionaries.com/definition/english/study_1,B1,study,học,noun,/ˈstʌdi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/stu/study/study__gb_2.mp3
