id,url,levels,word,translation,part_of_speech,ipa,audio_link
agile,https://www.oxfordlearnersdictionaries.com/definition/english/agile,C2,agile,nhanh nhẹn,adjective,/ˈædʒaɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/agi/agile/agile__gb_1.mp3
brainy,https://www.oxfordlearnersdictionaries.com/definition/english/brainy,C1,brainy,thông minh,adjective,/ˈbreɪni/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bra/brain/brainy__gb_1.mp3
astute,https://www.oxfordlearnersdictionaries.com/definition/english/astute,C2,astute,sắc sảo,adjective,/əˈstjuːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ast/astut/astute__gb_1.mp3
articulate,https://www.oxfordlearnersdictionaries.com/definition/english/articulate_2,C1,articulate,nói rõ ràng,adjective,/ɑːˈtɪkjələt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/art/artic/articulate__gb_1.mp3
able,https://www.oxfordlearnersdictionaries.com/definition/english/able_1,C1,able,có thể,adjective,/ˈeɪbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abl/able_/able__gb_1.mp3
brilliant,https://www.oxfordlearnersdictionaries.com/definition/english/brilliant,A2,brilliant,xuất sắc,adjective,/ˈbrɪliənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/brill/brilliant__gb_1.mp3
academic,https://www.oxfordlearnersdictionaries.com/definition/english/academic_1,B1,academic,học thuật,adjective,/ˌækəˈdemɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aca/acade/academic__gb_2.mp3
bright,https://www.oxfordlearnersdictionaries.com/definition/english/bright_1,B2,bright,sáng,adjective,/braɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/brigh/bright_1_gb_1.mp3
brainbox,https://www.oxfordlearnersdictionaries.com/definition/english/brainbox,C2,brainbox,hộp não,noun,/ˈbreɪnbɒks/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bra/brain/brainbox__gb_1.mp3
boy_wonder,https://www.oxfordlearnersdictionaries.com/definition/english/boy-wonder,C2,boy wonder,cậu bé thắc mắc,noun,/ˌbɔɪ ˈwʌndə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boy/boy_w/boy_wonder_1_gb_1.mp3
highbrow,https://www.oxfordlearnersdictionaries.com/definition/english/highbrow,C2,highbrow,trí thức,adjective,/ˈhaɪbraʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hig/highb/highbrow__gb_1.mp3
canny,https://www.oxfordlearnersdictionaries.com/definition/english/canny,C2,canny,khôn ngoan,adjective,/ˈkæni/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/can/canny/canny__gb_1.mp3
incisive,https://www.oxfordlearnersdictionaries.com/definition/english/incisive,C2,incisive,sắc bén,adjective,/ɪnˈsaɪsɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/inc/incis/incisive__gb_1.mp3
intellect,https://www.oxfordlearnersdictionaries.com/definition/english/intellect,C1,intellect,trí tuệ,noun,/ˈɪntəlekt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/int/intel/intellect__gb_1.mp3
ingenious,https://www.oxfordlearnersdictionaries.com/definition/english/ingenious,C1,ingenious,khéo léo,adjective,/ɪnˈdʒiːniəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ing/ingen/ingenious__gb_1.mp3
genius,https://www.oxfordlearnersdictionaries.com/definition/english/genius_1,B2,genius,thiên tài,noun,/ˈdʒiːniəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gen/geniu/genius__gb_2.mp3
ingenuity,https://www.oxfordlearnersdictionaries.com/definition/english/ingenuity,C2,ingenuity,ngây thơ,noun,/ˌɪndʒəˈnjuːəti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ing/ingen/ingenuity__gb_1.mp3
clever,https://www.oxfordlearnersdictionaries.com/definition/english/clever,A2,clever,thông minh,adjective,/ˈklevə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cle/cleve/clever__gb_1.mp3
intelligent,https://www.oxfordlearnersdictionaries.com/definition/english/intelligent,A2,intelligent,thông minh,adjective,/ɪnˈtelɪdʒənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/int/intel/intelligent__gb_1.mp3
mastermind,https://www.oxfordlearnersdictionaries.com/definition/english/mastermind_1,C2,mastermind,kẻ chủ mưu,noun,/ˈmɑːstəmaɪnd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mas/maste/mastermind__gb_1.mp3
prodigy,https://www.oxfordlearnersdictionaries.com/definition/english/prodigy,B2,prodigy,thần đồng,noun,/ˈprɒdədʒi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pro/prodi/prodigy__gb_1.mp3
quick-witted,https://www.oxfordlearnersdictionaries.com/definition/english/quick-witted,C2,quick-witted,nhanh trí,adjective,/ˌkwɪk ˈwɪtɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/q/qui/quick/quick_witted_1_gb_3.mp3
sharp,https://www.oxfordlearnersdictionaries.com/definition/english/sharp_1,B2,sharp,sắc,adjective,/ʃɑːp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sha/sharp/sharp__gb_1.mp3
razor-sharp,https://www.oxfordlearnersdictionaries.com/definition/english/razor-sharp,C2,razor-sharp,sắc như dao cạo,adjective,/ˌreɪzə ˈʃɑːp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/raz/razor/razor_sharp_1_gb_1.mp3
smart,https://www.oxfordlearnersdictionaries.com/definition/english/smart_1,B1,smart,thông minh,adjective,/smɑːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sma/smart/smart__gb_1.mp3
shrewd,https://www.oxfordlearnersdictionaries.com/definition/english/shrewd,C2,shrewd,thông minh,adjective,/ʃruːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/shr/shrew/shrewd__gb_1.mp3
whizz-kid,https://www.oxfordlearnersdictionaries.com/definition/english/whizz-kid,C2,whizz-kid,đứa trẻ điên cuồng,noun,/ˈwɪz kɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/whi/whizz/whizz_kid_1_gb_1.mp3
wisdom,https://www.oxfordlearnersdictionaries.com/definition/english/wisdom,B2,wisdom,khôn ngoan,noun,/ˈwɪzdəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wis/wisdo/wisdom__gb_1.mp3
wise,https://www.oxfordlearnersdictionaries.com/definition/english/wise_1,B2,wise,khôn ngoan,adjective,/waɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wis/wise_/wise__gb_1.mp3
streetwise,https://www.oxfordlearnersdictionaries.com/definition/english/streetwise,C2,streetwise,theo đường phố,adjective,/ˈstriːtwaɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/str/stree/streetwise__gb_1.mp3
wit,https://www.oxfordlearnersdictionaries.com/definition/english/wit,C1,wit,trí thông minh,noun,/wɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wit/wit__/wit__gb_1.mp3
witty,https://www.oxfordlearnersdictionaries.com/definition/english/witty,C1,witty,hóm hỉnh,adjective,/ˈwɪti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wit/witty/witty__gb_1.mp3
street_smarts,https://www.oxfordlearnersdictionaries.com/definition/english/street-smarts,C2,street smarts,thông minh đường phố,noun,/ˈstriːt smɑːts/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/str/stree/street_smarts_1_gb_1.mp3
street-smart,https://www.oxfordlearnersdictionaries.com/definition/english/street-smart,C2,street-smart,thông minh trên đường phố,adjective,/ˈstriːt smɑːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/str/stree/street_smart_1_gb_1.mp3
