id,url,levels,word,translation,part_of_speech,ipa,audio_link
bloom,https://www.oxfordlearnersdictionaries.com/definition/english/bloom_2,C2,bloom,hoa,verb,/bluːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blo/bloom/bloom__gb_2.mp3
beam,https://www.oxfordlearnersdictionaries.com/definition/english/beam_2,C2,beam,chùm tia,verb,/biːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bea/beam_/beam__gb_2.mp3
amusement,https://www.oxfordlearnersdictionaries.com/definition/english/amusement,B2,amusement,vui chơi giải trí,noun,/əˈmjuːzmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/amu/amuse/amusement__gb_1.mp3
blithe,https://www.oxfordlearnersdictionaries.com/definition/english/blithe,C2,blithe,vui tươi,adjective,/blaɪð/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bli/blith/blithe__gb_2.mp3
belong,https://www.oxfordlearnersdictionaries.com/definition/english/belong,B1,belong,thuộc về,verb,/bɪˈlɒŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bel/belon/belong__gb_2.mp3
cheerful,https://www.oxfordlearnersdictionaries.com/definition/english/cheerful,B1,cheerful,vui vẻ,adjective,/ˈtʃɪəfl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/che/cheer/cheerful__gb_3.mp3
caper,https://www.oxfordlearnersdictionaries.com/definition/english/caper_2,C2,caper,bạch hoa,verb,/ˈkeɪpə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cap/caper/caper__gb_1.mp3
(as)_pleased/proud_as_punch,https://www.oxfordlearnersdictionaries.com/definition/english/punch_3,C2,(as) pleased/proud as Punch,(as) hài lòng/tự hào như Punch,,/pʌntʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pun/punch/punch__gb_1.mp3
blissful,https://www.oxfordlearnersdictionaries.com/definition/english/blissful,C2,blissful,hạnh phúc,adjective,/ˈblɪsfl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bli/bliss/blissful__gb_3.mp3
delirious,https://www.oxfordlearnersdictionaries.com/definition/english/delirious,C2,delirious,mê sảng,adjective,/dɪˈlɪriəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/del/delir/delirious__gb_3.mp3
delighted,https://www.oxfordlearnersdictionaries.com/definition/english/delighted,B2,delighted,vui mừng,adjective,/dɪˈlaɪtɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/del/delig/delighted__gb_1.mp3
cheery,https://www.oxfordlearnersdictionaries.com/definition/english/cheery,C2,cheery,vui vẻ,adjective,/ˈtʃɪəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/che/cheer/cheery__gb_1.mp3
ecstatic,https://www.oxfordlearnersdictionaries.com/definition/english/ecstatic,C1,ecstatic,ngây ngất,adjective,/ɪkˈstætɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ecs/ecsta/ecstatic__gb_1.mp3
content,https://www.oxfordlearnersdictionaries.com/definition/english/content2_1,C1,content,nội dung,adjective,/kənˈtent/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcont/xcontent__gb_3.mp3
elated,https://www.oxfordlearnersdictionaries.com/definition/english/elated,C2,elated,hân hoan,adjective,/ɪˈleɪtɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ela/elate/elated__gb_1.mp3
be_tickled_pink,https://www.oxfordlearnersdictionaries.com/definition/english/tickle_1,C2,be tickled pink,bị nhột màu hồng,verb,/ˈtɪkl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tic/tickl/tickle__gb_1.mp3
enjoy,https://www.oxfordlearnersdictionaries.com/definition/english/enjoy,A2,enjoy,thưởng thức,verb,/ɪnˈdʒɔɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/enj/enjoy/enjoy__gb_3.mp3
chuffed,https://www.oxfordlearnersdictionaries.com/definition/english/chuffed,C2,chuffed,hân hoan,adjective,/tʃʌft/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chu/chuff/chuffed__gb_2.mp3
