id,url,levels,word,translation,part_of_speech,ipa,audio_link
contractual,https://www.oxfordlearnersdictionaries.com/definition/english/contractual,C2,contractual,hợp đồng,adjective,/kənˈtræktʃuəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcont/xcontractual__gb_1.mp3
article,https://www.oxfordlearnersdictionaries.com/definition/english/article,C2,article,bài báo,noun,/ˈɑːtɪkl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/art/artic/article__gb_1.mp3
affidavit,https://www.oxfordlearnersdictionaries.com/definition/english/affidavit,C2,affidavit,lời khai có tuyên thệ,noun,/ˌæfəˈdeɪvɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aff/affid/affidavit__gb_1.mp3
clause,https://www.oxfordlearnersdictionaries.com/definition/english/clause,B2,clause,điều khoản,noun,/klɔːz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cla/claus/clause__gb_1.mp3
birth_certificate,https://www.oxfordlearnersdictionaries.com/definition/english/birth-certificate,B2,birth certificate,giấy khai sinh,noun,/ˈbɜːθ sətɪfɪkət/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bir/birth/birth_certificate_1_gb_1.mp3
contract,https://www.oxfordlearnersdictionaries.com/definition/english/contract_1,B2,contract,hợp đồng,noun,/ˈkɒntrækt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcont/xcontract__gb_3.mp3
boilerplate,https://www.oxfordlearnersdictionaries.com/definition/english/boilerplate,C2,boilerplate,bản soạn sẵn,noun,/ˈbɔɪləpleɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boi/boile/boilerplate__gb_2.mp3
bond,https://www.oxfordlearnersdictionaries.com/definition/english/bond_1,C1,bond,trái phiếu,noun,/bɒnd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bon/bond_/bond__gb_2.mp3
agreement,https://www.oxfordlearnersdictionaries.com/definition/english/agreement,B1,agreement,hiệp định,noun,/əˈɡriːmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/agr/agree/agreement__gb_1.mp3
canadian_charter_of_rights_and_freedoms,https://www.oxfordlearnersdictionaries.com/definition/english/the-canadian-charter-of-rights-and-freedoms,C2,Canadian Charter of Rights and Freedoms,Hiến chương về Quyền và Tự do của Canada,noun,/ðə kəˌneɪdiən ˌtʃɑːtər əv ˌraɪts ən ˈfriːdəmz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/the/the_c/the_canadian_charter_of_rights_and_freedoms_1_gb_1.mp3
conveyance,https://www.oxfordlearnersdictionaries.com/definition/english/conveyance,C2,conveyance,sự vận chuyển,noun,/kənˈveɪəns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconv/xconveyance__gb_1.mp3
declaration,https://www.oxfordlearnersdictionaries.com/definition/english/declaration,C1,declaration,tuyên ngôn,noun,/ˌdekləˈreɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dec/decla/declaration__gb_2.mp3
debenture,https://www.oxfordlearnersdictionaries.com/definition/english/debenture,C2,debenture,giấy nợ,noun,/dɪˈbentʃə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/deb/deben/debenture__gb_3.mp3
