id,url,levels,word,translation,part_of_speech,ipa,audio_link
agitated,https://www.oxfordlearnersdictionaries.com/definition/english/agitated,C1,agitated,bị kích động,adjective,/ˈædʒɪteɪtɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/agi/agita/agitated__gb_1.mp3
edgy,https://www.oxfordlearnersdictionaries.com/definition/english/edgy,C2,edgy,sắc sảo,adjective,/ˈedʒi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/edg/edgy_/edgy__gb_1.mp3
diffident,https://www.oxfordlearnersdictionaries.com/definition/english/diffident,C2,diffident,khác thường,adjective,/ˈdɪfɪdənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dif/diffi/diffident__gb_1.mp3
dread,https://www.oxfordlearnersdictionaries.com/definition/english/dread_1,C1,dread,sợ hãi,verb,/dred/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dre/dread/dread__gb_2.mp3
brood,https://www.oxfordlearnersdictionaries.com/definition/english/brood_1,C2,brood,bố mẹ,verb,/bruːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/brood/brood__gb_1.mp3
be_a_bag/bundle_of_nerves,https://www.oxfordlearnersdictionaries.com/definition/english/nerve_1,C2,be a bag/bundle of nerves,là một túi / bó dây thần kinh,noun,/nɜːv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/ner/nerve/nerve__gb_1.mp3
dread,https://www.oxfordlearnersdictionaries.com/definition/english/dread_2,C1,dread,sợ hãi,noun,/dred/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dre/dread/dread__gb_2.mp3
be_on_edge,https://www.oxfordlearnersdictionaries.com/definition/english/edge_1,C2,be on edge,ở bên lề,noun,/edʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/edg/edge_/edge__gb_1.mp3
fidget,https://www.oxfordlearnersdictionaries.com/definition/english/fidget_1,C2,fidget,bồn chồn,verb,/ˈfɪdʒɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fid/fidge/fidget__gb_1.mp3
fidgety,https://www.oxfordlearnersdictionaries.com/definition/english/fidgety,C2,fidgety,bồn chồn,adjective,/ˈfɪdʒɪti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fid/fidge/fidgety__gb_1.mp3
