id,url,levels,word,translation,part_of_speech,ipa,audio_link
cloudy,https://www.oxfordlearnersdictionaries.com/definition/english/cloudy,B1,cloudy,nhiều mây,adjective,/ˈklaʊdi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/clo/cloud/cloudy__gb_1.mp3
azure,https://www.oxfordlearnersdictionaries.com/definition/english/azure_2,C2,azure,màu xanh,noun,/ˈæʒə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/azu/azure/azure__gb_1.mp3
cirrus,https://www.oxfordlearnersdictionaries.com/definition/english/cirrus,C2,cirrus,tua quăn,noun,/ˈsɪrəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cir/cirru/cirrus__gb_1.mp3
cover,https://www.oxfordlearnersdictionaries.com/definition/english/cover_2,C1,cover,che phủ,noun,/ˈkʌvə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cov/cover/cover__gb_1.mp3
bolt,https://www.oxfordlearnersdictionaries.com/definition/english/bolt_1,C2,bolt,chốt,noun,/bəʊlt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bol/bolt_/bolt__gb_2.mp3
azure,https://www.oxfordlearnersdictionaries.com/definition/english/azure_1,C2,azure,màu xanh,adjective,/ˈæʒə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/azu/azure/azure__gb_1.mp3
cloud,https://www.oxfordlearnersdictionaries.com/definition/english/cloud_1,A2,cloud,đám mây,noun,/klaʊd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/clo/cloud/cloud__gb_1.mp3
clear,https://www.oxfordlearnersdictionaries.com/definition/english/clear_1,A2,clear,thông thoáng,adjective,/klɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cle/clear/clear__gb_1.mp3
crepuscular,https://www.oxfordlearnersdictionaries.com/definition/english/crepuscular,C2,crepuscular,hoàng hôn,adjective,/krɪˈpʌskjələ(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cre/crepu/crepuscular__gb_1.mp3
cloudless,https://www.oxfordlearnersdictionaries.com/definition/english/cloudless,B2,cloudless,không có mây,adjective,/ˈklaʊdləs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/clo/cloud/cloudless__gb_1.mp3
