id,url,levels,word,translation,part_of_speech,ipa,audio_link
anodyne,https://www.oxfordlearnersdictionaries.com/definition/english/anodyne,C2,anodyne,thuốc giảm đau,adjective,/ˈænədaɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ano/anody/anodyne__gb_1.mp3
affirmative,https://www.oxfordlearnersdictionaries.com/definition/english/affirmative_1,C1,affirmative,khẳng định,adjective,/əˈfɜːmətɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aff/affir/affirmative__gb_1.mp3
affirmative,https://www.oxfordlearnersdictionaries.com/definition/english/affirmative_2,C1,affirmative,khẳng định,noun,/əˈfɜːmətɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aff/affir/affirmative__gb_1.mp3
absolutely,https://www.oxfordlearnersdictionaries.com/definition/english/absolutely,B1,absolutely,tuyệt đối,adverb,/ˈæbsəluːtli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absol/absolutely__gb_6.mp3
affirmatively,https://www.oxfordlearnersdictionaries.com/definition/english/affirmatively,C1,affirmatively,khẳng định,adverb,/əˈfɜːmətɪvli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aff/affir/affirmatively__gb_1.mp3
all_right,https://www.oxfordlearnersdictionaries.com/definition/english/all-right_1,A2,all right,được rồi,exclamation,/ɔːl ˈraɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/all_r/all_right_1_gb_2.mp3
approbation,https://www.oxfordlearnersdictionaries.com/definition/english/approbation,C2,approbation,sự chấp thuận,noun,/ˌæprəˈbeɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/appro/approbation__gb_1.mp3
agree,https://www.oxfordlearnersdictionaries.com/definition/english/agree,A1,agree,đồng ý,verb,/əˈɡriː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/agr/agree/agree__gb_1.mp3
align_yourself_with,https://www.oxfordlearnersdictionaries.com/definition/english/align-yourself-with,C2,align yourself with,căn chỉnh bản thân với,phrasal verb,,
alright,https://www.oxfordlearnersdictionaries.com/definition/english/alright_1,A2,alright,được rồi,exclamation,/ɔːlˈraɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alr/alrig/alright__gb_2.mp3
approval,https://www.oxfordlearnersdictionaries.com/definition/english/approval,B2,approval,sự chấp thuận,noun,/əˈpruːvl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/appro/approval__gb_1.mp3
approve,https://www.oxfordlearnersdictionaries.com/definition/english/approve,B2,approve,chấp thuận,verb,/əˈpruːv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/appro/approve__gb_2.mp3
associate,https://www.oxfordlearnersdictionaries.com/definition/english/associate_1,C2,associate,kết hợp,verb,/əˈsəʊsieɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ass/assoc/associate__gb_2.mp3
check,https://www.oxfordlearnersdictionaries.com/definition/english/check_3,C2,check,kiểm tra,exclamation,/tʃek/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/che/check/check__gb_2.mp3
can’t_be_bad,https://www.oxfordlearnersdictionaries.com/definition/english/bad_1,C2,can’t be bad,không thể tệ được,adjective,/bæd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bad/bad__/bad__gb_2.mp3
assent,https://www.oxfordlearnersdictionaries.com/definition/english/assent_1,C2,assent,đồng ý,noun,/əˈsent/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ass/assen/assent__gb_1.mp3
be_in/out_of_tune_(with_somebody/something),https://www.oxfordlearnersdictionaries.com/definition/english/tune_1,C2,be in/out of tune (with somebody/something),không đồng điệu (với ai/cái gì),noun,/tjuːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tun/tune_/tune__gb_1.mp3
assent,https://www.oxfordlearnersdictionaries.com/definition/english/assent_2,C2,assent,đồng ý,verb,/əˈsent/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ass/assen/assent__gb_1.mp3
