id,url,levels,word,translation,part_of_speech,ipa,audio_link
altitude,https://www.oxfordlearnersdictionaries.com/definition/english/altitude,C1,altitude,độ cao,noun,/ˈæltɪtjuːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alt/altit/altitude__gb_1.mp3
col,https://www.oxfordlearnersdictionaries.com/definition/english/col_1,C2,col,col,noun,/kɒl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/col__/col__gb_1.mp3
corrie,https://www.oxfordlearnersdictionaries.com/definition/english/corrie_1,C2,corrie,bánh ngọt,noun,/ˈkɒri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cor/corri/corrie__gb_1.mp3
craggy,https://www.oxfordlearnersdictionaries.com/definition/english/craggy,C2,craggy,hiểm trở,adjective,/ˈkræɡi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cra/cragg/craggy__gb_1.mp3
canyon,https://www.oxfordlearnersdictionaries.com/definition/english/canyon,B2,canyon,hẻm núi,noun,/ˈkænjən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/can/canyo/canyon__gb_1.mp3
avalanche,https://www.oxfordlearnersdictionaries.com/definition/english/avalanche,B2,avalanche,trận tuyết lở,noun,/ˈævəlɑːnʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ava/avala/avalanche__gb_6.mp3
cave,https://www.oxfordlearnersdictionaries.com/definition/english/cave_1,B2,cave,hang,noun,/keɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cav/cave_/cave__gb_4.mp3
crag,https://www.oxfordlearnersdictionaries.com/definition/english/crag,C2,crag,vách đá,noun,/kræɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cra/crag_/crag__gb_1.mp3
brow,https://www.oxfordlearnersdictionaries.com/definition/english/brow,C2,brow,lông mày,noun,/braʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/brow_/brow__gb_1.mp3
cairn,https://www.oxfordlearnersdictionaries.com/definition/english/cairn,C2,cairn,cai đá,noun,/keən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cai/cairn/cairn__gb_4.mp3
