id,url,levels,word,translation,part_of_speech,ipa,audio_link
cookware,https://www.oxfordlearnersdictionaries.com/definition/english/cookware,C2,cookware,dụng cụ nấu nướng,noun,/ˈkʊkweə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coo/cookw/cookware__gb_1.mp3
appliance,https://www.oxfordlearnersdictionaries.com/definition/english/appliance,B2,appliance,thiết bị,noun,/əˈplaɪəns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/appli/appliance__gb_1.mp3
cosmetic,https://www.oxfordlearnersdictionaries.com/definition/english/cosmetic_1,B2,cosmetic,mỹ phẩm,noun,/kɒzˈmetɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cos/cosme/cosmetic__gb_1.mp3
book,https://www.oxfordlearnersdictionaries.com/definition/english/book_1,A1,book,sách,noun,/bʊk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/book_/book__gb_2.mp3
accessory,https://www.oxfordlearnersdictionaries.com/definition/english/accessory_1,C1,accessory,phụ kiện,noun,/əkˈsesəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/acces/accessory__gb_1.mp3
crockery,https://www.oxfordlearnersdictionaries.com/definition/english/crockery,C2,crockery,đồ sành sứ,noun,/ˈkrɒkəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cro/crock/crockery__gb_1.mp3
craft,https://www.oxfordlearnersdictionaries.com/definition/english/craft_1,B2,craft,thủ công,noun,/krɑːft/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cra/craft/craft__gb_1.mp3
clothing,https://www.oxfordlearnersdictionaries.com/definition/english/clothing,A2,clothing,quần áo,noun,/ˈkləʊðɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/clo/cloth/clothing__gb_1.mp3
cutlery,https://www.oxfordlearnersdictionaries.com/definition/english/cutlery,C1,cutlery,dao kéo,noun,/ˈkʌtləri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cut/cutle/cutlery__gb_1.mp3
bedding,https://www.oxfordlearnersdictionaries.com/definition/english/bedding,C2,bedding,bộ đồ giường,noun,/ˈbedɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bed/beddi/bedding__gb_3.mp3
department,https://www.oxfordlearnersdictionaries.com/definition/english/department,A2,department,phòng,noun,/dɪˈpɑːtmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dep/depar/department__gb_2.mp3
electrical,https://www.oxfordlearnersdictionaries.com/definition/english/electrical,A2,electrical,điện,adjective,/ɪˈlektrɪkl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ele/elect/electrical__gb_2.mp3
gadget,https://www.oxfordlearnersdictionaries.com/definition/english/gadget,B1,gadget,tiện ích,noun,/ˈɡædʒɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gad/gadge/gadget__gb_2.mp3
fragrance,https://www.oxfordlearnersdictionaries.com/definition/english/fragrance,C1,fragrance,hương thơm,noun,/ˈfreɪɡrəns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fra/fragr/fragrance__gb_1.mp3
