id,url,levels,word,translation,part_of_speech,ipa,audio_link
abolish,https://www.oxfordlearnersdictionaries.com/definition/english/abolish,C1,abolish,bãi bỏ,verb,/əˈbɒlɪʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abo/aboli/abolish__gb_2.mp3
abortion,https://www.oxfordlearnersdictionaries.com/definition/english/abortion,C1,abortion,phá thai,noun,/əˈbɔːʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abo/abort/abortion__gb_1.mp3
absent_1,https://www.oxfordlearnersdictionaries.com/definition/english/absent_1,C1,absent,vắng mặt,adjective,/ˈæbsənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absen/absent__gb_4.mp3
absence,https://www.oxfordlearnersdictionaries.com/definition/english/absence,C1,absence,sự vắng mặt,noun,/ˈæbsəns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absen/absence__gb_1.mp3
absurd,https://www.oxfordlearnersdictionaries.com/definition/english/absurd,C1,absurd,vô lý,adjective,/əbˈsɜːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absur/absurd__gb_1.mp3
abundance,https://www.oxfordlearnersdictionaries.com/definition/english/abundance,C1,abundance,sự phong phú,noun,/əˈbʌndəns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abu/abund/abundance__gb_1.mp3
abuse_1,https://www.oxfordlearnersdictionaries.com/definition/english/abuse_1,C1,abuse,lạm dụng,noun,/əˈbjuːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abu/abuse/abuse__gb_1.mp3
accelerate,https://www.oxfordlearnersdictionaries.com/definition/english/accelerate,C1,accelerate,tăng tốc,verb,/əkˈseləreɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accel/accelerate__gb_1.mp3
academy,https://www.oxfordlearnersdictionaries.com/definition/english/academy,C1,academy,học viện,noun,/əˈkædəmi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aca/acade/academy__gb_1.mp3
abuse_2,https://www.oxfordlearnersdictionaries.com/definition/english/abuse_2,C1,abuse,lạm dụng,verb,/əˈbjuːz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abu/abuse/abuse__gb_2.mp3
acceptance,https://www.oxfordlearnersdictionaries.com/definition/english/acceptance,C1,acceptance,sự chấp nhận,noun,/əkˈseptəns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accep/acceptance__gb_1.mp3
accessible,https://www.oxfordlearnersdictionaries.com/definition/english/accessible,C1,accessible,có thể truy cập,adjective,/əkˈsesəbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/acces/accessible__gb_4.mp3
accomplishment,https://www.oxfordlearnersdictionaries.com/definition/english/accomplishment,C1,accomplishment,thành tựu,noun,/əˈkʌmplɪʃmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accomplishment__gb_1.mp3
accordance,https://www.oxfordlearnersdictionaries.com/definition/english/accordance,C1,accordance,phù hợp,noun,/əˈkɔːdns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accor/accordance__gb_1.mp3
accountability,https://www.oxfordlearnersdictionaries.com/definition/english/accountability,C1,accountability,trách nhiệm giải trình,noun,/əˌkaʊntəˈbɪləti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/accountability__gb_1.mp3
accordingly,https://www.oxfordlearnersdictionaries.com/definition/english/accordingly,C1,accordingly,tương ứng,adverb,/əˈkɔːdɪŋli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accor/accordingly__gb_1.mp3
accountable,https://www.oxfordlearnersdictionaries.com/definition/english/accountable,C1,accountable,chịu trách nhiệm,adjective,/əˈkaʊntəbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/accountable__gb_2.mp3
accumulation,https://www.oxfordlearnersdictionaries.com/definition/english/accumulation,C1,accumulation,sự tích lũy,noun,/əˌkjuːmjəˈleɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accum/accumulation__gb_1.mp3
accumulate,https://www.oxfordlearnersdictionaries.com/definition/english/accumulate,C1,accumulate,tích lũy,verb,/əˈkjuːmjəleɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accum/accumulate__gb_2.mp3
accusation,https://www.oxfordlearnersdictionaries.com/definition/english/accusation,C1,accusation,lời buộc tội,noun,/ˌækjuˈzeɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accus/accusation__gb_1.mp3
