id,url,levels,word,translation,part_of_speech,ipa,audio_link
doggy_bag,https://www.oxfordlearnersdictionaries.com/definition/english/doggy-bag,C2,doggy bag,túi đựng chó,noun,/ˈdɒɡi bæɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dog/doggy/doggy_bag_1_gb_1.mp3
dine_out,https://www.oxfordlearnersdictionaries.com/definition/english/dine-out,C2,dine out,ăn tối ở ngoài,phrasal verb,,
bill,https://www.oxfordlearnersdictionaries.com/definition/english/bill_1,A1,bill,hóa đơn,noun,/bɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bil/bill_/bill__gb_3.mp3
corkage,https://www.oxfordlearnersdictionaries.com/definition/english/corkage,C2,corkage,nút chai,noun,/ˈkɔːkɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cor/corka/corkage__gb_1.mp3
booth,https://www.oxfordlearnersdictionaries.com/definition/english/booth,C2,booth,gian hàng,noun,/buːð/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/booth/booth__gb_3.mp3
bill_of_fare,https://www.oxfordlearnersdictionaries.com/definition/english/bill-of-fare,C2,bill of fare,hóa đơn giá vé,noun,/ˌbɪl əv ˈfeə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bil/bill_/bill_of_fare_1_gb_1.mp3
check,https://www.oxfordlearnersdictionaries.com/definition/english/check_2,A2,check,kiểm tra,noun,/tʃek/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/che/check/check__gb_2.mp3
book,https://www.oxfordlearnersdictionaries.com/definition/english/book_2,A2,book,sách,verb,/bʊk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/book_/book__gb_2.mp3
eat_in,https://www.oxfordlearnersdictionaries.com/definition/english/eat-in_1,C2,eat in,ăn trong,phrasal verb,,
eat-in,https://www.oxfordlearnersdictionaries.com/definition/english/eat-in_2,B2,eat-in,ăn ở,adjective,/ˈiːt ɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eat/eat_i/eat_in_1_gb_1.mp3
gratuity,https://www.oxfordlearnersdictionaries.com/definition/english/gratuity,C2,gratuity,tiền thưởng,noun,/ɡrəˈtjuːəti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gra/gratu/gratuity__gb_1.mp3
lunch,https://www.oxfordlearnersdictionaries.com/definition/english/lunch_2,B1,lunch,bữa trưa,verb,/lʌntʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lun/lunch/lunch__gb_1.mp3
hostess,https://www.oxfordlearnersdictionaries.com/definition/english/hostess,C2,hostess,bà chủ nhà,noun,/ˈhəʊstəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hos/hoste/hostess__gb_1.mp3
menu,https://www.oxfordlearnersdictionaries.com/definition/english/menu,A1,menu,thực đơn,noun,/ˈmenjuː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/men/menu_/menu__gb_1.mp3
order,https://www.oxfordlearnersdictionaries.com/definition/english/order_2,A1,order,đặt hàng,verb,/ˈɔːdə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/ord/order/order__gb_1.mp3
order,https://www.oxfordlearnersdictionaries.com/definition/english/order_1,A2,order,đặt hàng,noun,/ˈɔːdə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/ord/order/order__gb_1.mp3
patronize,https://www.oxfordlearnersdictionaries.com/definition/english/patronize,C2,patronize,bảo trợ,verb,/ˈpætrənaɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pat/patro/patronize__gb_1.mp3
plate,https://www.oxfordlearnersdictionaries.com/definition/english/plate_2,C2,plate,đĩa,verb,/pleɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pla/plate/plate__gb_2.mp3
patronage,https://www.oxfordlearnersdictionaries.com/definition/english/patronage,C2,patronage,sự bảo trợ,noun,/ˈpætrənɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pat/patro/patronage__gb_1.mp3
eat_out,https://www.oxfordlearnersdictionaries.com/definition/english/eat-out,A2,eat out,đi ăn ngoài,phrasal verb,,
reservation,https://www.oxfordlearnersdictionaries.com/definition/english/reservation,B1,reservation,sự đặt chỗ,noun,/ˌrezəˈveɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/res/reser/reservation__gb_2.mp3
self-service,https://www.oxfordlearnersdictionaries.com/definition/english/self-service_1,B2,self-service,tự phục vụ,adjective,/ˌself ˈsɜːvɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sel/self_/self_service_1_gb_1.mp3
