id,url,levels,word,translation,part_of_speech,ipa,audio_link
activate,https://www.oxfordlearnersdictionaries.com/definition/english/activate,B2,activate,kích hoạt,verb,/ˈæktɪveɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/activ/activate__gb_1.mp3
adapter,https://www.oxfordlearnersdictionaries.com/definition/english/adapter,C1,adapter,bộ chuyển đổi,noun,/əˈdæptə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ada/adapt/adaptor__gb_1.mp3
alternator,https://www.oxfordlearnersdictionaries.com/definition/english/alternator,C2,alternator,máy phát điện,noun,/ˈɔːltəneɪtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alt/alter/alternator__gb_1.mp3
appliance,https://www.oxfordlearnersdictionaries.com/definition/english/appliance,B2,appliance,thiết bị,noun,/əˈplaɪəns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/appli/appliance__gb_1.mp3
battery,https://www.oxfordlearnersdictionaries.com/definition/english/battery,B1,battery,ắc quy,noun,/ˈbætri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bat/batte/battery__gb_1.mp3
activation,https://www.oxfordlearnersdictionaries.com/definition/english/activation,C1,activation,kích hoạt,noun,/ˌæktɪˈveɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/activ/activation__gb_1.mp3
3d_printer,https://www.oxfordlearnersdictionaries.com/definition/english/3d-printer,B2,3D printer,máy in 3D,noun,/ˌθriː diː ˈprɪntə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/3/3d_/3d_pr/3d_printer_1_gb_1.mp3
antenna,https://www.oxfordlearnersdictionaries.com/definition/english/antenna,C1,antenna,ăng-ten,noun,/ænˈtenə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ant/anten/antenna__gb_1.mp3
amplifier,https://www.oxfordlearnersdictionaries.com/definition/english/amplifier,C1,amplifier,bộ khuếch đại,noun,/ˈæmplɪfaɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/amp/ampli/amplifier__gb_1.mp3
actuate,https://www.oxfordlearnersdictionaries.com/definition/english/actuate,C2,actuate,kích hoạt,verb,/ˈæktʃueɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/actua/actuate__gb_1.mp3
chronograph,https://www.oxfordlearnersdictionaries.com/definition/english/chronograph,C2,chronograph,đồng hồ bấm giờ,noun,/ˈkrɒnəɡrɑːf/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chr/chron/chronograph__gb_1.mp3
device,https://www.oxfordlearnersdictionaries.com/definition/english/device,A2,device,thiết bị,noun,/dɪˈvaɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dev/devic/device__gb_2.mp3
crane,https://www.oxfordlearnersdictionaries.com/definition/english/crane_1,C1,crane,cần cẩu,noun,/kreɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cra/crane/crane__gb_1.mp3
gadget,https://www.oxfordlearnersdictionaries.com/definition/english/gadget,B1,gadget,tiện ích,noun,/ˈɡædʒɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gad/gadge/gadget__gb_2.mp3
dynamo,https://www.oxfordlearnersdictionaries.com/definition/english/dynamo,C2,dynamo,máy nổ,noun,/ˈdaɪnəməʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dyn/dynam/dynamo__gb_1.mp3
generator,https://www.oxfordlearnersdictionaries.com/definition/english/generator,C1,generator,máy phát điện,noun,/ˈdʒenəreɪtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gen/gener/generator__gb_1.mp3
clock,https://www.oxfordlearnersdictionaries.com/definition/english/clock_1,A1,clock,cái đồng hồ,noun,/klɒk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/clo/clock/clock__gb_1.mp3
generation,https://www.oxfordlearnersdictionaries.com/definition/english/generation,C1,generation,thế hệ,noun,/ˌdʒenəˈreɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gen/gener/generation__gb_2.mp3
contrivance,https://www.oxfordlearnersdictionaries.com/definition/english/contrivance,C2,contrivance,thủ đoạn,noun,/kənˈtraɪvəns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcont/xcontrivance__gb_1.mp3
genset,https://www.oxfordlearnersdictionaries.com/definition/english/genset,C2,genset,máy phát điện,noun,/ˈdʒenset/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gen/gense/genset__gb_1.mp3
high-tech,https://www.oxfordlearnersdictionaries.com/definition/english/high-tech,B1,high-tech,công nghệ cao,adjective,/ˌhaɪ ˈtek/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hig/high_/high_tech_1_gb_1.mp3
instrument,https://www.oxfordlearnersdictionaries.com/definition/english/instrument,B2,instrument,dụng cụ,noun,/ˈɪnstrəmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ins/instr/instrument__gb_3.mp3
jack,https://www.oxfordlearnersdictionaries.com/definition/english/jack_1,C2,jack,giắc cắm,noun,/dʒæk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/j/jac/jack_/jack__gb_1.mp3
lathe,https://www.oxfordlearnersdictionaries.com/definition/english/lathe,C2,lathe,máy tiện,noun,/leɪð/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lat/lathe/lathe__gb_1.mp3
machine,https://www.oxfordlearnersdictionaries.com/definition/english/machine_1,A1,machine,máy móc,noun,/məˈʃiːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mac/machi/machine__gb_1.mp3
hi-tech,https://www.oxfordlearnersdictionaries.com/definition/english/hi-tech,B1,hi-tech,công nghệ cao,adjective,/ˌhaɪ ˈtek/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hig/high_/high_tech_1_gb_1.mp3
machinery,https://www.oxfordlearnersdictionaries.com/definition/english/machinery,C1,machinery,máy móc,noun,/məˈʃiːnəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mac/machi/machinery__gb_1.mp3
insulator,https://www.oxfordlearnersdictionaries.com/definition/english/insulator,C2,insulator,chất cách điện,noun,/ˈɪnsjuleɪtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ins/insul/insulator__gb_1.mp3
meter,https://www.oxfordlearnersdictionaries.com/definition/english/meter_1,C1,meter,mét,noun,/ˈmiːtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/met/meter/meter__gb_1.mp3
machine_tool,https://www.oxfordlearnersdictionaries.com/definition/english/machine-tool,C1,machine tool,máy công cụ,noun,/məˈʃiːn tuːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mac/machi/machine_tool_1_gb_1.mp3
