id,url,levels,word,translation,part_of_speech,ipa,audio_link
administrative,https://www.oxfordlearnersdictionaries.com/definition/english/administrative,C1,administrative,hành chính,adjective,/ədˈmɪnɪstrətɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adm/admin/administrative__gb_1.mp3
backer,https://www.oxfordlearnersdictionaries.com/definition/english/backer,C1,backer,người ủng hộ,noun,/ˈbækə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bac/backe/backer__gb_1.mp3
audit_trail,https://www.oxfordlearnersdictionaries.com/definition/english/audit-trail,C2,audit trail,dấu vết kiểm toán,noun,/ˈɔːdɪt treɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aud/audit/audit_trail_1_gb_1.mp3
audit,https://www.oxfordlearnersdictionaries.com/definition/english/audit_1,C1,audit,kiểm toán,noun,/ˈɔːdɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aud/audit/audit__gb_1.mp3
audit,https://www.oxfordlearnersdictionaries.com/definition/english/audit_2,C1,audit,kiểm toán,verb,/ˈɔːdɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aud/audit/audit__gb_1.mp3
agile,https://www.oxfordlearnersdictionaries.com/definition/english/agile,C2,agile,nhanh nhẹn,adjective,/ˈædʒaɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/agi/agile/agile__gb_1.mp3
afloat,https://www.oxfordlearnersdictionaries.com/definition/english/afloat,C2,afloat,nổi,adjective,/əˈfləʊt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/afl/afloa/afloat__gb_1.mp3
back,https://www.oxfordlearnersdictionaries.com/definition/english/back_4,B2,back,mặt sau,verb,/bæk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bac/back_/back__gb_2.mp3
any_other_business,https://www.oxfordlearnersdictionaries.com/definition/english/business,C2,any other business,bất kỳ hoạt động kinh doanh nào khác,noun,/ˈbɪznəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bus/busin/business__gb_2.mp3
administration,https://www.oxfordlearnersdictionaries.com/definition/english/administration,B2,administration,sự quản lý,noun,/ədˌmɪnɪˈstreɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adm/admin/administration__gb_2.mp3
back_order,https://www.oxfordlearnersdictionaries.com/definition/english/back-order_1,C2,back order,đặt hàng lại,noun,/ˈbæk ɔːdə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bac/back_/back_order_1_gb_1.mp3
backing,https://www.oxfordlearnersdictionaries.com/definition/english/backing,C1,backing,ủng hộ,noun,/ˈbækɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bac/backi/backing__gb_1.mp3
back-order,https://www.oxfordlearnersdictionaries.com/definition/english/back-order_2,C2,back-order,đặt hàng lại,verb,/ˈbæk ɔːdə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bac/back_/back_order_1_gb_1.mp3
bandwidth,https://www.oxfordlearnersdictionaries.com/definition/english/bandwidth,C2,bandwidth,băng thông,noun,/ˈbændwɪdθ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ban/bandw/bandwidth__gb_4.mp3
balance_sheet,https://www.oxfordlearnersdictionaries.com/definition/english/balance-sheet,C2,balance sheet,bảng cân đối kế toán,noun,/ˈbæləns ʃiːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bal/balan/balance_sheet_1_gb_1.mp3
be_in_the_black,https://www.oxfordlearnersdictionaries.com/definition/english/black_2,C2,be in the black,ở trong màu đen,noun,/blæk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bla/black/black__gb_2.mp3
be_even,https://www.oxfordlearnersdictionaries.com/definition/english/even_2,C2,be even,đồng đều,adjective,/ˈiːvn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eve/even_/even__gb_1.mp3
be_in_the_red,https://www.oxfordlearnersdictionaries.com/definition/english/red_2,C2,be in the red,ở trong màu đỏ,noun,/red/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/red/red__/red__gb_1.mp3
big_tech,https://www.oxfordlearnersdictionaries.com/definition/english/big-tech,C2,big tech,công nghệ lớn,noun,/ˌbɪɡ ˈtek/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/big/big_t/big_tech_1_gb_1.mp3
billable,https://www.oxfordlearnersdictionaries.com/definition/english/billable,C2,billable,có thể lập hóa đơn,adjective,/ˈbɪləbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bil/billa/billable__gb_1.mp3
book,https://www.oxfordlearnersdictionaries.com/definition/english/book_1,C1,book,sách,noun,/bʊk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/book_/book__gb_2.mp3
blue-chip,https://www.oxfordlearnersdictionaries.com/definition/english/blue-chip,C2,blue-chip,blue-chip,adjective,/ˌbluː ˈtʃɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blu/blue_/blue_chip_1_gb_1.mp3
bootstrap,https://www.oxfordlearnersdictionaries.com/definition/english/bootstrap_1,C2,bootstrap,khởi động,noun,/ˈbuːtstræp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/boots/bootstrap__gb_1.mp3
buoyancy,https://www.oxfordlearnersdictionaries.com/definition/english/buoyancy,C2,buoyancy,sức nổi,noun,/ˈbɔɪənsi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/buo/buoya/buoyancy__gb_3.mp3
bootstrap,https://www.oxfordlearnersdictionaries.com/definition/english/bootstrap_2,C2,bootstrap,khởi động,verb,/ˈbuːtstræp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/boots/bootstrap__gb_1.mp3
boardroom,https://www.oxfordlearnersdictionaries.com/definition/english/boardroom,C1,boardroom,phòng họp,noun,/ˈbɔːdruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boa/board/boardroom__gb_1.mp3
bottom_line,https://www.oxfordlearnersdictionaries.com/definition/english/bottom-line,C2,bottom line,điểm mấu chốt,noun,/ˌbɒtəm ˈlaɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bot/botto/bottom_line_1_gb_1.mp3
