id,url,levels,word,translation,part_of_speech,ipa,audio_link
advertorial,https://www.oxfordlearnersdictionaries.com/definition/english/advertorial,C2,advertorial,quảng cáo,noun,/ˌædvəˈtɔːriəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/adver/advertorial__gb_1.mp3
affiliate_marketing,https://www.oxfordlearnersdictionaries.com/definition/english/affiliate-marketing,C2,affiliate marketing,tiếp thị liên kết,noun,/əˌfɪliət ˈmɑːkɪtɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aff/affil/affiliate_marketing_1_gb_1.mp3
banner,https://www.oxfordlearnersdictionaries.com/definition/english/banner,C2,banner,ngọn cờ,noun,/ˈbænə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ban/banne/banner__gb_1.mp3
advert,https://www.oxfordlearnersdictionaries.com/definition/english/advert,A2,advert,quảng cáo,noun,/ˈædvɜːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/adver/advert__gb_1.mp3
ad,https://www.oxfordlearnersdictionaries.com/definition/english/ad_1,B1,ad,quảng cáo,noun,/æd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ad_/ad__g/ad__gb_2.mp3
advertisement,https://www.oxfordlearnersdictionaries.com/definition/english/advertisement,A2,advertisement,quảng cáo,noun,/ədˈvɜːtɪsmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/adver/advertisement__gb_1.mp3
advertise,https://www.oxfordlearnersdictionaries.com/definition/english/advertise,A2,advertise,quảng cáo,verb,/ˈædvətaɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/adver/advertise__gb_1.mp3
agency,https://www.oxfordlearnersdictionaries.com/definition/english/agency,B2,agency,hãng,noun,/ˈeɪdʒənsi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/age/agenc/agency__gb_2.mp3
above_the_line,https://www.oxfordlearnersdictionaries.com/definition/english/line_1,C2,above the line,phía trên dòng,noun,/laɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lin/line_/line__gb_1.mp3
banner_ad,https://www.oxfordlearnersdictionaries.com/definition/english/banner-ad,C2,banner ad,biểu ngữ quảng cáo,noun,/ˈbænər æd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ban/banne/banner_ad_1_gb_1.mp3
brand_identity,https://www.oxfordlearnersdictionaries.com/definition/english/brand-identity,C1,brand identity,nhận diện thương hiệu,noun,/ˈbrænd aɪdentəti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bra/brand/brand_identity_1_gb_1.mp3
bill,https://www.oxfordlearnersdictionaries.com/definition/english/bill_1,C2,bill,hóa đơn,noun,/bɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bil/bill_/bill__gb_3.mp3
billboard,https://www.oxfordlearnersdictionaries.com/definition/english/billboard_1,B2,billboard,bảng quảng cáo,noun,/ˈbɪlbɔːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bil/billb/billboard__gb_3.mp3
branding,https://www.oxfordlearnersdictionaries.com/definition/english/branding,B2,branding,xây dựng thương hiệu,noun,/ˈbrændɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bra/brand/branding__gb_1.mp3
brand_loyalty,https://www.oxfordlearnersdictionaries.com/definition/english/brand-loyalty,C1,brand loyalty,lòng trung thành với thương hiệu,noun,/ˌbrænd ˈlɔɪəlti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bra/brand/brand_loyalty_1_gb_1.mp3
brand,https://www.oxfordlearnersdictionaries.com/definition/english/brand_1,B1,brand,thương hiệu,noun,/brænd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bra/brand/brand__gb_2.mp3
below_the_line,https://www.oxfordlearnersdictionaries.com/definition/english/line_1,C2,below the line,dưới dòng,noun,/laɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lin/line_/line__gb_1.mp3
blitz,https://www.oxfordlearnersdictionaries.com/definition/english/blitz_1,C2,blitz,chớp nhoáng,noun,/blɪts/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bli/blitz/blitz__gb_2.mp3
classified_advertisement,https://www.oxfordlearnersdictionaries.com/definition/english/classified-advertisement,C2,classified advertisement,quảng cáo rao vặt,noun,/ˌklæsɪfaɪd ədˈvɜːtɪsmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cla/class/classified_advertisement_1_gb_1.mp3
campaign,https://www.oxfordlearnersdictionaries.com/definition/english/campaign_1,B1,campaign,chiến dịch,noun,/kæmˈpeɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cam/campa/campaign__gb_2.mp3
co-branding,https://www.oxfordlearnersdictionaries.com/definition/english/co-branding,C2,co-branding,đồng thương hiệu,noun,/ˈkəʊ brændɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/co_/co_br/co_branding_1_gb_2.mp3
classified,https://www.oxfordlearnersdictionaries.com/definition/english/classified,C2,classified,phân loại,adjective,/ˈklæsɪfaɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cla/class/classified__gb_1.mp3
cold-calling,https://www.oxfordlearnersdictionaries.com/definition/english/cold-calling,C2,cold-calling,gọi điện ngẫu nhiên,noun,/ˌkəʊld ˈkɔːlɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/cold_/cold_calling_1_gb_1.mp3
brand_recognition,https://www.oxfordlearnersdictionaries.com/definition/english/brand-recognition,C1,brand recognition,nhận diện thương hiệu,noun,/ˌbrænd rekəɡˈnɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bra/brand/brand_recognition_1_gb_2.mp3
commoditize,https://www.oxfordlearnersdictionaries.com/definition/english/commoditize,C2,commoditize,biến thành hàng hóa,verb,/kəˈmɒdətaɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/commo/commoditize__gb_1.mp3
consumer,https://www.oxfordlearnersdictionaries.com/definition/english/consumer,B1,consumer,người tiêu dùng,noun,/kənˈsjuːmə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconsumer__gb_2.mp3
consumerism,https://www.oxfordlearnersdictionaries.com/definition/english/consumerism,C1,consumerism,chủ nghĩa tiêu dùng,noun,/kənˈsjuːmərɪzəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconsumerism__gb_1.mp3
consumerist,https://www.oxfordlearnersdictionaries.com/definition/english/consumerist,C1,consumerist,người theo chủ nghĩa tiêu dùng,adjective,/kənˈsjuːmərɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconsumerist__gb_1.mp3
content_marketing,https://www.oxfordlearnersdictionaries.com/definition/english/content-marketing,C1,content marketing,tiếp thị nội dung,noun,/ˈkɒntent mɑːkɪtɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcont/xcontent_marketing_1_gb_1.mp3
copy,https://www.oxfordlearnersdictionaries.com/definition/english/copy_1,C2,copy,sao chép,noun,/ˈkɒpi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cop/copy_/copy__gb_1.mp3
cost,https://www.oxfordlearnersdictionaries.com/definition/english/cost_2,A1,cost,trị giá,verb,/kɒst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cos/cost_/cost__gb_1.mp3
discount,https://www.oxfordlearnersdictionaries.com/definition/english/discount_1,B1,discount,giảm giá,noun,/ˈdɪskaʊnt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/disco/discount__gb_1.mp3
direct_marketing,https://www.oxfordlearnersdictionaries.com/definition/english/direct-marketing,C2,direct marketing,tiếp thị trực tiếp,noun,/dəˌrekt ˈmɑːkɪtɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dir/direc/direct_marketing_1_gb_2.mp3
