id,url,levels,word,translation,part_of_speech,ipa,audio_link
altimeter,https://www.oxfordlearnersdictionaries.com/definition/english/altimeter,C2,altimeter,máy đo độ cao,noun,/ˈæltɪmiːtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alt/altim/altimeter__gb_1.mp3
black_box,https://www.oxfordlearnersdictionaries.com/definition/english/black-box,C2,black box,hộp đen,noun,/ˌblæk ˈbɒks/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bla/black/black_box_1_gb_1.mp3
blade,https://www.oxfordlearnersdictionaries.com/definition/english/blade,C1,blade,lưỡi dao,noun,/bleɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bla/blade/blade__gb_2.mp3
business_class,https://www.oxfordlearnersdictionaries.com/definition/english/business-class_1,B1,business class,hạng thương gia,noun,/ˈbɪznəs klɑːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bus/busin/business_class_1_gb_1.mp3
autopilot,https://www.oxfordlearnersdictionaries.com/definition/english/autopilot,C1,autopilot,lái tự động,noun,/ˈɔːtəʊpaɪlət/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aut/autop/autopilot__gb_1.mp3
aileron,https://www.oxfordlearnersdictionaries.com/definition/english/aileron,C2,aileron,cánh nhỏ,noun,/ˈeɪlərɒn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ail/ailer/aileron__gb_1.mp3
automatic_pilot,https://www.oxfordlearnersdictionaries.com/definition/english/automatic-pilot,C1,automatic pilot,phi công tự động,noun,/ˌɔːtəmætɪk ˈpaɪlət/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aut/autom/automatic_pilot_1_gb_1.mp3
aft,https://www.oxfordlearnersdictionaries.com/definition/english/aft,C2,aft,phía sau,"adverb,adjective",/ɑːft/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aft/aft__/aft__gb_1.mp3
aisle,https://www.oxfordlearnersdictionaries.com/definition/english/aisle,B2,aisle,lối đi,noun,/aɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ais/aisle/aisle__gb_1.mp3
bulkhead,https://www.oxfordlearnersdictionaries.com/definition/english/bulkhead,C2,bulkhead,vách ngăn,noun,/ˈbʌlkhed/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bul/bulkh/bulkhead__gb_2.mp3
cargo,https://www.oxfordlearnersdictionaries.com/definition/english/cargo,C1,cargo,hàng hóa,noun,/ˈkɑːɡəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/cargo/cargo__gb_1.mp3
canopy,https://www.oxfordlearnersdictionaries.com/definition/english/canopy,C2,canopy,tán cây,noun,/ˈkænəpi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/can/canop/canopy__gb_1.mp3
cabin,https://www.oxfordlearnersdictionaries.com/definition/english/cabin,B2,cabin,cabin,noun,/ˈkæbɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cab/cabin/cabin__gb_2.mp3
cowling,https://www.oxfordlearnersdictionaries.com/definition/english/cowling,C2,cowling,sự che đậy,noun,/ˈkaʊlɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cow/cowli/cowling__gb_1.mp3
elevator,https://www.oxfordlearnersdictionaries.com/definition/english/elevator,C2,elevator,thang máy,noun,/ˈelɪveɪtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ele/eleva/elevator__gb_1.mp3
club_class,https://www.oxfordlearnersdictionaries.com/definition/english/club-class,C2,club class,lớp câu lạc bộ,noun,/ˈklʌb klɑːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/clu/club_/club_class_1_gb_1.mp3
cockpit,https://www.oxfordlearnersdictionaries.com/definition/english/cockpit,C1,cockpit,buồng lái,noun,/ˈkɒkpɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coc/cockp/cockpit__gb_1.mp3
dual_controls,https://www.oxfordlearnersdictionaries.com/definition/english/dual-controls,C2,dual controls,điều khiển kép,noun,/ˌdjuːəl kənˈtrəʊlz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dua/dual_/dual_controls_1_gb_1.mp3
delta_wing,https://www.oxfordlearnersdictionaries.com/definition/english/delta-wing,C2,delta wing,cánh đồng bằng,noun,/ˈdeltə wɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/del/delta/delta_wing_1_gb_1.mp3
ejector_seat,https://www.oxfordlearnersdictionaries.com/definition/english/ejector-seat,C2,ejector seat,ghế phóng,noun,/ɪˈdʒektə siːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eje/eject/ejector_seat_1_gb_1.mp3
fin,https://www.oxfordlearnersdictionaries.com/definition/english/fin,C2,fin,vây,noun,/fɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fin/fin__/fin__gb_2.mp3
first_class,https://www.oxfordlearnersdictionaries.com/definition/english/first-class_2,B1,first class,hạng nhất,noun,/ˌfɜːst ˈklɑːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fir/first/first_class_1_gb_1.mp3
flap,https://www.oxfordlearnersdictionaries.com/definition/english/flap_1,C2,flap,vỗ nhẹ,noun,/flæp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fla/flap_/flap__gb_1.mp3
fuselage,https://www.oxfordlearnersdictionaries.com/definition/english/fuselage,C2,fuselage,thân máy bay,noun,/ˈfjuːzəlɑːʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fus/fusel/fuselage__gb_5.mp3
flight_deck,https://www.oxfordlearnersdictionaries.com/definition/english/flight-deck,C2,flight deck,sàn đáp,noun,/ˈflaɪt dek/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fli/fligh/flight_deck_1_gb_1.mp3
