id,url,levels,word,translation,part_of_speech,ipa,audio_link
acid_test,https://www.oxfordlearnersdictionaries.com/definition/english/acid-test,C2,acid test,kiểm tra axit,noun,/ˌæsɪd ˈtest/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aci/acid_/acid_test_1_gb_1.mp3
auspicious,https://www.oxfordlearnersdictionaries.com/definition/english/auspicious,C2,auspicious,tốt lành,adjective,/ɔːˈspɪʃəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aus/auspi/auspicious__gb_1.mp3
future,https://www.oxfordlearnersdictionaries.com/definition/english/future_1,B1,future,tương lai,noun,/ˈfjuːtʃə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fut/futur/future__gb_1.mp3
fancy,https://www.oxfordlearnersdictionaries.com/definition/english/fancy_1,C2,fancy,si mê,verb,/ˈfænsi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fan/fancy/fancy__gb_2.mp3
augur,https://www.oxfordlearnersdictionaries.com/definition/english/augur,C2,augur,chiêm tinh gia,verb,/ˈɔːɡə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aug/augur/augur__gb_1.mp3
bright,https://www.oxfordlearnersdictionaries.com/definition/english/bright_1,B1,bright,sáng,adjective,/braɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/brigh/bright_1_gb_1.mp3
auspiciously,https://www.oxfordlearnersdictionaries.com/definition/english/auspiciously,C2,auspiciously,một cách tốt lành,adverb,/ɔːˈspɪʃəsli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aus/auspi/auspiciously__gb_1.mp3
a_fighting_chance,https://www.oxfordlearnersdictionaries.com/definition/english/fighting,C2,a fighting chance,một cơ hội chiến đấu,noun,/ˈfaɪtɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fig/fight/fighting__gb_1.mp3
don’t_count_your_chickens_(before_they_are_hatched),https://www.oxfordlearnersdictionaries.com/definition/english/count_1,C2,don’t count your chickens (before they are hatched),đừng đếm gà của bạn (trước khi chúng nở),verb,/kaʊnt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/count/count__gb_2.mp3
flatter_to_deceive,https://www.oxfordlearnersdictionaries.com/definition/english/flatter,C2,flatter to deceive,nịnh nọt để lừa dối,verb,/ˈflætə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fla/flatt/flatter__gb_1.mp3
golden_rule,https://www.oxfordlearnersdictionaries.com/definition/english/golden-rule,C2,golden rule,quy tắc vàng,noun,/ˌɡəʊldən ˈruːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gol/golde/golden_rule_1_gb_1.mp3
hopeful,https://www.oxfordlearnersdictionaries.com/definition/english/hopeful_1,C1,hopeful,hy vọng,adjective,/ˈhəʊpfl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hop/hopef/hopeful__gb_1.mp3
great/tall_oaks_from_little_acorns_grow,https://www.oxfordlearnersdictionaries.com/definition/english/oak,C2,great/tall oaks from little acorns grow,những cây sồi lớn/cao từ những quả sồi nhỏ mọc lên,noun,/əʊk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/oak/oak__/oak__gb_1.mp3
hopefully,https://www.oxfordlearnersdictionaries.com/definition/english/hopefully,C1,hopefully,hy vọng,adverb,/ˈhəʊpfəli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hop/hopef/hopefully__gb_1.mp3
go_far,https://www.oxfordlearnersdictionaries.com/definition/english/far_1,C1,go far,đi xa,adverb,/fɑː(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/far/far__/far__gb_1.mp3
hope_for_the_best,https://www.oxfordlearnersdictionaries.com/definition/english/hope_1,C2,hope for the best,hy vọng điều tốt nhất,verb,/həʊp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hop/hope_/hope__gb_1.mp3
hot,https://www.oxfordlearnersdictionaries.com/definition/english/hot_1,C2,hot,nóng,adjective,/hɒt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hot/hot__/hot__gb_4.mp3
have_something_on_your_side,https://www.oxfordlearnersdictionaries.com/definition/english/side_1,C2,have something on your side,có cái gì đó ở bên bạn,noun,/saɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sid/side_/side__gb_1.mp3
in/into/out_of_the_reckoning,https://www.oxfordlearnersdictionaries.com/definition/english/reckoning,C2,in/into/out of the reckoning,vào/vào/ra khỏi việc tính toán,noun,/ˈrekənɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rec/recko/reckoning__gb_1.mp3
it’ll_be_all_right_on_the_night,https://www.oxfordlearnersdictionaries.com/definition/english/all-right_2,C2,it’ll be all right on the night,mọi chuyện sẽ ổn vào đêm nay,"adjective,adverb",/ɔːl ˈraɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/all_r/all_right_1_gb_2.mp3
it’ll_be_alright_on_the_night,https://www.oxfordlearnersdictionaries.com/definition/english/alright_2,C2,it’ll be alright on the night,mọi chuyện sẽ ổn vào buổi tối,"adjective,adverb",/ɔːlˈraɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alr/alrig/alright__gb_2.mp3
opportune,https://www.oxfordlearnersdictionaries.com/definition/english/opportune,C2,opportune,đúng lúc,adjective,/ˈɒpətjuːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/opp/oppor/opportune__gb_1.mp3
look_good,https://www.oxfordlearnersdictionaries.com/definition/english/look_1,C2,look good,nhìn ổn,verb,/lʊk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/loo/look_/look__gb_1.mp3
