id,url,levels,word,translation,part_of_speech,ipa,audio_link
adjacent,https://www.oxfordlearnersdictionaries.com/definition/english/adjacent,C1,adjacent,liền kề,adjective,/əˈdʒeɪsnt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adj/adjac/adjacent__gb_1.mp3
borough,https://www.oxfordlearnersdictionaries.com/definition/english/borough,C2,borough,quận,noun,/ˈbʌrə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bor/borou/borough__gb_1.mp3
centre,https://www.oxfordlearnersdictionaries.com/definition/english/centre_1,A1,centre,trung tâm,noun,/ˈsentə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cen/centr/centre__gb_1.mp3
campus,https://www.oxfordlearnersdictionaries.com/definition/english/campus,B1,campus,khuôn viên đại học,noun,/ˈkæmpəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cam/campu/campus__gb_1.mp3
city_centre,https://www.oxfordlearnersdictionaries.com/definition/english/city-centre,B1,city centre,trung tâm thành phố,noun,/ˌsɪti ˈsentə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cit/city_/city_centre_1_gb_1.mp3
brownfield,https://www.oxfordlearnersdictionaries.com/definition/english/brownfield,C2,brownfield,cánh đồng nâu,adjective,/ˈbraʊnfiːld/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/brown/brownfield__gb_1.mp3
avenue,https://www.oxfordlearnersdictionaries.com/definition/english/avenue,C1,avenue,đại lộ,noun,/ˈævənjuː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ave/avenu/avenue__gb_1.mp3
center,https://www.oxfordlearnersdictionaries.com/definition/english/center_1,A1,center,trung tâm,noun,/ˈsentə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cen/centr/centre__gb_1.mp3
aspect,https://www.oxfordlearnersdictionaries.com/definition/english/aspect,C2,aspect,diện mạo,noun,/ˈæspekt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/asp/aspec/aspect__gb_2.mp3
close,https://www.oxfordlearnersdictionaries.com/definition/english/close2_3,C2,close,đóng,noun,/kləʊs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/clo/close/close__gb_2.mp3
downtown,https://www.oxfordlearnersdictionaries.com/definition/english/downtown_1,B2,downtown,trung tâm thành phố,adverb,/ˌdaʊnˈtaʊn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dow/downt/downtown__gb_4.mp3
district,https://www.oxfordlearnersdictionaries.com/definition/english/district,B2,district,huyện,noun,/ˈdɪstrɪkt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/distr/district__gb_2.mp3
downtown,https://www.oxfordlearnersdictionaries.com/definition/english/downtown_3,B2,downtown,trung tâm thành phố,noun,/ˌdaʊnˈtaʊn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dow/downt/downtown__gb_4.mp3
downtown,https://www.oxfordlearnersdictionaries.com/definition/english/downtown_2,B2,downtown,trung tâm thành phố,adjective,/ˌdaʊnˈtaʊn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dow/downt/downtown__gb_4.mp3
gated_community,https://www.oxfordlearnersdictionaries.com/definition/english/gated-community,C2,gated community,cộng đồng có cổng,noun,/ˌɡeɪtɪd kəˈmjuːnəti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gat/gated/gated_community_1_gb_1.mp3
greenfield,https://www.oxfordlearnersdictionaries.com/definition/english/greenfield,C2,greenfield,cánh đồng xanh,adjective,/ˈɡriːnfiːld/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gre/green/greenfield__gb_1.mp3
drive,https://www.oxfordlearnersdictionaries.com/definition/english/drive_2,B2,drive,lái xe,noun,/draɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dri/drive/drive__gb_2.mp3
driveway,https://www.oxfordlearnersdictionaries.com/definition/english/driveway,B2,driveway,đường lái xe,noun,/ˈdraɪvweɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dri/drive/driveway__gb_2.mp3
