id,url,levels,word,translation,part_of_speech,ipa,audio_link
ablative,https://www.oxfordlearnersdictionaries.com/definition/english/ablative_2,C2,ablative,cắt bỏ,noun,/ˈæblətɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abl/ablat/ablative__gb_1.mp3
abbreviation,https://www.oxfordlearnersdictionaries.com/definition/english/abbreviation,B1,abbreviation,viết tắt,noun,/əˌbriːviˈeɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abb/abbre/abbreviation__gb_1.mp3
acute_accent,https://www.oxfordlearnersdictionaries.com/definition/english/acute-accent,C2,acute accent,giọng sắc nét,noun,/əˌkjuːt ˈæksent/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acu/acute/acute_accent_1_gb_1.mp3
active,https://www.oxfordlearnersdictionaries.com/definition/english/active_2,B1,active,tích cực,noun,/ˈæktɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/activ/active__gb_2.mp3
active,https://www.oxfordlearnersdictionaries.com/definition/english/active_1,B1,active,tích cực,adjective,/ˈæktɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/activ/active__gb_2.mp3
accusative,https://www.oxfordlearnersdictionaries.com/definition/english/accusative_1,C2,accusative,buộc tội,adjective,/əˈkjuːzətɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accus/accusative__gb_1.mp3
ablative,https://www.oxfordlearnersdictionaries.com/definition/english/ablative_1,C2,ablative,cắt bỏ,adjective,/ˈæblətɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abl/ablat/ablative__gb_1.mp3
abstract_noun,https://www.oxfordlearnersdictionaries.com/definition/english/abstract-noun,B2,abstract noun,danh từ trừu tượng,noun,/ˌæbstrækt ˈnaʊn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/abstr/abstract_noun_1_gb_1.mp3
accusative,https://www.oxfordlearnersdictionaries.com/definition/english/accusative_2,C2,accusative,buộc tội,noun,/əˈkjuːzətɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accus/accusative__gb_1.mp3
adjective,https://www.oxfordlearnersdictionaries.com/definition/english/adjective,A1,adjective,tính từ,noun,/ˈædʒɪktɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adj/adjec/adjective__gb_1.mp3
adjectival,https://www.oxfordlearnersdictionaries.com/definition/english/adjectival,C2,adjectival,tính từ,adjective,/ˌædʒekˈtaɪvl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adj/adjec/adjectival__gb_1.mp3
adverb,https://www.oxfordlearnersdictionaries.com/definition/english/adverb,A1,adverb,trạng từ,noun,/ˈædvɜːb/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/adver/adverb__gb_1.mp3
