id,url,levels,word,translation,part_of_speech,ipa,audio_link
dadaism,https://www.oxfordlearnersdictionaries.com/definition/english/dadaism,C2,Dadaism,chủ nghĩa Dada,noun,/ˈdɑːdɑːɪzəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dad/dadai/dadaism__gb_1.mp3
avant-garde,https://www.oxfordlearnersdictionaries.com/definition/english/the-avant-garde,C2,avant-garde,tiên phong,noun,/ði ˌævɒ̃ ˈɡɑːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/the/the_a/the_avant_garde_1_gb_1.mp3
classicism,https://www.oxfordlearnersdictionaries.com/definition/english/classicism,C2,classicism,chủ nghĩa cổ điển,noun,/ˈklæsɪsɪzəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cla/class/classicism__gb_1.mp3
academicism,https://www.oxfordlearnersdictionaries.com/definition/english/academicism,C2,academicism,chủ nghĩa hàn lâm,noun,/ˌækəˈdemɪsɪzəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aca/acade/academicism__gb_1.mp3
afrofuturist,https://www.oxfordlearnersdictionaries.com/definition/english/afrofuturist_1,C2,Afrofuturist,người theo chủ nghĩa vị lai,noun,/ˌæfrəʊˈfjuːtʃərɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/afr/afrof/afrofuturist_1_gb_2.mp3
baroque,https://www.oxfordlearnersdictionaries.com/definition/english/baroque_2,C2,baroque,baroque,adjective,/bəˈrɒk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bar/baroq/baroque__gb_1.mp3
composition,https://www.oxfordlearnersdictionaries.com/definition/english/composition,C2,composition,thành phần,noun,/ˌkɒmpəˈzɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/compo/composition__gb_2.mp3
dada,https://www.oxfordlearnersdictionaries.com/definition/english/dada_2,C2,Dada,Dada,noun,/ˈdɑːdɑː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dad/dada_/dada__gb_1.mp3
afrofuturist,https://www.oxfordlearnersdictionaries.com/definition/english/afrofuturist_2,C2,Afrofuturist,người theo chủ nghĩa vị lai,adjective,/ˌæfrəʊˈfjuːtʃərɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/afr/afrof/afrofuturist_1_gb_2.mp3
afrofuturism,https://www.oxfordlearnersdictionaries.com/definition/english/afrofuturism,C2,Afrofuturism,chủ nghĩa vị lai,noun,/ˌæfrəʊˈfjuːtʃərɪzəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/afr/afrof/afrofuturism_1_gb_1.mp3
expressionism,https://www.oxfordlearnersdictionaries.com/definition/english/expressionism,C2,expressionism,chủ nghĩa biểu hiện,noun,/ɪkˈspreʃənɪzəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/exp/expre/expressionism__gb_1.mp3
futurism,https://www.oxfordlearnersdictionaries.com/definition/english/futurism,C2,Futurism,chủ nghĩa vị lai,noun,/ˈfjuːtʃərɪzəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fut/futur/futurism__gb_1.mp3
formalist,https://www.oxfordlearnersdictionaries.com/definition/english/formalist_1,C2,formalist,người theo chủ nghĩa hình thức,adjective,/ˈfɔːməlɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/for/forma/formalist__gb_1.mp3
