id,url,levels,word,translation,part_of_speech,ipa,audio_link
assembly,https://www.oxfordlearnersdictionaries.com/definition/english/assembly,C1,assembly,cuộc họp,noun,/əˈsembli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ass/assem/assembly__gb_2.mp3
blue-collar,https://www.oxfordlearnersdictionaries.com/definition/english/blue-collar,C2,blue-collar,cổ xanh,adjective,/ˌbluː ˈkɒlə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blu/blue_/blue_collar_1_gb_1.mp3
bottleneck,https://www.oxfordlearnersdictionaries.com/definition/english/bottleneck,C2,bottleneck,nút cổ chai,noun,/ˈbɒtlnek/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bot/bottl/bottleneck__gb_2.mp3
brewery,https://www.oxfordlearnersdictionaries.com/definition/english/brewery,C1,brewery,nhà máy bia,noun,/ˈbruːəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bre/brewe/brewery__gb_1.mp3
craft_brewery,https://www.oxfordlearnersdictionaries.com/definition/english/craft-brewery,C2,craft brewery,nhà máy bia thủ công,noun,/ˌkrɑːft ˈbruːəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cra/craft/craft_brewery_1_gb_1.mp3
assemble,https://www.oxfordlearnersdictionaries.com/definition/english/assemble,C1,assemble,tập hợp,verb,/əˈsembl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ass/assem/assemble__gb_2.mp3
cam,https://www.oxfordlearnersdictionaries.com/definition/english/cam_2,C2,CAM,CAM,abbreviation,/kæm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cam/cam__/cam__gb_1.mp3
cadcam,https://www.oxfordlearnersdictionaries.com/definition/english/cadcam,C2,CADCAM,CADCAM,abbreviation,/ˈkædkæm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cad/cadca/cadcam_1_gb_1.mp3
assembly_line,https://www.oxfordlearnersdictionaries.com/definition/english/assembly-line,C1,assembly line,dây chuyền lắp ráp,noun,/əˈsembli laɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ass/assem/assembly_line_1_gb_1.mp3
close_its_doors,https://www.oxfordlearnersdictionaries.com/definition/english/close1_1,C2,close its doors,đóng cửa lại,verb,/kləʊz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/clo/close/close__gb_1.mp3
