id,url,levels,word,translation,part_of_speech,ipa,audio_link
adulterous,https://www.oxfordlearnersdictionaries.com/definition/english/adulterous,C2,adulterous,ngoại tình,adjective,/əˈdʌltərəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adu/adult/adulterous__gb_1.mp3
custodial,https://www.oxfordlearnersdictionaries.com/definition/english/custodial,C2,custodial,sự giam giữ,adjective,/kʌˈstəʊdiəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cus/custo/custodial__gb_1.mp3
custody,https://www.oxfordlearnersdictionaries.com/definition/english/custody,C1,custody,quyền giám hộ,noun,/ˈkʌstədi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cus/custo/custody__gb_1.mp3
break_up,https://www.oxfordlearnersdictionaries.com/definition/english/break-up_1,B1,break up,chia tay,phrasal verb,,
adultery,https://www.oxfordlearnersdictionaries.com/definition/english/adultery,C2,adultery,ngoại tình,noun,/əˈdʌltəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adu/adult/adultery__gb_1.mp3
cheat,https://www.oxfordlearnersdictionaries.com/definition/english/cheat_1,C1,cheat,gian lận,verb,/tʃiːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/che/cheat/cheat__gb_2.mp3
chuck,https://www.oxfordlearnersdictionaries.com/definition/english/chuck_1,C2,chuck,mâm cặp,verb,/tʃʌk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chu/chuck/chuck__gb_3.mp3
break-up,https://www.oxfordlearnersdictionaries.com/definition/english/break-up_2,C1,break-up,chia tay,noun,/ˈbreɪk ʌp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bre/break/break_up_1_gb_1.mp3
annul,https://www.oxfordlearnersdictionaries.com/definition/english/annul,C2,annul,hủy bỏ,verb,/əˈnʌl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ann/annul/annul__gb_1.mp3
annulment,https://www.oxfordlearnersdictionaries.com/definition/english/annulment,C2,annulment,sự hủy bỏ,noun,/əˈnʌlmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ann/annul/annulment__gb_1.mp3
dissolve,https://www.oxfordlearnersdictionaries.com/definition/english/dissolve,C2,dissolve,hòa tan,verb,/dɪˈzɒlv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/disso/dissolve__gb_1.mp3
divorce,https://www.oxfordlearnersdictionaries.com/definition/english/divorce_2,B2,divorce,ly hôn,verb,/dɪˈvɔːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/div/divor/divorce__gb_1.mp3
divorce,https://www.oxfordlearnersdictionaries.com/definition/english/divorce_1,B2,divorce,ly hôn,noun,/dɪˈvɔːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/div/divor/divorce__gb_1.mp3
decree_absolute,https://www.oxfordlearnersdictionaries.com/definition/english/decree-absolute,C2,decree absolute,sắc lệnh tuyệt đối,noun,/dɪˌkriː ˈæbsəluːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dec/decre/decree_absolute_1_gb_1.mp3
dissolution,https://www.oxfordlearnersdictionaries.com/definition/english/dissolution,C2,dissolution,giải thể,noun,/ˌdɪsəˈluːʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/disso/dissolution__gb_1.mp3
divorced,https://www.oxfordlearnersdictionaries.com/definition/english/divorced,A2,divorced,đã ly dị,adjective,/dɪˈvɔːst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/div/divor/divorced__gb_1.mp3
disown,https://www.oxfordlearnersdictionaries.com/definition/english/disown,C2,disown,từ chối,verb,/dɪsˈəʊn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/disow/disown__gb_1.mp3
divorcé,https://www.oxfordlearnersdictionaries.com/definition/english/divorce_3,C2,divorcé,ly hôn,noun,/dɪˌvɔːˈsiː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/div/divor/divorce_1_gb_2.mp3
dump,https://www.oxfordlearnersdictionaries.com/definition/english/dump_1,C1,dump,bãi rác,verb,/dʌmp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dum/dump_/dump__gb_1.mp3
estranged,https://www.oxfordlearnersdictionaries.com/definition/english/estranged,C2,estranged,ghẻ lạnh,adjective,/ɪˈstreɪndʒd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/est/estra/estranged__gb_1.mp3
divorcée,https://www.oxfordlearnersdictionaries.com/definition/english/divorcee_2,C2,divorcée,người đã ly hôn,noun,/dɪˌvɔːˈsiː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/div/divor/divorcee_1_gb_2.mp3
ex,https://www.oxfordlearnersdictionaries.com/definition/english/ex_1,C1,ex,bán tại,noun,/eks/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ex_/ex__g/ex__gb_1.mp3
ex-,https://www.oxfordlearnersdictionaries.com/definition/english/ex_3,C1,ex-,bán tại-,prefix,/eks/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ex_/ex__1/ex__1_gb_1.mp3
leave,https://www.oxfordlearnersdictionaries.com/definition/english/leave_1,A1,leave,rời khỏi,verb,/liːv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lea/leave/leave__gb_1.mp3
divorcee,https://www.oxfordlearnersdictionaries.com/definition/english/divorcee_1,C2,divorcee,người ly dị,noun,/dɪˌvɔːˈsiː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/div/divor/divorcee__gb_2.mp3
part,https://www.oxfordlearnersdictionaries.com/definition/english/part_2,C2,part,phần,verb,/pɑːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/par/part_/part__gb_1.mp3
