id,url,levels,word,translation,part_of_speech,ipa,audio_link
arena,https://www.oxfordlearnersdictionaries.com/definition/english/arena,C1,arena,đấu trường,noun,/əˈriːnə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/are/arena/arena__gb_1.mp3
caldron,https://www.oxfordlearnersdictionaries.com/definition/english/caldron,C2,caldron,cái vạc,noun,/ˈkɔːldrən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cau/cauld/cauldron__gb_1.mp3
challenger,https://www.oxfordlearnersdictionaries.com/definition/english/challenger_1,C1,challenger,người thách đấu,noun,/ˈtʃælɪndʒə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/chall/challenger__gb_1.mp3
champion,https://www.oxfordlearnersdictionaries.com/definition/english/champion_1,B1,champion,nhà vô địch,noun,/ˈtʃæmpiən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/champ/champion__gb_2.mp3
championship,https://www.oxfordlearnersdictionaries.com/definition/english/championship,B2,championship,chức vô địch,noun,/ˈtʃæmpiənʃɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/champ/championship__gb_2.mp3
athlete,https://www.oxfordlearnersdictionaries.com/definition/english/athlete,A2,athlete,vận động viên,noun,/ˈæθliːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ath/athle/athlete__gb_1.mp3
bronze,https://www.oxfordlearnersdictionaries.com/definition/english/bronze_1,C1,bronze,đồng,noun,/brɒnz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/bronz/bronze__gb_1.mp3
cauldron,https://www.oxfordlearnersdictionaries.com/definition/english/cauldron,C2,cauldron,cái vạc,noun,/ˈkɔːldrən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cau/cauld/cauldron__gb_1.mp3
bronze_medallist,https://www.oxfordlearnersdictionaries.com/definition/english/bronze-medallist,C1,bronze medallist,huy chương đồng,noun,/ˌbrɒnz ˈmedəlɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/bronz/bronze_medallist_1_gb_1.mp3
circuit,https://www.oxfordlearnersdictionaries.com/definition/english/circuit,C2,circuit,mạch điện,noun,/ˈsɜːkɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cir/circu/circuit__gb_1.mp3
bronze_medal,https://www.oxfordlearnersdictionaries.com/definition/english/bronze-medal,C1,bronze medal,huy chương đồng,noun,/ˌbrɒnz ˈmedl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/bronz/bronze_medal_1_gb_1.mp3
coach,https://www.oxfordlearnersdictionaries.com/definition/english/coach_1,A2,coach,huấn luyện viên,noun,/kəʊtʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coa/coach/coach__gb_2.mp3
commentary,https://www.oxfordlearnersdictionaries.com/definition/english/commentary,C1,commentary,bình luận,noun,/ˈkɒməntri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/comme/commentary__gb_1.mp3
circuit_training,https://www.oxfordlearnersdictionaries.com/definition/english/circuit-training,C2,circuit training,đào tạo mạch,noun,/ˈsɜːkɪt treɪnɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cir/circu/circuit_training_1_gb_1.mp3
compete,https://www.oxfordlearnersdictionaries.com/definition/english/compete,A2,compete,hoàn thành,verb,/kəmˈpiːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/compe/compete__gb_2.mp3
coach,https://www.oxfordlearnersdictionaries.com/definition/english/coach_2,B1,coach,huấn luyện viên,verb,/kəʊtʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coa/coach/coach__gb_2.mp3
commentator,https://www.oxfordlearnersdictionaries.com/definition/english/commentator,C1,commentator,người bình luận,noun,/ˈkɒmənteɪtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/comme/commentator__gb_2.mp3
competition,https://www.oxfordlearnersdictionaries.com/definition/english/competition,A2,competition,cuộc thi,noun,/ˌkɒmpəˈtɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/compe/competition__gb_3.mp3
competitor,https://www.oxfordlearnersdictionaries.com/definition/english/competitor,B1,competitor,đối thủ cạnh tranh,noun,/kəmˈpetɪtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/compe/competitor__gb_1.mp3
competitive,https://www.oxfordlearnersdictionaries.com/definition/english/competitive,B1,competitive,cạnh tranh,adjective,/kəmˈpetətɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/compe/competitive__gb_4.mp3
defeat,https://www.oxfordlearnersdictionaries.com/definition/english/defeat_2,B2,defeat,đánh bại,noun,/dɪˈfiːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/def/defea/defeat__gb_1.mp3
defeat,https://www.oxfordlearnersdictionaries.com/definition/english/defeat_1,B2,defeat,đánh bại,verb,/dɪˈfiːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/def/defea/defeat__gb_1.mp3
dope,https://www.oxfordlearnersdictionaries.com/definition/english/dope_2,C1,dope,gây nghiện,verb,/dəʊp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dop/dope_/dope__gb_1.mp3
doping,https://www.oxfordlearnersdictionaries.com/definition/english/doping,C1,doping,doping,noun,/ˈdəʊpɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dop/dopin/doping__gb_1.mp3
dope,https://www.oxfordlearnersdictionaries.com/definition/english/dope_1,C1,dope,gây nghiện,noun,/dəʊp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dop/dope_/dope__gb_1.mp3
enter,https://www.oxfordlearnersdictionaries.com/definition/english/enter,B1,enter,đi vào,verb,/ˈentə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ent/enter/enter__gb_1.mp3
event,https://www.oxfordlearnersdictionaries.com/definition/english/event,B1,event,sự kiện,noun,/ɪˈvent/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eve/event/event__gb_1.mp3
