id,url,levels,word,translation,part_of_speech,ipa,audio_link
arduous,https://www.oxfordlearnersdictionaries.com/definition/english/arduous,C2,arduous,gian truân,adjective,/ˈɑːdʒuəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ard/arduo/arduous__gb_2.mp3
collaborative,https://www.oxfordlearnersdictionaries.com/definition/english/collaborative,C1,collaborative,hợp tác,adjective,/kəˈlæbərətɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/colla/collaborative__gb_1.mp3
achieve,https://www.oxfordlearnersdictionaries.com/definition/english/achieve,A2,achieve,đạt được,verb,/əˈtʃiːv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ach/achie/achieve__gb_2.mp3
between_jobs,https://www.oxfordlearnersdictionaries.com/definition/english/job_1,C1,between jobs,giữa các công việc,noun,/dʒɒb/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/j/job/job__/job__gb_4.mp3
challenging,https://www.oxfordlearnersdictionaries.com/definition/english/challenging,B2,challenging,đầy thử thách,adjective,/ˈtʃælɪndʒɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/chall/challenging__gb_3.mp3
business,https://www.oxfordlearnersdictionaries.com/definition/english/business,A1,business,việc kinh doanh,noun,/ˈbɪznəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bus/busin/business__gb_2.mp3
boring,https://www.oxfordlearnersdictionaries.com/definition/english/boring,A1,boring,nhạt nhẽo,adjective,/ˈbɔːrɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bor/borin/boring__gb_1.mp3
be_above/beyond_somebody's_pay_grade,https://www.oxfordlearnersdictionaries.com/definition/english/pay_2,C2,be above/beyond somebody's pay grade,ở trên/vượt quá mức lương của ai đó,noun,/peɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pay/pay__/pay__gb_1.mp3
blue_monday,https://www.oxfordlearnersdictionaries.com/definition/english/blue-monday,C2,blue Monday,màu xanh da trời,noun,/ˌbluː ˈmʌndeɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blu/blue_/blue_monday_1_gb_1.mp3
back-breaking,https://www.oxfordlearnersdictionaries.com/definition/english/back-breaking,C2,back-breaking,đột phá,adjective,/ˈbæk breɪkɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bac/back_/back_breaking_1_gb_1.mp3
competitive,https://www.oxfordlearnersdictionaries.com/definition/english/competitive,B1,competitive,cạnh tranh,adjective,/kəmˈpetətɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/compe/competitive__gb_4.mp3
demanding,https://www.oxfordlearnersdictionaries.com/definition/english/demanding,B2,demanding,đòi hỏi khắt khe,adjective,/dɪˈmɑːndɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dem/deman/demanding__gb_1.mp3
dangerous,https://www.oxfordlearnersdictionaries.com/definition/english/dangerous,A1,dangerous,nguy hiểm,adjective,/ˈdeɪndʒərəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dan/dange/dangerous__gb_1.mp3
creative,https://www.oxfordlearnersdictionaries.com/definition/english/creative_1,A2,creative,sáng tạo,adjective,/kriˈeɪtɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cre/creat/creative__gb_3.mp3
core_competency,https://www.oxfordlearnersdictionaries.com/definition/english/core-competency,C2,core competency,năng lực cốt lõi,noun,/ˌkɔː ˈkɒmpɪtənsi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cor/core_/core_competency_1_gb_1.mp3
