id,url,levels,word,translation,part_of_speech,ipa,audio_link
evaluation,https://www.oxfordlearnersdictionaries.com/definition/english/evaluation,B2,evaluation,sự đánh giá,noun,/ɪˌvæljuˈeɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eva/evalu/evaluation__gb_1.mp3
development,https://www.oxfordlearnersdictionaries.com/definition/english/development,B1,development,phát triển,noun,/dɪˈveləpmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dev/devel/development__gb_1.mp3
analyse,https://www.oxfordlearnersdictionaries.com/definition/english/analyse,B1,analyse,phân tích,verb,/ˈænəlaɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ana/analy/analyse__gb_6.mp3
classify,https://www.oxfordlearnersdictionaries.com/definition/english/classify,B2,classify,phân loại,verb,/ˈklæsɪfaɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cla/class/classify__gb_2.mp3
analysis,https://www.oxfordlearnersdictionaries.com/definition/english/analysis,B1,analysis,Phân tích,noun,/əˈnæləsɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ana/analy/analysis__gb_4.mp3
evaluate,https://www.oxfordlearnersdictionaries.com/definition/english/evaluate,B2,evaluate,đánh giá,verb,/ɪˈvæljueɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eva/evalu/evaluate__gb_2.mp3
advancement,https://www.oxfordlearnersdictionaries.com/definition/english/advancement,C1,advancement,thăng tiến,noun,/ədˈvɑːnsmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advan/advancement__gb_1.mp3
develop,https://www.oxfordlearnersdictionaries.com/definition/english/develop,A2,develop,phát triển,verb,/dɪˈveləp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dev/devel/develop__gb_3.mp3
case_study,https://www.oxfordlearnersdictionaries.com/definition/english/case-study,B2,case study,nghiên cứu trường hợp,noun,/ˈkeɪs stʌdi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cas/case_/case_study_1_gb_1.mp3
hypothesis,https://www.oxfordlearnersdictionaries.com/definition/english/hypothesis,B2,hypothesis,giả thuyết,noun,/haɪˈpɒθəsɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hyp/hypot/hypothesis__gb_5.mp3
chemistry_set,https://www.oxfordlearnersdictionaries.com/definition/english/chemistry-set,B1,chemistry set,bộ hóa học,noun,/ˈkemɪstri set/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/che/chemi/chemistry_set_1_gb_1.mp3
journal,https://www.oxfordlearnersdictionaries.com/definition/english/journal,B1,journal,tạp chí,noun,/ˈdʒɜːnl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/j/jou/journ/journal__gb_2.mp3
