id,url,levels,word,translation,part_of_speech,ipa,audio_link
carbon_credit,https://www.oxfordlearnersdictionaries.com/definition/english/carbon-credit,C2,carbon credit,tín dụng carbon,noun,/ˈkɑːbən kredɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/carbo/carbon_credit_1_gb_1.mp3
carbon_dioxide,https://www.oxfordlearnersdictionaries.com/definition/english/carbon-dioxide,B2,carbon dioxide,khí cacbonic,noun,/ˌkɑːbən daɪˈɒksaɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/carbo/carbon_dioxide_1_gb_1.mp3
carbon-neutral,https://www.oxfordlearnersdictionaries.com/definition/english/carbon-neutral,C1,carbon-neutral,trung hòa cacbon,adjective,/ˌkɑːbən ˈnjuːtrəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/carbo/carbon_neutral_1_gb_2.mp3
carbon_footprint,https://www.oxfordlearnersdictionaries.com/definition/english/carbon-footprint,B2,carbon footprint,dấu chân carbon,noun,/ˌkɑːbən ˈfʊtprɪnt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/carbo/carbon_footprint_1_gb_4.mp3
carbon,https://www.oxfordlearnersdictionaries.com/definition/english/carbon,B2,carbon,cacbon,noun,/ˈkɑːbən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/carbo/carbon__gb_1.mp3
carbon_capture_and_storage,https://www.oxfordlearnersdictionaries.com/definition/english/carbon-capture-and-storage,C1,carbon capture and storage,thu hồi và lưu trữ carbon,noun,/ˌkɑːbən ˌkæptʃər ən ˈstɔːrɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/carbo/carbon_capture_and_storage_1_gb_1.mp3
carbon_debt,https://www.oxfordlearnersdictionaries.com/definition/english/carbon-debt,C2,carbon debt,nợ carbon,noun,/ˌkɑːbən ˈdet/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/carbo/carbon_debt_1_gb_1.mp3
carbon_trading,https://www.oxfordlearnersdictionaries.com/definition/english/carbon-trading,C1,carbon trading,kinh doanh cacbon,noun,/ˈkɑːbən treɪdɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/carbo/carbon_trading_1_gb_1.mp3
carbon_sequestration,https://www.oxfordlearnersdictionaries.com/definition/english/carbon-sequestration,C2,carbon sequestration,cô lập cacbon,noun,/ˌkɑːbən ˌsiːkwəˈstreɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/carbo/carbon_sequestration_1_gb_2.mp3
carbon_offset,https://www.oxfordlearnersdictionaries.com/definition/english/carbon-offset,C2,carbon offset,bù đắp carbon,noun,/ˌkɑːbən ˈɒfset/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/carbo/carbon_offset_1_gb_3.mp3
climate,https://www.oxfordlearnersdictionaries.com/definition/english/climate,A2,climate,khí hậu,noun,/ˈklaɪmət/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cli/clima/climate__gb_1.mp3
climate_action,https://www.oxfordlearnersdictionaries.com/definition/english/climate-action,B2,climate action,hành động về khí hậu,noun,/ˈklaɪmət ækʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cli/clima/climate_action_1_gb_1.mp3
climate_crisis,https://www.oxfordlearnersdictionaries.com/definition/english/climate-crisis,B2,climate crisis,khủng hoảng khí hậu,noun,/ˈklaɪmət kraɪsɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cli/clima/climate_crisis_1_gb_1.mp3
climate_change,https://www.oxfordlearnersdictionaries.com/definition/english/climate-change,A2,climate change,biến đổi khí hậu,noun,/ˈklaɪmət tʃeɪndʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cli/clima/climate_change_1_gb_1.mp3
climate_emergency,https://www.oxfordlearnersdictionaries.com/definition/english/climate-emergency,B1,climate emergency,tình trạng khẩn cấp về khí hậu,noun,/ˈklaɪmət ɪmɜːdʒənsi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cli/clima/climate_emergency_1_gb_1.mp3
eco-anxiety,https://www.oxfordlearnersdictionaries.com/definition/english/eco-anxiety,C1,eco-anxiety,lo lắng sinh thái,noun,/ˌiːkəʊ æŋˈzaɪəti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eco/eco_a/eco_anxiety_1_gb_1.mp3
climate_strike,https://www.oxfordlearnersdictionaries.com/definition/english/climate-strike,B2,climate strike,tấn công khí hậu,noun,/ˈklaɪmət straɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cli/clima/climate_strike_1_gb_1.mp3
emissions_trading,https://www.oxfordlearnersdictionaries.com/definition/english/emissions-trading,C2,emissions trading,kinh doanh khí thải,noun,/ɪˈmɪʃnz treɪdɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/emi/emiss/emissions_trading_1_gb_2.mp3
climate_change_denial,https://www.oxfordlearnersdictionaries.com/definition/english/climate-change-denial,C1,climate change denial,từ chối biến đổi khí hậu,noun,/ˈklaɪmət tʃeɪndʒ dɪnaɪəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cli/clima/climate_change_denial_1_gb_1.mp3
