id,url,levels,word,translation,part_of_speech,ipa,audio_link
cream,https://www.oxfordlearnersdictionaries.com/definition/english/cream_1,A1,cream,kem,noun,/kriːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cre/cream/cream__gb_1.mp3
cheeseboard,https://www.oxfordlearnersdictionaries.com/definition/english/cheeseboard,C2,cheeseboard,miếng pho mát,noun,/ˈtʃiːzbɔːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/che/chees/cheeseboard__gb_2.mp3
butter,https://www.oxfordlearnersdictionaries.com/definition/english/butter_1,A1,butter,bơ,noun,/ˈbʌtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/but/butte/butter__gb_2.mp3
cheese,https://www.oxfordlearnersdictionaries.com/definition/english/cheese,A1,cheese,phô mai,noun,/tʃiːz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/che/chees/cheese__gb_3.mp3
cheddar,https://www.oxfordlearnersdictionaries.com/definition/english/cheddar,C2,Cheddar,Cheddar,noun,/ˈtʃedə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/che/chedd/cheddar__gb_1.mp3
blue_cheese,https://www.oxfordlearnersdictionaries.com/definition/english/blue-cheese,C1,blue cheese,phô mai xanh,noun,/ˌbluː ˈtʃiːz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blu/blue_/blue_cheese_1_gb_1.mp3
camembert,https://www.oxfordlearnersdictionaries.com/definition/english/camembert,C2,Camembert,phô mai Camembert,noun,/ˈkæməmbeə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cam/camem/camembert__gb_1.mp3
american_cheese,https://www.oxfordlearnersdictionaries.com/definition/english/american-cheese,C1,American cheese,Phô mai Mỹ,noun,/əˌmerɪkən ˈtʃiːz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ame/ameri/american_cheese_1_gb_1.mp3
brie,https://www.oxfordlearnersdictionaries.com/definition/english/brie,C2,Brie,Brie,noun,/briː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/brie_/brie__gb_1.mp3
cottage_cheese,https://www.oxfordlearnersdictionaries.com/definition/english/cottage-cheese,C2,cottage cheese,phô mai,noun,/ˌkɒtɪdʒ ˈtʃiːz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cot/cotta/cottage_cheese_1_gb_1.mp3
dairy-free,https://www.oxfordlearnersdictionaries.com/definition/english/dairy-free,B2,dairy-free,không có sữa,adjective,/ˌdeəri ˈfriː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dai/dairy/dairy_free_1_gb_1.mp3
curd_cheese,https://www.oxfordlearnersdictionaries.com/definition/english/curd-cheese,C2,curd cheese,phô mai sữa đông,noun,/ˈkɜːd tʃiːz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cur/curd_/curd_cheese_1_gb_1.mp3
emmental,https://www.oxfordlearnersdictionaries.com/definition/english/emmental,C2,Emmental,emmental,noun,/ˈeməntɑːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/emm/emmen/emmental__gb_1.mp3
egg,https://www.oxfordlearnersdictionaries.com/definition/english/egg_1,A1,egg,trứng,noun,/eɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/egg/egg__/egg__gb_3.mp3
crowdie,https://www.oxfordlearnersdictionaries.com/definition/english/crowdie,C2,crowdie,đám đông,noun,/ˈkraʊdi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cro/crowd/crowdie__gb_1.mp3
danish_blue,https://www.oxfordlearnersdictionaries.com/definition/english/danish-blue,C2,Danish blue,màu xanh Đan Mạch,noun,/ˌdeɪnɪʃ ˈbluː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dan/danis/danish_blue_1_gb_1.mp3
fat,https://www.oxfordlearnersdictionaries.com/definition/english/fat_2,A2,fat,mập,noun,/fæt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fat/fat__/fat__gb_1.mp3
dairy,https://www.oxfordlearnersdictionaries.com/definition/english/dairy_1,B2,dairy,sữa,noun,/ˈdeəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dai/dairy/dairy__gb_1.mp3
cream_cheese,https://www.oxfordlearnersdictionaries.com/definition/english/cream-cheese,C1,cream cheese,phô mai kem,noun,/ˌkriːm ˈtʃiːz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cre/cream/cream_cheese_1_gb_1.mp3
edam,https://www.oxfordlearnersdictionaries.com/definition/english/edam,C2,Edam,Ê-đam,noun,/ˈiːdæm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eda/edam_/edam__gb_1.mp3
goat_cheese,https://www.oxfordlearnersdictionaries.com/definition/english/goat-cheese,B2,goat cheese,phô mai dê,noun,/ˈɡəʊt tʃiːz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/goa/goat_/goat_cheese_1_gb_1.mp3
fromage_frais,https://www.oxfordlearnersdictionaries.com/definition/english/fromage-frais,C2,fromage frais,bạn gái từ xa,noun,/ˌfrɒmɑːʒ ˈfreɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fro/froma/fromage_frais_1_gb_1.mp3
feta_cheese,https://www.oxfordlearnersdictionaries.com/definition/english/feta-cheese,C2,feta cheese,phô mai feta,noun,/ˌfetə ˈtʃiːz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fet/feta_/feta_cheese_1_gb_1.mp3
gouda,https://www.oxfordlearnersdictionaries.com/definition/english/gouda,C2,Gouda,Gouda,noun,/ˈɡaʊdə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gou/gouda/gouda_1_gb_2.mp3
greek_yogurt,https://www.oxfordlearnersdictionaries.com/definition/english/greek-yogurt,B2,Greek yogurt,sữa chua Hy Lạp,noun,/ˌɡriːk ˈjɒɡət/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gre/greek/greek_yogurt_1_gb_1.mp3
lard,https://www.oxfordlearnersdictionaries.com/definition/english/lard_1,C2,lard,mỡ lợn,noun,/lɑːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lar/lard_/lard__gb_1.mp3
gruyère,https://www.oxfordlearnersdictionaries.com/definition/english/gruyere,C2,Gruyère,Gruyère,noun,/ˈɡruːjeə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gru/gruye/gruyere_1_gb_1.mp3
halloumi™,https://www.oxfordlearnersdictionaries.com/definition/english/halloumitm,C2,halloumi™,halloumi™,noun,/həˈluːmi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hal/hallo/halloumi__gb_1.mp3
