id,url,levels,word,translation,part_of_speech,ipa,audio_link
alert,https://www.oxfordlearnersdictionaries.com/definition/english/alert_3,C1,alert,báo động,adjective,/əˈlɜːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ale/alert/alert__gb_1.mp3
caution,https://www.oxfordlearnersdictionaries.com/definition/english/caution_1,C1,caution,thận trọng,noun,/ˈkɔːʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cau/cauti/caution__gb_2.mp3
alarm,https://www.oxfordlearnersdictionaries.com/definition/english/alarm_1,B1,alarm,báo thức,noun,/əˈlɑːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ala/alarm/alarm__gb_1.mp3
be_on_the_watch_(for_somebody/something),https://www.oxfordlearnersdictionaries.com/definition/english/watch_2,C2,be on the watch (for somebody/something),canh chừng (cho ai/cái gì),noun,/wɒtʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wat/watch/watch__gb_2.mp3
do_something_at_your_(own)_peril,https://www.oxfordlearnersdictionaries.com/definition/english/peril,C2,do something at your (own) peril,làm điều gì đó trong tình trạng nguy hiểm (của riêng bạn),noun,/ˈperəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/per/peril/peril__gb_1.mp3
be_on_the_lookout_(for_somebody/something),https://www.oxfordlearnersdictionaries.com/definition/english/lookout,C2,be on the lookout (for somebody/something),đề phòng (ai/cái gì),noun,/ˈlʊkaʊt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/loo/looko/lookout__gb_1.mp3
alert,https://www.oxfordlearnersdictionaries.com/definition/english/alert_1,C1,alert,báo động,verb,/əˈlɜːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ale/alert/alert__gb_1.mp3
be_on_your_guard,https://www.oxfordlearnersdictionaries.com/definition/english/guard_1,C2,be on your guard,hãy cảnh giác,noun,/ɡɑːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gua/guard/guard__gb_2.mp3
avert,https://www.oxfordlearnersdictionaries.com/definition/english/avert,C1,avert,tránh xa,verb,/əˈvɜːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ave/avert/avert__gb_1.mp3
escape,https://www.oxfordlearnersdictionaries.com/definition/english/escape_2,B1,escape,bỏ trốn,noun,/ɪˈskeɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/esc/escap/escape__gb_1.mp3
escape,https://www.oxfordlearnersdictionaries.com/definition/english/escape_1,B1,escape,bỏ trốn,verb,/ɪˈskeɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/esc/escap/escape__gb_1.mp3
evacuate,https://www.oxfordlearnersdictionaries.com/definition/english/evacuate,C1,evacuate,sơ tán,verb,/ɪˈvækjueɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eva/evacu/evacuate__gb_1.mp3
discretion_is_the_better_part_of_valour,https://www.oxfordlearnersdictionaries.com/definition/english/discretion,C2,discretion is the better part of valour,sự thận trọng là phần tốt hơn của lòng dũng cảm,noun,/dɪˈskreʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/discr/discretion__gb_2.mp3
evacuation,https://www.oxfordlearnersdictionaries.com/definition/english/evacuation,C1,evacuation,sơ tán,noun,/ɪˌvækjuˈeɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eva/evacu/evacuation__gb_1.mp3
