id,url,levels,word,translation,part_of_speech,ipa,audio_link
boarding_school,https://www.oxfordlearnersdictionaries.com/definition/english/boarding-school,B2,boarding school,trường nội trú,noun,/ˈbɔːdɪŋ skuːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boa/board/boarding_school_1_gb_1.mp3
ctc,https://www.oxfordlearnersdictionaries.com/definition/english/ctc,C2,CTC,CTC,abbreviation,/ˌsiː tiː ˈsiː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/ctc/ctc__/ctc__gb_1.mp3
comprehensive,https://www.oxfordlearnersdictionaries.com/definition/english/comprehensive_2,C2,comprehensive,toàn diện,noun,/ˌkɒmprɪˈhensɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/compr/comprehensive__gb_2.mp3
co-educational,https://www.oxfordlearnersdictionaries.com/definition/english/co-educational,C2,co-educational,đồng giáo dục,adjective,/ˌkəʊ edʒuˈkeɪʃənl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/co_/co_ed/co_educational_1_gb_1.mp3
grammar_school,https://www.oxfordlearnersdictionaries.com/definition/english/grammar-school,C1,grammar school,trường ngữ pháp,noun,/ˈɡræmə skuːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gra/gramm/grammar_school_1_gb_1.mp3
elementary_school,https://www.oxfordlearnersdictionaries.com/definition/english/elementary-school,B2,elementary school,trường tiểu học,noun,/ˌelɪˈmentri skuːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ele/eleme/elementary_school_1_gb_1.mp3
grade_school,https://www.oxfordlearnersdictionaries.com/definition/english/grade-school,B2,grade school,trường lớp,noun,/ˈɡreɪd skuːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gra/grade/grade_school_1_gb_1.mp3
comprehensive,https://www.oxfordlearnersdictionaries.com/definition/english/comprehensive_1,C2,comprehensive,toàn diện,adjective,/ˌkɒmprɪˈhensɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/compr/comprehensive__gb_2.mp3
co-education,https://www.oxfordlearnersdictionaries.com/definition/english/co-education,C2,co-education,đồng giáo dục,noun,/ˌkəʊ edʒuˈkeɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/co_/co_ed/co_education_1_gb_1.mp3
junior_high_school,https://www.oxfordlearnersdictionaries.com/definition/english/junior-high-school,B2,junior high school,trường trung học cơ sở,noun,/ˌdʒuːniə ˈhaɪ skuːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/j/jun/junio/junior_high_school_1_gb_1.mp3
high_school,https://www.oxfordlearnersdictionaries.com/definition/english/high-school,A1,high school,trường trung học,noun,/ˈhaɪ skuːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hig/high_/high_school_1_gb_1.mp3
junior,https://www.oxfordlearnersdictionaries.com/definition/english/junior_1,C1,junior,nhỏ,adjective,/ˈdʒuːniə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/j/jun/junio/junior__gb_1.mp3
kindergarten,https://www.oxfordlearnersdictionaries.com/definition/english/kindergarten,B2,kindergarten,mẫu giáo,noun,/ˈkɪndəɡɑːtn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/k/kin/kinde/kindergarten__gb_4.mp3
crammer,https://www.oxfordlearnersdictionaries.com/definition/english/crammer,C2,crammer,người luyện thi,noun,/ˈkræmə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cra/cramm/crammer__gb_1.mp3
infant_school,https://www.oxfordlearnersdictionaries.com/definition/english/infant-school,C1,infant school,trường trẻ sơ sinh,noun,/ˈɪnfənt skuːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/inf/infan/infant_school_1_gb_1.mp3
grant-maintained,https://www.oxfordlearnersdictionaries.com/definition/english/grant-maintained,C2,grant-maintained,duy trì tài trợ,adjective,/ˌɡrɑːnt meɪnˈteɪnd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gra/grant/grant_maintained_1_gb_1.mp3
independent_school,https://www.oxfordlearnersdictionaries.com/definition/english/independent-school,C1,independent school,trường độc lập,noun,/ˌɪndɪpendənt ˈskuːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ind/indep/independent_school_1_gb_1.mp3
middle_school,https://www.oxfordlearnersdictionaries.com/definition/english/middle-school,C1,middle school,trường trung học cơ sở,noun,/ˈmɪdl skuːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mid/middl/middle_school_1_gb_1.mp3
mixed,https://www.oxfordlearnersdictionaries.com/definition/english/mixed,B2,mixed,hỗn hợp,adjective,/mɪkst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mix/mixed/mixed__gb_1.mp3
lower_school,https://www.oxfordlearnersdictionaries.com/definition/english/lower-school,C1,lower school,trường trung học cơ sở,noun,/ˈləʊə skuːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/low/lower/lower_school_1_gb_1.mp3
junior_school,https://www.oxfordlearnersdictionaries.com/definition/english/junior-school,B2,junior school,trường trung học cơ sở,noun,/ˈdʒuːniə skuːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/j/jun/junio/junior_school_1_gb_1.mp3
preparatory_school,https://www.oxfordlearnersdictionaries.com/definition/english/preparatory-school,C2,preparatory school,trường dự bị,noun,/prɪˈpærətri skuːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pre/prepa/preparatory_school_1_gb_1.mp3
primary,https://www.oxfordlearnersdictionaries.com/definition/english/primary_1,B1,primary,sơ đẳng,adjective,/ˈpraɪməri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pri/prima/primary__gb_3.mp3
primary_school,https://www.oxfordlearnersdictionaries.com/definition/english/primary-school,B1,primary school,trường tiểu học,noun,/ˈpraɪməri skuːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pri/prima/primary_school_1_gb_1.mp3
