id,url,levels,word,translation,part_of_speech,ipa,audio_link
all_right,https://www.oxfordlearnersdictionaries.com/definition/english/all-right_2,A2,all right,được rồi,"adjective,adverb",/ɔːl ˈraɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/all_r/all_right_1_gb_2.mp3
alright,https://www.oxfordlearnersdictionaries.com/definition/english/alright_2,A2,alright,được rồi,"adjective,adverb",/ɔːlˈraɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alr/alrig/alright__gb_2.mp3
can,https://www.oxfordlearnersdictionaries.com/definition/english/can1,A2,can,Có thể,modal verb,/kən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/can/can__/can__gb_1.mp3
allow,https://www.oxfordlearnersdictionaries.com/definition/english/allow,A2,allow,cho phép,verb,/əˈlaʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/allow/allow__gb_1.mp3
acceptable,https://www.oxfordlearnersdictionaries.com/definition/english/acceptable,B2,acceptable,chấp nhận được,adjective,/əkˈseptəbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accep/acceptable__gb_1.mp3
allowance,https://www.oxfordlearnersdictionaries.com/definition/english/allowance,C1,allowance,trợ cấp,noun,/əˈlaʊəns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/allow/allowance__gb_1.mp3
allowable,https://www.oxfordlearnersdictionaries.com/definition/english/allowable,C2,allowable,cho phép,adjective,/əˈlaʊəbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/allow/allowable__gb_1.mp3
admissibility,https://www.oxfordlearnersdictionaries.com/definition/english/admissibility,C2,admissibility,sự chấp nhận,noun,/ədˌmɪsəˈbɪləti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adm/admis/admissibility__gb_1.mp3
acceptably,https://www.oxfordlearnersdictionaries.com/definition/english/acceptably,B2,acceptably,chấp nhận được,adverb,/əkˈseptəbli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accep/acceptably__gb_1.mp3
admissible,https://www.oxfordlearnersdictionaries.com/definition/english/admissible,C2,admissible,có thể chấp nhận được,adjective,/ədˈmɪsəbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adm/admis/admissible__gb_1.mp3
consent,https://www.oxfordlearnersdictionaries.com/definition/english/consent_2,C1,consent,bằng lòng,verb,/kənˈsent/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconsent__gb_2.mp3
consent,https://www.oxfordlearnersdictionaries.com/definition/english/consent_1,C1,consent,bằng lòng,noun,/kənˈsent/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconsent__gb_2.mp3
dispensation,https://www.oxfordlearnersdictionaries.com/definition/english/dispensation,C2,dispensation,sự phân phát,noun,/ˌdɪspenˈseɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/dispe/dispensation__gb_1.mp3
lawful,https://www.oxfordlearnersdictionaries.com/definition/english/lawful,C2,lawful,hợp pháp,adjective,/ˈlɔːfl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/law/lawfu/lawful__gb_1.mp3
lawfully,https://www.oxfordlearnersdictionaries.com/definition/english/lawfully,C2,lawfully,hợp pháp,adverb,/ˈlɔːfəli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/law/lawfu/lawfully__gb_1.mp3
legal,https://www.oxfordlearnersdictionaries.com/definition/english/legal,B1,legal,hợp pháp,adjective,/ˈliːɡl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/leg/legal/legal__gb_2.mp3
lawfulness,https://www.oxfordlearnersdictionaries.com/definition/english/lawfulness,C2,lawfulness,tính hợp pháp,noun,/ˈlɔːflnəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/law/lawfu/lawfulness__gb_1.mp3
