id,url,levels,word,translation,part_of_speech,ipa,audio_link
blazon,https://www.oxfordlearnersdictionaries.com/definition/english/blazon,C2,blazon,huy chương,verb,/ˈbleɪzn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bla/blazo/blazon__gb_2.mp3
canard,https://www.oxfordlearnersdictionaries.com/definition/english/canard,C2,canard,cánh mũi,noun,/ˈkænɑːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/can/canar/canard__gb_2.mp3
carry,https://www.oxfordlearnersdictionaries.com/definition/english/carry_1,C2,carry,mang,verb,/ˈkæri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/carry/carry__gb_1.mp3
article,https://www.oxfordlearnersdictionaries.com/definition/english/article,A1,article,bài báo,noun,/ˈɑːtɪkl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/art/artic/article__gb_1.mp3
anchor,https://www.oxfordlearnersdictionaries.com/definition/english/anchor_2,C2,anchor,neo,verb,/ˈæŋkə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/anc/ancho/anchor__gb_1.mp3
censorship,https://www.oxfordlearnersdictionaries.com/definition/english/censorship,C1,censorship,sự kiểm duyệt,noun,/ˈsensəʃɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cen/censo/censorship__gb_2.mp3
backstory,https://www.oxfordlearnersdictionaries.com/definition/english/backstory,C2,backstory,cốt truyện,noun,/ˈbækstɔːri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bac/backs/backstory__gb_1.mp3
blaze,https://www.oxfordlearnersdictionaries.com/definition/english/blaze_1,C2,blaze,ngọn lửa,verb,/bleɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bla/blaze/blaze__gb_2.mp3
agony_column,https://www.oxfordlearnersdictionaries.com/definition/english/agony-column,C2,agony column,cột đau đớn,noun,/ˈæɡəni kɒləm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ago/agony/agony_column_1_gb_1.mp3
advice_column,https://www.oxfordlearnersdictionaries.com/definition/english/advice-column,B1,advice column,chuyên mục tư vấn,noun,/ədˈvaɪs kɒləm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advic/advice_column_1_gb_1.mp3
current_affairs,https://www.oxfordlearnersdictionaries.com/definition/english/current-affairs,C1,current affairs,vấn đề thời sự,noun,/ˌkʌrənt əˈfeəz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cur/curre/current_affairs_1_gb_1.mp3
contribute,https://www.oxfordlearnersdictionaries.com/definition/english/contribute,B2,contribute,đóng góp,verb,/kənˈtrɪbjuːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcont/xcontribute__gb_1.mp3
coverage,https://www.oxfordlearnersdictionaries.com/definition/english/coverage,B2,coverage,bảo hiểm,noun,/ˈkʌvərɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cov/cover/coverage__gb_1.mp3
