id,url,levels,word,translation,part_of_speech,ipa,audio_link
balk,https://www.oxfordlearnersdictionaries.com/definition/english/balk,C2,balk,chùn bước,verb,/bɔːk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bau/baulk/baulk__gb_2.mp3
baulk,https://www.oxfordlearnersdictionaries.com/definition/english/baulk,C2,baulk,baulk,verb,/bɔːk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bau/baulk/baulk__gb_2.mp3
barely,https://www.oxfordlearnersdictionaries.com/definition/english/barely,B2,barely,hầu như không,adverb,/ˈbeəli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bar/barel/barely__gb_3.mp3
agonizing,https://www.oxfordlearnersdictionaries.com/definition/english/agonizing,C1,agonizing,đau đớn,adjective,/ˈæɡənaɪzɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ago/agoni/agonizing__gb_1.mp3
battle,https://www.oxfordlearnersdictionaries.com/definition/english/battle_1,B1,battle,trận đánh,noun,/ˈbætl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bat/battl/battle__gb_2.mp3
assault,https://www.oxfordlearnersdictionaries.com/definition/english/assault_1,C1,assault,tấn công,noun,/əˈsɔːlt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ass/assau/assault__gb_1.mp3
battle,https://www.oxfordlearnersdictionaries.com/definition/english/battle_2,B2,battle,trận đánh,verb,/ˈbætl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bat/battl/battle__gb_2.mp3
be_up_against_a_brick_wall,https://www.oxfordlearnersdictionaries.com/definition/english/brick_1,C2,be up against a brick wall,tựa vào một bức tường gạch,noun,/brɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/brick/brick__gb_2.mp3
batten_down_the_hatches,https://www.oxfordlearnersdictionaries.com/definition/english/batten_2,C2,batten down the hatches,đóng cửa hầm,verb,/ˈbætn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bat/batte/batten__gb_2.mp3
be_no_picnic,https://www.oxfordlearnersdictionaries.com/definition/english/picnic_1,C2,be no picnic,không được đi dã ngoại,noun,/ˈpɪknɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pic/picni/picnic__gb_2.mp3
difficulty,https://www.oxfordlearnersdictionaries.com/definition/english/difficulty,B1,difficulty,khó khăn,noun,/ˈdɪfɪkəlti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dif/diffi/difficulty__gb_1.mp3
crisis,https://www.oxfordlearnersdictionaries.com/definition/english/crisis_1,B2,crisis,khủng hoảng,noun,/ˈkraɪsɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cri/crisi/crisis__gb_3.mp3
bother,https://www.oxfordlearnersdictionaries.com/definition/english/bother_2,C2,bother,làm phiền,noun,/ˈbɒðə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bot/bothe/bother__gb_1.mp3
big,https://www.oxfordlearnersdictionaries.com/definition/english/big_1,B2,big,to lớn,adjective,/bɪɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/big/big__/big__gb_2.mp3
hard,https://www.oxfordlearnersdictionaries.com/definition/english/hard_1,A1,hard,cứng,adjective,/hɑːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/har/hard_/hard__gb_1.mp3
elusive,https://www.oxfordlearnersdictionaries.com/definition/english/elusive,C1,elusive,khó nắm bắt,adjective,/ɪˈluːsɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/elu/elusi/elusive__gb_1.mp3
chance_your_arm,https://www.oxfordlearnersdictionaries.com/definition/english/chance_2,C2,chance your arm,cơ hội cánh tay của bạn,verb,/tʃɑːns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/chanc/chance__gb_4.mp3
elusively,https://www.oxfordlearnersdictionaries.com/definition/english/elusively,C1,elusively,khó nắm bắt,adverb,/ɪˈluːsɪvli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/elu/elusi/elusively__gb_1.mp3
hard,https://www.oxfordlearnersdictionaries.com/definition/english/hard_2,A1,hard,cứng,adverb,/hɑːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/har/hard_/hard__gb_1.mp3
