id,url,levels,word,translation,part_of_speech,ipa,audio_link
aerodrome,https://www.oxfordlearnersdictionaries.com/definition/english/aerodrome,C2,aerodrome,sân bay,noun,/ˈeərədrəʊm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aer/aerod/aerodrome__gb_1.mp3
airfield,https://www.oxfordlearnersdictionaries.com/definition/english/airfield,C1,airfield,sân bay,noun,/ˈeəfiːld/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/air/airfi/airfield__gb_1.mp3
air_terminal,https://www.oxfordlearnersdictionaries.com/definition/english/air-terminal,B2,air terminal,nhà ga hàng không,noun,/ˈeə tɜːmɪnl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/air/air_t/air_terminal_1_gb_1.mp3
airside,https://www.oxfordlearnersdictionaries.com/definition/english/airside_2,C2,airside,sân bay,"adjective,adverb",/ˈeəsaɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/air/airsi/airside__gb_1.mp3
airside,https://www.oxfordlearnersdictionaries.com/definition/english/airside_1,C2,airside,sân bay,noun,/ˈeəsaɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/air/airsi/airside__gb_1.mp3
airport,https://www.oxfordlearnersdictionaries.com/definition/english/airport,A1,airport,sân bay,noun,/ˈeəpɔːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/air/airpo/airport__gb_3.mp3
airbase,https://www.oxfordlearnersdictionaries.com/definition/english/airbase,C2,airbase,căn cứ không quân,noun,/ˈeəbeɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/air/airba/airbase__gb_1.mp3
airstrip,https://www.oxfordlearnersdictionaries.com/definition/english/airstrip,C2,airstrip,đường băng,noun,/ˈeəstrɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/air/airst/airstrip__gb_1.mp3
air_bridge,https://www.oxfordlearnersdictionaries.com/definition/english/air-bridge,C2,air bridge,cầu hàng không,noun,/ˈeə brɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/air/air_b/air_bridge_1_gb_1.mp3
airdrome,https://www.oxfordlearnersdictionaries.com/definition/english/airdrome,C2,airdrome,sân bay,noun,/ˈeədrəʊm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/air/airdr/airdrome__gb_1.mp3
air_traffic_control,https://www.oxfordlearnersdictionaries.com/definition/english/air-traffic-control,C1,air traffic control,kiểm soát không lưu,noun,/ˌeə træfɪk kənˈtrəʊl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/air/air_t/air_traffic_control_1_gb_1.mp3
baggage_carousel,https://www.oxfordlearnersdictionaries.com/definition/english/baggage-carousel,C2,baggage carousel,băng chuyền hành lý,noun,/ˈbæɡɪdʒ kærəsel/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bag/bagga/baggage_carousel_1_gb_1.mp3
apron,https://www.oxfordlearnersdictionaries.com/definition/english/apron,C2,apron,tạp dề,noun,/ˈeɪprən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/apr/apron/apron__gb_1.mp3
check-in,https://www.oxfordlearnersdictionaries.com/definition/english/check-in_2,B1,check-in,đăng ký vào,noun,/ˈtʃek ɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/che/check/check_in_1_gb_1.mp3
baggage_reclaim,https://www.oxfordlearnersdictionaries.com/definition/english/baggage-reclaim,B2,baggage reclaim,lấy lại hành lý,noun,/ˈbæɡɪdʒ rɪkleɪm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bag/bagga/baggage_reclaim_1_gb_1.mp3
carousel,https://www.oxfordlearnersdictionaries.com/definition/english/carousel,C2,carousel,băng chuyền,noun,/ˌkærəˈsel/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/carou/carousel__gb_1.mp3
control_tower,https://www.oxfordlearnersdictionaries.com/definition/english/control-tower,C1,control tower,tháp điều khiển,noun,/kənˈtrəʊl taʊə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcont/xcontrol_tower_1_gb_1.mp3
conveyor_belt,https://www.oxfordlearnersdictionaries.com/definition/english/conveyor-belt,C2,conveyor belt,băng tải,noun,/kənˈveɪə belt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconv/xconveyor_belt_1_gb_1.mp3
customs,https://www.oxfordlearnersdictionaries.com/definition/english/customs,C2,customs,hải quan,noun,/ˈkʌstəmz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cus/custo/customs__gb_1.mp3
concourse,https://www.oxfordlearnersdictionaries.com/definition/english/concourse,C2,concourse,buổi hòa nhạc,noun,/ˈkɒŋkɔːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconc/xconcourse__gb_1.mp3
duty-free_shop,https://www.oxfordlearnersdictionaries.com/definition/english/duty-free-shop,C2,duty-free shop,cửa hàng miễn thuế,noun,/ˌdjuːti ˈfriː ʃɒp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dut/duty_/duty_free_shop_1_gb_1.mp3
hub,https://www.oxfordlearnersdictionaries.com/definition/english/hub,C1,hub,trung tâm,noun,/hʌb/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hub/hub__/hub__gb_1.mp3
immigration,https://www.oxfordlearnersdictionaries.com/definition/english/immigration,B2,immigration,nhập cư,noun,/ˌɪmɪˈɡreɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/imm/immig/immigration__gb_1.mp3
