id,url,levels,word,translation,part_of_speech,ipa,audio_link
acculturation,https://www.oxfordlearnersdictionaries.com/definition/english/acculturation,C2,acculturation,tiếp biến văn hóa,noun,/əˌkʌltʃəˈreɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accul/acculturation__gb_1.mp3
acculturate,https://www.oxfordlearnersdictionaries.com/definition/english/acculturate,C2,acculturate,tiếp biến văn hóa,verb,/əˈkʌltʃəreɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accul/acculturate__gb_1.mp3
ally,https://www.oxfordlearnersdictionaries.com/definition/english/ally_1,C2,ally,đồng minh,noun,/ˈælaɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/ally_/ally__gb_1.mp3
anthropology,https://www.oxfordlearnersdictionaries.com/definition/english/anthropology,C1,anthropology,nhân học,noun,/ˌænθrəˈpɒlədʒi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ant/anthr/anthropology__gb_2.mp3
belonging,https://www.oxfordlearnersdictionaries.com/definition/english/belonging,C1,belonging,thuộc về,noun,/bɪˈlɒŋɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bel/belon/belonging__gb_1.mp3
citizen,https://www.oxfordlearnersdictionaries.com/definition/english/citizen,B2,citizen,công dân,noun,/ˈsɪtɪzn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cit/citiz/citizen__gb_2.mp3
anthropological,https://www.oxfordlearnersdictionaries.com/definition/english/anthropological,C1,anthropological,nhân học,adjective,/ˌænθrəpəˈlɒdʒɪkl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ant/anthr/anthropological__gb_1.mp3
anthropologist,https://www.oxfordlearnersdictionaries.com/definition/english/anthropologist,C1,anthropologist,nhà nhân chủng học,noun,/ˌænθrəˈpɒlədʒɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ant/anthr/anthropologist__gb_1.mp3
active_citizen,https://www.oxfordlearnersdictionaries.com/definition/english/active-citizen,C2,active citizen,công dân tích cực,noun,/ˌæktɪv ˈsɪtɪzn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/activ/active_citizen_1_gb_1.mp3
civic,https://www.oxfordlearnersdictionaries.com/definition/english/civic,C1,civic,công dân,adjective,/ˈsɪvɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/civ/civic/civic__gb_1.mp3
civics,https://www.oxfordlearnersdictionaries.com/definition/english/civics,C2,civics,công dân,noun,/ˈsɪvɪks/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/civ/civic/civics__gb_1.mp3
collective,https://www.oxfordlearnersdictionaries.com/definition/english/collective_1,C1,collective,tập thể,adjective,/kəˈlektɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/colle/collective__gb_1.mp3
allyship,https://www.oxfordlearnersdictionaries.com/definition/english/allyship,C2,allyship,tàu đồng minh,noun,/ˈælaɪʃɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/allys/allyship__gb_1.mp3
demographic,https://www.oxfordlearnersdictionaries.com/definition/english/demographic_1,C1,demographic,nhân khẩu học,noun,/ˌdeməˈɡræfɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dem/demog/demographic__gb_3.mp3
citizenship,https://www.oxfordlearnersdictionaries.com/definition/english/citizenship,C1,citizenship,quyền công dân,noun,/ˈsɪtɪzənʃɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cit/citiz/citizenship__gb_1.mp3
community,https://www.oxfordlearnersdictionaries.com/definition/english/community,A2,community,cộng đồng,noun,/kəˈmjuːnəti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/commu/community__gb_3.mp3
demographic,https://www.oxfordlearnersdictionaries.com/definition/english/demographic_2,C1,demographic,nhân khẩu học,adjective,/ˌdeməˈɡræfɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dem/demog/demographic__gb_3.mp3
committee,https://www.oxfordlearnersdictionaries.com/definition/english/committee,B2,committee,ủy ban,noun,/kəˈmɪti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/commi/committee__gb_1.mp3
generation,https://www.oxfordlearnersdictionaries.com/definition/english/generation,B1,generation,thế hệ,noun,/ˌdʒenəˈreɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gen/gener/generation__gb_2.mp3
generation_x,https://www.oxfordlearnersdictionaries.com/definition/english/generation-x,C2,Generation X,Thế hệ X,noun,/ˌdʒenəreɪʃn ˈeks/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gen/gener/generation_x_1_gb_1.mp3
generation_z,https://www.oxfordlearnersdictionaries.com/definition/english/generation-z,C2,Generation Z,Thế hệ Z,noun,/ˌdʒenəreɪʃn ˈzed/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gen/gener/generation_z_1_gb_2.mp3
generation_xer,https://www.oxfordlearnersdictionaries.com/definition/english/generation-xer,C2,Generation Xer,Thế hệ Xer,noun,/ˌdʒenəreɪʃn ˈeksə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gen/gener/generation_xer_1_gb_2.mp3
gen_x,https://www.oxfordlearnersdictionaries.com/definition/english/gen-x,C2,Gen X,Thế hệ X,noun,/ˌdʒen ˈeks/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gen/gen_x/gen_x_1_gb_1.mp3
generation_zer,https://www.oxfordlearnersdictionaries.com/definition/english/generation-zer,C2,Generation Zer,Thế hệ Zer,noun,/ˌdʒenəreɪʃn ˈzedə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gen/gener/generation_zer_1_gb_1.mp3
gen_xer,https://www.oxfordlearnersdictionaries.com/definition/english/gen-xer,C2,Gen Xer,Gen Xer,noun,/ˌdʒen ˈeksə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gen/gen_x/gen_xer_1_gb_1.mp3
generation_yer,https://www.oxfordlearnersdictionaries.com/definition/english/generation-yer,C2,Generation Yer,thế hệ Yer,noun,/ˌdʒenəreɪʃn ˈwaɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gen/gener/generation_yer_1_gb_1.mp3
generation_y,https://www.oxfordlearnersdictionaries.com/definition/english/generation-y,C2,Generation Y,Thế hệ Y,noun,/ˌdʒenəreɪʃn ˈwaɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gen/gener/generation_y_1_gb_4.mp3
gen_y,https://www.oxfordlearnersdictionaries.com/definition/english/gen-y,C2,Gen Y,thế hệ Y,noun,/ˌdʒen ˈwaɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gen/gen_y/gen_y_1_gb_1.mp3
denizen,https://www.oxfordlearnersdictionaries.com/definition/english/denizen,C2,denizen,người từ chối,noun,/ˈdenɪzn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/den/deniz/denizen__gb_1.mp3
gen_z,https://www.oxfordlearnersdictionaries.com/definition/english/gen-z,C2,Gen Z,thế hệ Z,noun,/ˌdʒen ˈzed/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gen/gen_z/gen_z_1_gb_1.mp3
gen_yer,https://www.oxfordlearnersdictionaries.com/definition/english/gen-yer,C2,Gen Yer,Gen Yer,noun,/ˌdʒen ˈwaɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gen/gen_y/gen_yer_1_gb_1.mp3
global_village,https://www.oxfordlearnersdictionaries.com/definition/english/global-village,C2,global village,làng toàn cầu,noun,/ˌɡləʊbl ˈvɪlɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/glo/globa/global_village_1_gb_1.mp3
global,https://www.oxfordlearnersdictionaries.com/definition/english/global,B1,global,toàn cầu,adjective,/ˈɡləʊbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/glo/globa/global__gb_2.mp3
globe,https://www.oxfordlearnersdictionaries.com/definition/english/globe,B2,globe,khối cầu,noun,/ɡləʊb/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/glo/globe/globe__gb_3.mp3
group,https://www.oxfordlearnersdictionaries.com/definition/english/group_1,A1,group,nhóm,noun,/ɡruːp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gro/group/group__gb_1.mp3
integrate,https://www.oxfordlearnersdictionaries.com/definition/english/integrate,C1,integrate,tích hợp,verb,/ˈɪntɪɡreɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/int/integ/integrate__gb_2.mp3
grassroots,https://www.oxfordlearnersdictionaries.com/definition/english/grassroots,C2,grassroots,cơ sở,noun,/ˌɡrɑːsˈruːts/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gra/grass/grass_roots_1_gb_1.mp3
