id,url,levels,word,translation,part_of_speech,ipa,audio_link
beggar,https://www.oxfordlearnersdictionaries.com/definition/english/beggar_1,B2,beggar,người ăn xin,noun,/ˈbeɡə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/beg/begga/beggar__gb_1.mp3
deprivation,https://www.oxfordlearnersdictionaries.com/definition/english/deprivation,C2,deprivation,thiếu thốn,noun,/ˌdeprɪˈveɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dep/depri/deprivation__gb_2.mp3
disadvantaged,https://www.oxfordlearnersdictionaries.com/definition/english/disadvantaged,C1,disadvantaged,thiệt thòi,adjective,/ˌdɪsədˈvɑːntɪdʒd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/disad/disadvantaged__gb_1.mp3
deprived,https://www.oxfordlearnersdictionaries.com/definition/english/deprived,C2,deprived,thiếu thốn,adjective,/dɪˈpraɪvd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dep/depri/deprived__gb_3.mp3
depression,https://www.oxfordlearnersdictionaries.com/definition/english/depression,C1,depression,trầm cảm,noun,/dɪˈpreʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dep/depre/depression__gb_2.mp3
child_labour,https://www.oxfordlearnersdictionaries.com/definition/english/child-labour,B2,child labour,lao động trẻ em,noun,/ˌtʃaɪld ˈleɪbə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chi/child/child_labour_1_gb_1.mp3
beg,https://www.oxfordlearnersdictionaries.com/definition/english/beg,B2,beg,ăn xin,verb,/beɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/beg/beg__/beg__gb_2.mp3
dirt_farmer,https://www.oxfordlearnersdictionaries.com/definition/english/dirt-farmer,C2,dirt farmer,nông dân bẩn thỉu,noun,/ˈdɜːt fɑːmə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dir/dirt_/dirt_farmer_1_gb_1.mp3
bag_lady,https://www.oxfordlearnersdictionaries.com/definition/english/bag-lady,C2,bag lady,túi xách,noun,/ˈbæɡ leɪdi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bag/bag_l/bag_lady_1_gb_1.mp3
begging_bowl,https://www.oxfordlearnersdictionaries.com/definition/english/begging-bowl,C2,begging bowl,bát ăn xin,noun,/ˈbeɡɪŋ bəʊl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/beg/beggi/begging_bowl_1_gb_1.mp3
distress,https://www.oxfordlearnersdictionaries.com/definition/english/distress_1,C1,distress,đau khổ,noun,/dɪˈstres/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/distr/distress__gb_2.mp3
famine,https://www.oxfordlearnersdictionaries.com/definition/english/famine,B2,famine,nạn đói,noun,/ˈfæmɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fam/famin/famine__gb_1.mp3
emaciated,https://www.oxfordlearnersdictionaries.com/definition/english/emaciated,C2,emaciated,hốc hác,adjective,/ɪˈmeɪsieɪtɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ema/emaci/emaciated__gb_2.mp3
food_security,https://www.oxfordlearnersdictionaries.com/definition/english/food-security,C1,food security,an ninh lương thực,noun,/ˌfuːd sɪˈkjʊərəti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/foo/food_/food_security_1_gb_2.mp3
food_insecurity,https://www.oxfordlearnersdictionaries.com/definition/english/food-insecurity,C1,food insecurity,mất an ninh lương thực,noun,/ˌfuːd ɪnsɪˈkjʊərəti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/foo/food_/food_insecurity_1_gb_1.mp3
dosser,https://www.oxfordlearnersdictionaries.com/definition/english/dosser,C2,dosser,người lập hồ sơ,noun,/ˈdɒsə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dos/dosse/dosser__gb_2.mp3
hardship,https://www.oxfordlearnersdictionaries.com/definition/english/hardship,C1,hardship,khó khăn,noun,/ˈhɑːdʃɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/har/hards/hardship__gb_1.mp3
favela,https://www.oxfordlearnersdictionaries.com/definition/english/favela,C2,favela,khu ổ chuột,noun,/fəˈvelə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fav/favel/favela__gb_2.mp3
fuel_poverty,https://www.oxfordlearnersdictionaries.com/definition/english/fuel-poverty,C2,fuel poverty,nghèo nhiên liệu,noun,/ˈfjuːəl pɒvəti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fue/fuel_/fuel_poverty_1_gb_1.mp3
homeless,https://www.oxfordlearnersdictionaries.com/definition/english/homeless,B2,homeless,vô gia cư,adjective,/ˈhəʊmləs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hom/homel/homeless__gb_1.mp3
homelessness,https://www.oxfordlearnersdictionaries.com/definition/english/homelessness,C1,homelessness,tình trạng vô gia cư,noun,/ˈhəʊmləsnəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hom/homel/homelessness__gb_1.mp3
hunger,https://www.oxfordlearnersdictionaries.com/definition/english/hunger_1,B2,hunger,đói,noun,/ˈhʌŋɡə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hun/hunge/hunger__gb_1.mp3
impoverished,https://www.oxfordlearnersdictionaries.com/definition/english/impoverished,C2,impoverished,nghèo khó,adjective,/ɪmˈpɒvərɪʃt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/imp/impov/impoverished__gb_1.mp3
impoverish,https://www.oxfordlearnersdictionaries.com/definition/english/impoverish,C2,impoverish,bần cùng hóa,verb,/ɪmˈpɒvərɪʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/imp/impov/impoverish__gb_1.mp3
hard_up,https://www.oxfordlearnersdictionaries.com/definition/english/hard-up,C1,hard up,cứng lên,adjective,/ˌhɑːd ˈʌp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/har/hard_/hard_up_1_gb_1.mp3
malnourished,https://www.oxfordlearnersdictionaries.com/definition/english/malnourished,C2,malnourished,suy dinh dưỡng,adjective,/ˌmælˈnʌrɪʃt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mal/malno/malnourished__gb_1.mp3
indigent,https://www.oxfordlearnersdictionaries.com/definition/english/indigent,C2,indigent,nghèo khó,adjective,/ˈɪndɪdʒənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ind/indig/indigent__gb_1.mp3
in_rags,https://www.oxfordlearnersdictionaries.com/definition/english/rag_1,C2,in rags,trong giẻ rách,noun,/ræɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rag/rag__/rag__gb_1.mp3
low-paid,https://www.oxfordlearnersdictionaries.com/definition/english/low-paid,B2,low-paid,được trả lương thấp,adjective,/ˌləʊ ˈpeɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/low/low_p/low_paid_1_gb_1.mp3
means_test,https://www.oxfordlearnersdictionaries.com/definition/english/means-test_1,C2,means test,có nghĩa là kiểm tra,noun,/ˈmiːnz test/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mea/means/means_test_1_gb_1.mp3
means-test,https://www.oxfordlearnersdictionaries.com/definition/english/means-test_2,C2,means-test,kiểm tra phương tiện,verb,/ˈmiːnz test/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mea/means/means_test_1_gb_1.mp3
means_testing,https://www.oxfordlearnersdictionaries.com/definition/english/means-testing,C2,means testing,có nghĩa là thử nghiệm,noun,/ˈmiːnz testɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mea/means/means_testing_1_gb_2.mp3
penniless,https://www.oxfordlearnersdictionaries.com/definition/english/penniless,C1,penniless,không xu dính túi,adjective,/ˈpeniləs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pen/penni/penniless__gb_1.mp3
on_your_uppers,https://www.oxfordlearnersdictionaries.com/definition/english/upper_2,C2,on your uppers,ở phía trên của bạn,noun,/ˈʌpə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/u/upp/upper/upper__gb_1.mp3
pauper,https://www.oxfordlearnersdictionaries.com/definition/english/pauper,C2,pauper,người nghèo khổ,noun,/ˈpɔːpə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pau/paupe/pauper__gb_1.mp3
malnutrition,https://www.oxfordlearnersdictionaries.com/definition/english/malnutrition,C2,malnutrition,suy dinh dưỡng,noun,/ˌmælnjuˈtrɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mal/malnu/malnutrition__gb_1.mp3
penurious,https://www.oxfordlearnersdictionaries.com/definition/english/penurious,C2,penurious,bần cùng,adjective,/pəˈnjʊəriəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pen/penur/penurious__gb_1.mp3
poor,https://www.oxfordlearnersdictionaries.com/definition/english/poor,A1,poor,nghèo,adjective,/pɔː(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/poo/poor_/poor__gb_1.mp3
poverty,https://www.oxfordlearnersdictionaries.com/definition/english/poverty,B1,poverty,nghèo,noun,/ˈpɒvəti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pov/pover/poverty__gb_2.mp3
precariat,https://www.oxfordlearnersdictionaries.com/definition/english/precariat,C2,precariat,precariat,noun,/prɪˈkeəriət/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pre/preca/precariat__gb_2.mp3
problem,https://www.oxfordlearnersdictionaries.com/definition/english/problem_1,A1,problem,vấn đề,noun,/ˈprɒbləm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pro/probl/problem__gb_2.mp3
quality_of_life,https://www.oxfordlearnersdictionaries.com/definition/english/quality-of-life,B2,quality of life,chất lượng cuộc sống,noun,/ˌkwɒləti əv ˈlaɪf/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/q/qua/quali/quality_of_life_1_gb_1.mp3
