id,url,levels,word,translation,part_of_speech,ipa,audio_link
brinjal,https://www.oxfordlearnersdictionaries.com/definition/english/brinjal,C2,brinjal,cà tím,noun,/ˈbrɪndʒl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/brinj/brinjal__gb_1.mp3
bean,https://www.oxfordlearnersdictionaries.com/definition/english/bean_1,A2,bean,hạt đậu,noun,/biːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bea/bean_/bean__gb_4.mp3
bell_pepper,https://www.oxfordlearnersdictionaries.com/definition/english/bell-pepper,C1,bell pepper,ớt chuông,noun,/ˈbel pepə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bel/bell_/bell_pepper_1_gb_1.mp3
baked_beans,https://www.oxfordlearnersdictionaries.com/definition/english/baked-beans,B2,baked beans,đậu nướng,noun,/ˌbeɪkt ˈbiːnz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bak/baked/baked_beans_1_gb_1.mp3
alfalfa,https://www.oxfordlearnersdictionaries.com/definition/english/alfalfa,C2,alfalfa,cỏ linh lăng,noun,/ælˈfælfə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alf/alfal/alfalfa__gb_1.mp3
borage,https://www.oxfordlearnersdictionaries.com/definition/english/borage,C2,borage,cây lưu ly,noun,/ˈbɒrɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bor/borag/borage__gb_1.mp3
artichoke,https://www.oxfordlearnersdictionaries.com/definition/english/artichoke,C2,artichoke,atisô,noun,/ˈɑːtɪtʃəʊk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/art/artic/artichoke__gb_1.mp3
aubergine,https://www.oxfordlearnersdictionaries.com/definition/english/aubergine,C1,aubergine,cà tím,noun,/ˈəʊbəʒiːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aub/auber/aubergine__gb_1.mp3
asparagus,https://www.oxfordlearnersdictionaries.com/definition/english/asparagus,C1,asparagus,măng tây,noun,/əˈspærəɡəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/asp/aspar/asparagus__gb_1.mp3
beet,https://www.oxfordlearnersdictionaries.com/definition/english/beet,C2,beet,củ cải đường,noun,/biːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bee/beet_/beet__gb_2.mp3
broad_bean,https://www.oxfordlearnersdictionaries.com/definition/english/broad-bean,C2,broad bean,đậu rộng,noun,/ˌbrɔːd ˈbiːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/broad/broad_bean_1_gb_1.mp3
brussels_sprout,https://www.oxfordlearnersdictionaries.com/definition/english/brussels-sprout,C2,Brussels sprout,cải Brussels,noun,/ˌbrʌslz ˈspraʊt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bru/bruss/brussels_sprout_1_gb_1.mp3
carrot,https://www.oxfordlearnersdictionaries.com/definition/english/carrot,A1,carrot,cà rốt,noun,/ˈkærət/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/carro/carrot__gb_2.mp3
cabbage,https://www.oxfordlearnersdictionaries.com/definition/english/cabbage,B1,cabbage,bắp cải,noun,/ˈkæbɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cab/cabba/cabbage__gb_2.mp3
cauliflower,https://www.oxfordlearnersdictionaries.com/definition/english/cauliflower,C1,cauliflower,súp lơ,noun,/ˈkɒliflaʊə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cau/cauli/cauliflower__gb_1.mp3
celeriac,https://www.oxfordlearnersdictionaries.com/definition/english/celeriac,C2,celeriac,cần tây,noun,/səˈleriæk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cel/celer/celeriac__gb_1.mp3
celery,https://www.oxfordlearnersdictionaries.com/definition/english/celery,C1,celery,cần tây,noun,/ˈseləri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cel/celer/celery__gb_1.mp3
butternut_squash,https://www.oxfordlearnersdictionaries.com/definition/english/butternut-squash,C2,butternut squash,bí ngô,noun,/ˌbʌtənʌt ˈskwɒʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/but/butte/butternut_squash_1_gb_1.mp3
broccoli,https://www.oxfordlearnersdictionaries.com/definition/english/broccoli,B2,broccoli,bông cải xanh,noun,/ˈbrɒkəli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/brocc/broccoli__gb_1.mp3
calabrese,https://www.oxfordlearnersdictionaries.com/definition/english/calabrese,C2,calabrese,giống calabre,noun,/ˈkæləbriːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cal/calab/calabrese__gb_1.mp3
chard,https://www.oxfordlearnersdictionaries.com/definition/english/chard,C2,chard,củ cải,noun,/tʃɑːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/chard/chard__gb_2.mp3
chicory,https://www.oxfordlearnersdictionaries.com/definition/english/chicory,C2,chicory,rau diếp xoăn,noun,/ˈtʃɪkəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chi/chico/chicory__gb_1.mp3
chili,https://www.oxfordlearnersdictionaries.com/definition/english/chili,B2,chili,ớt,noun,/ˈtʃɪli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chi/chili/chili__gb_2.mp3
chilli,https://www.oxfordlearnersdictionaries.com/definition/english/chilli,B2,chilli,ớt,noun,/ˈtʃɪli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chi/chill/chilli__gb_2.mp3
courgette,https://www.oxfordlearnersdictionaries.com/definition/english/courgette,B2,courgette,bí xanh,noun,/kʊəˈʒet/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/courg/courgette__gb_3.mp3
cress,https://www.oxfordlearnersdictionaries.com/definition/english/cress,C2,cress,cải xoong,noun,/kres/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cre/cress/cress__gb_1.mp3
chinese_cabbage,https://www.oxfordlearnersdictionaries.com/definition/english/chinese-cabbage,C2,Chinese cabbage,bắp cải Trung Quốc,noun,/ˌtʃaɪniːz ˈkæbɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chi/chine/chinese_cabbage_1_gb_1.mp3
chickpea,https://www.oxfordlearnersdictionaries.com/definition/english/chickpea,C2,chickpea,đậu xanh,noun,/ˈtʃɪkpiː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chi/chick/chickpea__gb_3.mp3
corn_on_the_cob,https://www.oxfordlearnersdictionaries.com/definition/english/corn-on-the-cob,C2,corn on the cob,ngô còn nguyên lõi,noun,/ˌkɔːn ɒn ðə ˈkɒb/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cor/corn_/corn_on_the_cob_1_gb_1.mp3
cucumber,https://www.oxfordlearnersdictionaries.com/definition/english/cucumber,B2,cucumber,quả dưa chuột,noun,/ˈkjuːkʌmbə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cuc/cucum/cucumber__gb_2.mp3
eggplant,https://www.oxfordlearnersdictionaries.com/definition/english/eggplant,C1,eggplant,cà tím,noun,/ˈeɡplɑːnt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/egg/eggpl/eggplant__gb_1.mp3
fennel,https://www.oxfordlearnersdictionaries.com/definition/english/fennel,C2,fennel,thì là,noun,/ˈfenl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fen/fenne/fennel__gb_1.mp3
daikon,https://www.oxfordlearnersdictionaries.com/definition/english/daikon,C2,daikon,daikon,noun,/ˈdaɪkɒn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dai/daiko/daikon__gb_1.mp3
garbanzo,https://www.oxfordlearnersdictionaries.com/definition/english/garbanzo,C2,garbanzo,Garbanzo,noun,/ɡɑːˈbænzəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gar/garba/garbanzo__gb_2.mp3
garlic,https://www.oxfordlearnersdictionaries.com/definition/english/garlic,B1,garlic,tỏi,noun,/ˈɡɑːlɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gar/garli/garlic__gb_3.mp3
green,https://www.oxfordlearnersdictionaries.com/definition/english/green_2,B1,green,màu xanh lá,noun,/ɡriːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gre/green/green__gb_1.mp3
green_onion,https://www.oxfordlearnersdictionaries.com/definition/english/green-onion,C2,green onion,hành lá,noun,/ˌɡriːn ˈʌnjən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gre/green/green_onion_1_gb_1.mp3
green_pepper,https://www.oxfordlearnersdictionaries.com/definition/english/green-pepper,B2,green pepper,tiêu xanh,noun,/ˌɡriːn ˈpepə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gre/green/green_pepper_1_gb_1.mp3
green_bean,https://www.oxfordlearnersdictionaries.com/definition/english/green-bean,B1,green bean,đậu xanh,noun,/ˌɡriːn ˈbiːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gre/green/green_bean_1_gb_1.mp3
iceberg_lettuce,https://www.oxfordlearnersdictionaries.com/definition/english/iceberg-lettuce,C2,iceberg lettuce,xà lách tảng băng trôi,noun,/ˌaɪsbɜːɡ ˈletɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ice/icebe/iceberg_lettuce_1_gb_1.mp3
horseradish,https://www.oxfordlearnersdictionaries.com/definition/english/horseradish,C2,horseradish,củ cải ngựa,noun,/ˈhɔːsrædɪʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hor/horse/horseradish__gb_1.mp3
globe_artichoke,https://www.oxfordlearnersdictionaries.com/definition/english/globe-artichoke,C2,globe artichoke,atisô toàn cầu,noun,/ˌɡləʊb ˈɑːtɪtʃəʊk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/glo/globe/globe_artichoke_1_gb_1.mp3
kale,https://www.oxfordlearnersdictionaries.com/definition/english/kale,C2,kale,cải xoăn,noun,/keɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/k/kal/kale_/kale__gb_1.mp3
green_vegetable,https://www.oxfordlearnersdictionaries.com/definition/english/green-vegetable,A1,green vegetable,rau xanh,noun,/ˌɡriːn ˈvedʒtəbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gre/green/green_vegetable_1_gb_1.mp3
kohlrabi,https://www.oxfordlearnersdictionaries.com/definition/english/kohlrabi,C2,kohlrabi,su hào,noun,/ˌkəʊlˈrɑːbi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/k/koh/kohlr/kohlrabi__gb_1.mp3
leek,https://www.oxfordlearnersdictionaries.com/definition/english/leek,C2,leek,tỏi tây,noun,/liːk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lee/leek_/leek__gb_1.mp3
lentil,https://www.oxfordlearnersdictionaries.com/definition/english/lentil,C1,lentil,đậu lăng,noun,/ˈlentl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/len/lenti/lentil__gb_1.mp3
jerusalem_artichoke,https://www.oxfordlearnersdictionaries.com/definition/english/jerusalem-artichoke,C2,Jerusalem artichoke,atisô Jerusalem,noun,/dʒəˌruːsələm ˈɑːtɪtʃəʊk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/j/jer/jerus/jerusalem_artichoke_1_gb_1.mp3
lettuce,https://www.oxfordlearnersdictionaries.com/definition/english/lettuce,B1,lettuce,rau xà lách,noun,/ˈletɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/let/lettu/lettuce__gb_1.mp3
mushroom,https://www.oxfordlearnersdictionaries.com/definition/english/mushroom_1,A2,mushroom,nấm,noun,/ˈmʌʃrʊm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mus/mushr/mushroom__gb_1.mp3
okra,https://www.oxfordlearnersdictionaries.com/definition/english/okra,C2,okra,đậu bắp,noun,/ˈəʊkrə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/okr/okra_/okra__gb_1.mp3
marrow,https://www.oxfordlearnersdictionaries.com/definition/english/marrow,C2,marrow,tủy,noun,/ˈmærəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mar/marro/marrow__gb_1.mp3
onion,https://www.oxfordlearnersdictionaries.com/definition/english/onion,A1,onion,củ hành,noun,/ˈʌnjən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/oni/onion/onion__gb_2.mp3
parsnip,https://www.oxfordlearnersdictionaries.com/definition/english/parsnip,C2,parsnip,củ cải,noun,/ˈpɑːsnɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/par/parsn/parsnip__gb_1.mp3
pickle,https://www.oxfordlearnersdictionaries.com/definition/english/pickle_1,C2,pickle,dưa chua,noun,/ˈpɪkl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pic/pickl/pickle__gb_1.mp3
pea,https://www.oxfordlearnersdictionaries.com/definition/english/pea,A2,pea,hạt đậu,noun,/piː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pea/pea__/pea__gb_1.mp3
pepper,https://www.oxfordlearnersdictionaries.com/definition/english/pepper_1,A1,pepper,hạt tiêu,noun,/ˈpepə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pep/peppe/pepper__gb_2.mp3
mooli,https://www.oxfordlearnersdictionaries.com/definition/english/mooli,C2,mooli,mooli,noun,/ˈmuːli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/moo/mooli/mooli__gb_1.mp3
pulse,https://www.oxfordlearnersdictionaries.com/definition/english/pulse_1,C2,pulse,xung,noun,/pʌls/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pul/pulse/pulse__gb_1.mp3
radicchio,https://www.oxfordlearnersdictionaries.com/definition/english/radicchio,C2,radicchio,radicchio,noun,/ræˈdiːkiəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rad/radic/radicchio__gb_1.mp3
potato,https://www.oxfordlearnersdictionaries.com/definition/english/potato,A1,potato,khoai tây,noun,/pəˈteɪtəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pot/potat/potato__gb_2.mp3
pumpkin,https://www.oxfordlearnersdictionaries.com/definition/english/pumpkin,C1,pumpkin,bí ngô,noun,/ˈpʌmpkɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pum/pumpk/pumpkin__gb_1.mp3
red_pepper,https://www.oxfordlearnersdictionaries.com/definition/english/red-pepper,B2,red pepper,ớt đỏ,noun,/ˌred ˈpepə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/red/red_p/red_pepper_1_gb_1.mp3
root,https://www.oxfordlearnersdictionaries.com/definition/english/root_1,B2,root,gốc,noun,/ruːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rou/route/route__gb_3.mp3
rutabaga,https://www.oxfordlearnersdictionaries.com/definition/english/rutabaga,C2,rutabaga,rutabaga,noun,/ˈruːtəbeɪɡə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rut/rutab/rutabaga__gb_2.mp3
scallion,https://www.oxfordlearnersdictionaries.com/definition/english/scallion,C2,scallion,hành lá,noun,/ˈskæliən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sca/scall/scallion__gb_1.mp3
radish,https://www.oxfordlearnersdictionaries.com/definition/english/radish,C2,radish,củ cải,noun,/ˈrædɪʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rad/radis/radish__gb_1.mp3
shallot,https://www.oxfordlearnersdictionaries.com/definition/english/shallot,C2,shallot,củ hẹ,noun,/ʃəˈlɒt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sha/shall/shallot__gb_1.mp3
soya,https://www.oxfordlearnersdictionaries.com/definition/english/soya,C1,soya,đậu nành,noun,/ˈsɔɪə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/soy/soya_/soya__gb_1.mp3
spinach,https://www.oxfordlearnersdictionaries.com/definition/english/spinach,C1,spinach,rau chân vịt,noun,/ˈspɪnɪtʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/spi/spina/spinach__gb_1.mp3
runner_bean,https://www.oxfordlearnersdictionaries.com/definition/english/runner-bean,C2,runner bean,hạt đậu,noun,/ˈrʌnə biːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/run/runne/runner_bean_1_gb_2.mp3
sauerkraut,https://www.oxfordlearnersdictionaries.com/definition/english/sauerkraut,C2,sauerkraut,dưa cải bắp,noun,/ˈsaʊəkraʊt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sau/sauer/sauerkraut__gb_1.mp3
seakale,https://www.oxfordlearnersdictionaries.com/definition/english/seakale,C2,seakale,cá cải xoăn,noun,/ˈsiːkeɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sea/seaka/seakale__gb_1.mp3
spud,https://www.oxfordlearnersdictionaries.com/definition/english/spud,C2,spud,nước bọt,noun,/spʌd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/spu/spud_/spud__gb_1.mp3
sprout,https://www.oxfordlearnersdictionaries.com/definition/english/sprout_2,C2,sprout,nảy mầm,noun,/spraʊt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/spr/sprou/sprout__gb_1.mp3
string_bean,https://www.oxfordlearnersdictionaries.com/definition/english/string-bean,C2,string bean,đậu chuỗi,noun,/ˌstrɪŋ ˈbiːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/str/strin/string_bean_1_gb_1.mp3
soya_bean,https://www.oxfordlearnersdictionaries.com/definition/english/soya-bean,C1,soya bean,đậu nành,noun,/ˈsɔɪbiːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/soy/soybe/soybean__gb_1.mp3
spring_onion,https://www.oxfordlearnersdictionaries.com/definition/english/spring-onion,C2,spring onion,hành lá,noun,/ˌsprɪŋ ˈʌnjən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/spr/sprin/spring_onion_1_gb_1.mp3
swede,https://www.oxfordlearnersdictionaries.com/definition/english/swede_1,C2,swede,người Thụy Điển,noun,/swiːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/swe/swede/swede__gb_1.mp3
sweet_potato,https://www.oxfordlearnersdictionaries.com/definition/english/sweet-potato,B2,sweet potato,khoai lang,noun,/ˌswiːt pəˈteɪtəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/swe/sweet/sweet_potato_1_gb_1.mp3
veg,https://www.oxfordlearnersdictionaries.com/definition/english/veg_1,B2,veg,rau,noun,/vedʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/v/veg/veg__/veg__gb_1.mp3
turnip,https://www.oxfordlearnersdictionaries.com/definition/english/turnip,C2,turnip,củ cải,noun,/ˈtɜːnɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tur/turni/turnip__gb_1.mp3
