id,url,levels,word,translation,part_of_speech,ipa,audio_link
bench,https://www.oxfordlearnersdictionaries.com/definition/english/bench_2,C2,bench,băng ghế dự bị,verb,/bentʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ben/bench/bench__gb_5.mp3
care,https://www.oxfordlearnersdictionaries.com/definition/english/care_2,A2,care,quan tâm,verb,/keə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/care_/care__gb_1.mp3
boyfriend,https://www.oxfordlearnersdictionaries.com/definition/english/boyfriend,A1,boyfriend,bạn trai,noun,/ˈbɔɪfrend/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boy/boyfr/boyfriend__gb_1.mp3
bf,https://www.oxfordlearnersdictionaries.com/definition/english/bf,C2,BF,bạn trai,abbreviation,/ˌbiː ˈef/,
cherish,https://www.oxfordlearnersdictionaries.com/definition/english/cherish,C2,cherish,trân trọng,verb,/ˈtʃerɪʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/che/cheri/cherish__gb_1.mp3
caress,https://www.oxfordlearnersdictionaries.com/definition/english/caress_1,C2,caress,vuốt ve,verb,/kəˈres/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/cares/caress__gb_1.mp3
affair,https://www.oxfordlearnersdictionaries.com/definition/english/affair,B2,affair,chuyện tình,noun,/əˈfeə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aff/affai/affair__gb_1.mp3
chemistry,https://www.oxfordlearnersdictionaries.com/definition/english/chemistry,C2,chemistry,hoá học,noun,/ˈkemɪstri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/che/chemi/chemistry__gb_2.mp3
compatible,https://www.oxfordlearnersdictionaries.com/definition/english/compatible,C1,compatible,tương thích,adjective,/kəmˈpætəbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/compa/compatible__gb_3.mp3
affaire,https://www.oxfordlearnersdictionaries.com/definition/english/affaire,C2,affaire,chuyện tình,noun,/əˈfeə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aff/affai/affaire__gb_1.mp3
crush,https://www.oxfordlearnersdictionaries.com/definition/english/crush_2,C2,crush,người mình thích,noun,/krʌʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cru/crush/crush__gb_1.mp3
couple,https://www.oxfordlearnersdictionaries.com/definition/english/couple_1,A2,couple,cặp đôi,noun,/ˈkʌpl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/coupl/couple__gb_1.mp3
caress,https://www.oxfordlearnersdictionaries.com/definition/english/caress_2,C2,caress,vuốt ve,noun,/kəˈres/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/cares/caress__gb_1.mp3
cuddle,https://www.oxfordlearnersdictionaries.com/definition/english/cuddle_1,C2,cuddle,ôm ấp,verb,/ˈkʌdl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cud/cuddl/cuddle__gb_1.mp3
date,https://www.oxfordlearnersdictionaries.com/definition/english/date_1,A2,date,ngày,noun,/deɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dat/date_/date__gb_1.mp3
datable,https://www.oxfordlearnersdictionaries.com/definition/english/datable,C1,datable,có thể truy cập được,adjective,/ˈdeɪtəbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dat/datab/datable__gb_1.mp3
court,https://www.oxfordlearnersdictionaries.com/definition/english/court_2,C2,court,tòa án,verb,/kɔːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/court/court__gb_2.mp3
cupid,https://www.oxfordlearnersdictionaries.com/definition/english/cupid,C2,Cupid,Tham lam,noun,/ˈkjuːpɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cup/cupid/cupid__gb_1.mp3
date,https://www.oxfordlearnersdictionaries.com/definition/english/date_2,B2,date,ngày,verb,/deɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dat/date_/date__gb_1.mp3
