id,url,levels,word,translation,part_of_speech,ipa,audio_link
celsius,https://www.oxfordlearnersdictionaries.com/definition/english/celsius_1,B2,Celsius,độ C,adjective,/ˈselsiəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cel/celsi/celsius_1_gb_1.mp3
cold,https://www.oxfordlearnersdictionaries.com/definition/english/cold_2,B1,cold,lạnh lẽo,noun,/kəʊld/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/cold_/cold__gb_3.mp3
centigrade,https://www.oxfordlearnersdictionaries.com/definition/english/centigrade_1,C1,centigrade,độ C,noun,/ˈsentɪɡreɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cen/centi/centigrade__gb_1.mp3
cold,https://www.oxfordlearnersdictionaries.com/definition/english/cold_1,A1,cold,lạnh lẽo,adjective,/kəʊld/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/cold_/cold__gb_3.mp3
cool,https://www.oxfordlearnersdictionaries.com/definition/english/cool_1,A1,cool,mát mẻ,adjective,/kuːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coo/cool_/cool__gb_2.mp3
chilly,https://www.oxfordlearnersdictionaries.com/definition/english/chilly,C1,chilly,lạnh lẽo,adjective,/ˈtʃɪli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chi/chill/chilly__gb_3.mp3
cool,https://www.oxfordlearnersdictionaries.com/definition/english/cool_3,B1,cool,mát mẻ,noun,/kuːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coo/cool_/cool__gb_2.mp3
boiling,https://www.oxfordlearnersdictionaries.com/definition/english/boiling,C1,boiling,sôi,adjective,/ˈbɔɪlɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boi/boili/boiling__gb_3.mp3
fahrenheit,https://www.oxfordlearnersdictionaries.com/definition/english/fahrenheit_2,C1,Fahrenheit,độ F,noun,/ˈfærənhaɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fah/fahre/fahrenheit__gb_1.mp3
freezing,https://www.oxfordlearnersdictionaries.com/definition/english/freezing_1,B1,freezing,đóng băng,adjective,/ˈfriːzɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fre/freez/freezing__gb_1.mp3
humid,https://www.oxfordlearnersdictionaries.com/definition/english/humid,C1,humid,ẩm ướt,adjective,/ˈhjuːmɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hum/humid/humid__gb_1.mp3
heat,https://www.oxfordlearnersdictionaries.com/definition/english/heat_1,A2,heat,nhiệt,noun,/hiːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hea/heat_/heat__gb_1.mp3
crisp,https://www.oxfordlearnersdictionaries.com/definition/english/crisp_1,C2,crisp,giòn,adjective,/krɪsp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cri/crisp/crisp__gb_1.mp3
freeze,https://www.oxfordlearnersdictionaries.com/definition/english/freeze_2,C1,freeze,đông cứng,noun,/friːz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fre/freez/freeze__gb_1.mp3
hot,https://www.oxfordlearnersdictionaries.com/definition/english/hot_1,A1,hot,nóng,adjective,/hɒt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hot/hot__/hot__gb_4.mp3
heatwave,https://www.oxfordlearnersdictionaries.com/definition/english/heatwave,C1,heatwave,đợt nắng nóng,noun,/ˈhiːtweɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hea/heatw/heatwave__gb_1.mp3
centigrade,https://www.oxfordlearnersdictionaries.com/definition/english/centigrade_2,C1,centigrade,độ C,adjective,/ˈsentɪɡreɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cen/centi/centigrade__gb_1.mp3
