id,url,levels,word,translation,part_of_speech,ipa,audio_link
bicycle,https://www.oxfordlearnersdictionaries.com/definition/english/bicycle_2,B1,bicycle,xe đạp,verb,/ˈbaɪsɪkl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bic/bicyc/bicycle__gb_2.mp3
criterium,https://www.oxfordlearnersdictionaries.com/definition/english/criterium,C2,criterium,tiêu chí,noun,/kraɪˈtɪəriəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cri/crite/criterium__gb_1.mp3
bicycle,https://www.oxfordlearnersdictionaries.com/definition/english/bicycle_1,A1,bicycle,xe đạp,noun,/ˈbaɪsɪkl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bic/bicyc/bicycle__gb_2.mp3
bike,https://www.oxfordlearnersdictionaries.com/definition/english/bike_1,A1,bike,xe đạp,noun,/baɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bik/bike_/bike__gb_4.mp3
biker,https://www.oxfordlearnersdictionaries.com/definition/english/biker,B2,biker,người đi xe đạp,noun,/ˈbaɪkə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bik/biker/biker__gb_1.mp3
cycle,https://www.oxfordlearnersdictionaries.com/definition/english/cycle_1,A2,cycle,xe đạp,noun,/ˈsaɪkl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cyc/cycle/cycle__gb_2.mp3
bike,https://www.oxfordlearnersdictionaries.com/definition/english/bike_2,B1,bike,xe đạp,verb,/baɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bik/bike_/bike__gb_4.mp3
biking,https://www.oxfordlearnersdictionaries.com/definition/english/biking,B2,biking,đi xe đạp,noun,/ˈbaɪkɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bik/bikin/biking__gb_1.mp3
bikeable,https://www.oxfordlearnersdictionaries.com/definition/english/bikeable,C2,bikeable,có thể đạp xe được,adjective,/ˈbaɪkəbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bik/bikea/bikeable__gb_1.mp3
bmx,https://www.oxfordlearnersdictionaries.com/definition/english/bmx,C1,BMX,BMX,noun,/ˌbiː em ˈeks/,
cyclist,https://www.oxfordlearnersdictionaries.com/definition/english/cyclist,B1,cyclist,người đi xe đạp,noun,/ˈsaɪklɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cyc/cycli/cyclist__gb_1.mp3
cycling,https://www.oxfordlearnersdictionaries.com/definition/english/cycling,A2,cycling,đạp xe,noun,/ˈsaɪklɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cyc/cycli/cycling__gb_1.mp3
cycle,https://www.oxfordlearnersdictionaries.com/definition/english/cycle_2,A2,cycle,xe đạp,verb,/ˈsaɪkl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cyc/cycle/cycle__gb_2.mp3
freewheel,https://www.oxfordlearnersdictionaries.com/definition/english/freewheel,C2,freewheel,bánh xe tự do,verb,/ˌfriːˈwiːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fre/freew/freewheel__gb_2.mp3
handlebar,https://www.oxfordlearnersdictionaries.com/definition/english/handlebar,C2,handlebar,tay lái,noun,/ˈhændlbɑː(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/han/handl/handlebar__gb_1.mp3
cyclo-cross,https://www.oxfordlearnersdictionaries.com/definition/english/cyclo-cross,C2,cyclo-cross,xích lô chéo,noun,/ˈsaɪkləʊ krɒs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cyc/cyclo/cyclo_cross_1_gb_1.mp3
mountain_bike,https://www.oxfordlearnersdictionaries.com/definition/english/mountain-bike,B2,mountain bike,xe đạp leo núi,noun,/ˈmaʊntən baɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mou/mount/mountain_bike_1_gb_1.mp3
peloton,https://www.oxfordlearnersdictionaries.com/definition/english/the-peloton,C2,peloton,peloton,noun,/ðə ˈpelətɒn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/the/the_p/the_peloton_1_gb_1.mp3
mountain_biking,https://www.oxfordlearnersdictionaries.com/definition/english/mountain-biking,B2,mountain biking,đạp xe leo núi,noun,/ˈmaʊntən baɪkɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mou/mount/mountain_biking_1_gb_1.mp3
dockless_bike,https://www.oxfordlearnersdictionaries.com/definition/english/dockless-bike,C2,dockless bike,xe đạp không bến,noun,/ˌdɒkləs ˈbaɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/doc/dockl/dockless_bike_1_gb_1.mp3
cycling_shorts,https://www.oxfordlearnersdictionaries.com/definition/english/cycling-shorts,C1,cycling shorts,quần short đi xe đạp,noun,/ˈsaɪklɪŋ ʃɔːts/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cyc/cycli/cycling_shorts_1_gb_1.mp3
madison,https://www.oxfordlearnersdictionaries.com/definition/english/madison_1,C2,madison,Madison,noun,/ˈmædɪsn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mad/madis/madison__gb_1.mp3
pedal,https://www.oxfordlearnersdictionaries.com/definition/english/pedal_2,C1,pedal,bàn đạp,verb,/ˈpedl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/ped/pedal/pedal__gb_1.mp3
speed,https://www.oxfordlearnersdictionaries.com/definition/english/speed_1,C2,speed,tốc độ,noun,/spiːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/spe/speed/speed__gb_1.mp3
tandem,https://www.oxfordlearnersdictionaries.com/definition/english/tandem,C2,tandem,song song,noun,/ˈtændəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tan/tande/tandem__gb_1.mp3
ride,https://www.oxfordlearnersdictionaries.com/definition/english/ride_2,A2,ride,lái,noun,/raɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rid/ride_/ride__gb_2.mp3
tire,https://www.oxfordlearnersdictionaries.com/definition/english/tire_2,B1,tire,lốp xe,noun,/ˈtaɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tir/tire_/tire__gb_1.mp3
tyre,https://www.oxfordlearnersdictionaries.com/definition/english/tyre,B1,tyre,lốp xe,noun,/ˈtaɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tyr/tyre_/tyre__gb_1.mp3
