id,url,levels,word,translation,part_of_speech,ipa,audio_link
barracks,https://www.oxfordlearnersdictionaries.com/definition/english/barracks,C2,barracks,doanh trại,noun,/ˈbærəks/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bar/barra/barracks__gb_1.mp3
brigade,https://www.oxfordlearnersdictionaries.com/definition/english/brigade,C2,brigade,lữ đoàn,noun,/brɪˈɡeɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/briga/brigade__gb_1.mp3
brigadier,https://www.oxfordlearnersdictionaries.com/definition/english/brigadier,C2,brigadier,thiếu tướng,noun,/ˌbrɪɡəˈdɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/briga/brigadier__gb_1.mp3
army,https://www.oxfordlearnersdictionaries.com/definition/english/army,A2,army,quân đội,noun,/ˈɑːmi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/arm/army_/army__gb_1.mp3
cavalry,https://www.oxfordlearnersdictionaries.com/definition/english/cavalry,C2,cavalry,kỵ binh,noun,/ˈkævlri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cav/caval/cavalry__gb_1.mp3
camp,https://www.oxfordlearnersdictionaries.com/definition/english/camp_1,B2,camp,trại,noun,/kæmp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cam/camp_/camp__gb_2.mp3
captain_general,https://www.oxfordlearnersdictionaries.com/definition/english/captain-general,C2,captain general,đại tướng,noun,/ˌkæptɪn ˈdʒenrəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cap/capta/captain_general_1_gb_1.mp3
colonel_general,https://www.oxfordlearnersdictionaries.com/definition/english/colonel-general,C2,colonel general,đại tá,noun,/ˌkɜːnl ˈdʒenrəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/colon/colonel_general_1_gb_1.mp3
adjutant,https://www.oxfordlearnersdictionaries.com/definition/english/adjutant,C2,adjutant,phụ tá,noun,/ˈædʒʊtənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adj/adjut/adjutant__gb_1.mp3
battalion,https://www.oxfordlearnersdictionaries.com/definition/english/battalion,C2,battalion,tiểu đoàn,noun,/bəˈtæliən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bat/batta/battalion__gb_2.mp3
commandant,https://www.oxfordlearnersdictionaries.com/definition/english/commandant,C2,commandant,người chỉ huy,noun,/ˈkɒməndænt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/comma/commandant__gb_1.mp3
commissioned_officer,https://www.oxfordlearnersdictionaries.com/definition/english/commissioned-officer,C2,commissioned officer,hạ sĩ quan,noun,/kəˌmɪʃnd ˈɒfɪsə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/commi/commissioned_officer_1_gb_1.mp3
commando,https://www.oxfordlearnersdictionaries.com/definition/english/commando,C2,commando,đặc công,noun,/kəˈmɑːndəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/comma/commando__gb_1.mp3
detachment,https://www.oxfordlearnersdictionaries.com/definition/english/detachment,C2,detachment,biệt đội,noun,/dɪˈtætʃmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/det/detac/detachment__gb_1.mp3
commander-in-chief,https://www.oxfordlearnersdictionaries.com/definition/english/commander-in-chief,C2,commander-in-chief,tổng tư lệnh,noun,/kəˌmɑːndər ɪn ˈtʃiːf/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/comma/commander_in_chief_1_gb_1.mp3
corps,https://www.oxfordlearnersdictionaries.com/definition/english/corps,C1,corps,quân đoàn,noun,/kɔː(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cor/core_/core__gb_3.mp3
