id,url,levels,word,translation,part_of_speech,ipa,audio_link
balustrade,https://www.oxfordlearnersdictionaries.com/definition/english/balustrade,C2,balustrade,lan can,noun,/ˌbæləˈstreɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bal/balus/balustrade__gb_1.mp3
arch,https://www.oxfordlearnersdictionaries.com/definition/english/arch_1,C1,arch,vòm,noun,/ɑːtʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/arc/arch_/arch__gb_1.mp3
atrium,https://www.oxfordlearnersdictionaries.com/definition/english/atrium,C2,atrium,tâm nhĩ,noun,/ˈeɪtriəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/atr/atriu/atrium__gb_1.mp3
buttress,https://www.oxfordlearnersdictionaries.com/definition/english/buttress_1,C2,buttress,trụ đỡ,noun,/ˈbʌtrəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/but/buttr/buttress__gb_1.mp3
bas-relief,https://www.oxfordlearnersdictionaries.com/definition/english/bas-relief,C2,bas-relief,bức phù điêu,noun,/ˌbæs rɪˈliːf/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bas/bas_r/bas_relief_1_gb_1.mp3
arcade,https://www.oxfordlearnersdictionaries.com/definition/english/arcade,C2,arcade,trò chơi điện tử,noun,/ɑːˈkeɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/arc/arcad/arcade__gb_1.mp3
booth,https://www.oxfordlearnersdictionaries.com/definition/english/booth,C2,booth,gian hàng,noun,/buːð/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/booth/booth__gb_3.mp3
belvedere,https://www.oxfordlearnersdictionaries.com/definition/english/belvedere,C2,belvedere,chòi canh,noun,/ˈbelvədɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bel/belve/belvedere__gb_1.mp3
archway,https://www.oxfordlearnersdictionaries.com/definition/english/archway,C2,archway,cổng vòm,noun,/ˈɑːtʃweɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/arc/archw/archway__gb_1.mp3
capital,https://www.oxfordlearnersdictionaries.com/definition/english/capital_1,C2,capital,thủ đô,noun,/ˈkæpɪtl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cap/capit/capital__gb_1.mp3
casement,https://www.oxfordlearnersdictionaries.com/definition/english/casement,C2,casement,cửa sổ,noun,/ˈkeɪsmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cas/casem/casement__gb_2.mp3
chimney,https://www.oxfordlearnersdictionaries.com/definition/english/chimney,C1,chimney,ống khói,noun,/ˈtʃɪmni/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chi/chimn/chimney__gb_2.mp3
column,https://www.oxfordlearnersdictionaries.com/definition/english/column,B2,column,cột,noun,/ˈkɒləm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/colum/column__gb_1.mp3
colonnade,https://www.oxfordlearnersdictionaries.com/definition/english/colonnade,C2,colonnade,hàng cột,noun,/ˌkɒləˈneɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/colon/colonnade__gb_1.mp3
corbel,https://www.oxfordlearnersdictionaries.com/definition/english/corbel,C2,corbel,cái rầm,noun,/ˈkɔːbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cor/corbe/corbel__gb_1.mp3
balcony,https://www.oxfordlearnersdictionaries.com/definition/english/balcony,B1,balcony,ban công,noun,/ˈbælkəni/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bal/balco/balcony__gb_3.mp3
courtyard,https://www.oxfordlearnersdictionaries.com/definition/english/courtyard,C1,courtyard,sân,noun,/ˈkɔːtjɑːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/court/courtyard__gb_1.mp3
dome,https://www.oxfordlearnersdictionaries.com/definition/english/dome,C1,dome,mái vòm,noun,/dəʊm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dom/dome_/dome__gb_1.mp3
chimney_pot,https://www.oxfordlearnersdictionaries.com/definition/english/chimney-pot,C2,chimney pot,nồi ống khói,noun,/ˈtʃɪmni pɒt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chi/chimn/chimney_pot_1_gb_1.mp3
doorway,https://www.oxfordlearnersdictionaries.com/definition/english/doorway,B2,doorway,ngưỡng cửa,noun,/ˈdɔːweɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/doo/doorw/doorway__gb_1.mp3
doorstep,https://www.oxfordlearnersdictionaries.com/definition/english/doorstep_1,B2,doorstep,ngưỡng cửa,noun,/ˈdɔːstep/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/doo/doors/doorstep__gb_1.mp3
drain,https://www.oxfordlearnersdictionaries.com/definition/english/drain_2,C1,drain,làm khô hạn,noun,/dreɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dra/drain/drain__gb_2.mp3
elevator,https://www.oxfordlearnersdictionaries.com/definition/english/elevator,B1,elevator,thang máy,noun,/ˈelɪveɪtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ele/eleva/elevator__gb_1.mp3
drainpipe,https://www.oxfordlearnersdictionaries.com/definition/english/drainpipe,C2,drainpipe,ống thoát nước,noun,/ˈdreɪnpaɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dra/drain/drainpipe__gb_2.mp3
eaves,https://www.oxfordlearnersdictionaries.com/definition/english/eaves,C2,eaves,mái hiên,noun,/iːvz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eav/eaves/eaves__gb_1.mp3
extension,https://www.oxfordlearnersdictionaries.com/definition/english/extension,C1,extension,sự mở rộng,noun,/ɪkˈstenʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ext/exten/extension__gb_1.mp3
entrance,https://www.oxfordlearnersdictionaries.com/definition/english/entrance1,B1,entrance,cổng vào,noun,/ˈentrəns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ent/entra/entrance__gb_1.mp3
exit,https://www.oxfordlearnersdictionaries.com/definition/english/exit_1,B2,exit,ra,noun,/ˈeksɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/exi/exit_/exit__gb_1.mp3
downspout,https://www.oxfordlearnersdictionaries.com/definition/english/downspout,C2,downspout,ống thoát nước,noun,/ˈdaʊnspaʊt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dow/downs/downspout__gb_1.mp3
fascia,https://www.oxfordlearnersdictionaries.com/definition/english/fascia,C2,fascia,màng chắn,noun,/ˈfeɪʃə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fas/fasci/fascia__gb_1.mp3
fire_escape,https://www.oxfordlearnersdictionaries.com/definition/english/fire-escape,C1,fire escape,thoát hiểm,noun,/ˈfaɪər ɪskeɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fir/fire_/fire_escape_1_gb_1.mp3
facia,https://www.oxfordlearnersdictionaries.com/definition/english/facia,C2,facia,mặt ngoài,noun,/ˈfeɪʃə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fas/fasci/fascia__gb_1.mp3
gable,https://www.oxfordlearnersdictionaries.com/definition/english/gable,C2,gable,đầu hồi,noun,/ˈɡeɪbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gab/gable/gable__gb_3.mp3
flooring,https://www.oxfordlearnersdictionaries.com/definition/english/flooring,C1,flooring,ván sàn,noun,/ˈflɔːrɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/flo/floor/flooring__gb_1.mp3
floor,https://www.oxfordlearnersdictionaries.com/definition/english/floor_1,A1,floor,sàn nhà,noun,/flɔː(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/flo/floor/floor__gb_3.mp3
green_wall,https://www.oxfordlearnersdictionaries.com/definition/english/green-wall,C1,green wall,bức tường xanh,noun,/ˈɡriːn wɔːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gre/green/green_wall_1_gb_1.mp3
