id,url,levels,word,translation,part_of_speech,ipa,audio_link
longboard,https://www.oxfordlearnersdictionaries.com/definition/english/longboard,C2,longboard,ván dài,noun,/ˈlɒŋbɔːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lon/longb/longboard__gb_1.mp3
life_vest,https://www.oxfordlearnersdictionaries.com/definition/english/life-vest,B2,life vest,áo phao,noun,/ˈlaɪf vest/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lif/life_/life_vest_1_gb_1.mp3
paddleboarding,https://www.oxfordlearnersdictionaries.com/definition/english/paddleboarding,C2,paddleboarding,chèo thuyền,noun,/ˈpædlbɔːdɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pad/paddl/paddleboarding__gb_1.mp3
bodyboard,https://www.oxfordlearnersdictionaries.com/definition/english/bodyboard,C2,bodyboard,ván nằm,noun,/ˈbɒdibɔːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bod/bodyb/bodyboard__gb_2.mp3
paddleboard,https://www.oxfordlearnersdictionaries.com/definition/english/paddleboard,C2,paddleboard,ván chèo,noun,/ˈpædlbɔːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pad/paddl/paddleboard__gb_1.mp3
life_jacket,https://www.oxfordlearnersdictionaries.com/definition/english/life-jacket,B2,life jacket,áo phao,noun,/ˈlaɪf dʒækɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lif/life_/life_jacket_1_gb_1.mp3
bodyboarding,https://www.oxfordlearnersdictionaries.com/definition/english/bodyboarding,C2,bodyboarding,lướt ván nằm,noun,/ˈbɒdibɔːdɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bod/bodyb/bodyboarding__gb_1.mp3
jet-skiing,https://www.oxfordlearnersdictionaries.com/definition/english/jet-skiing,C2,jet-skiing,trượt nước bằng máy bay phản lực,noun,/ˈdʒet skiːɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/j/jet/jet_s/jet_skiing_1_gb_1.mp3
boardsailing,https://www.oxfordlearnersdictionaries.com/definition/english/boardsailing,C2,boardsailing,chèo thuyền,noun,/ˈbɔːdseɪlɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boa/board/boardsailing__gb_2.mp3
jet_ski™,https://www.oxfordlearnersdictionaries.com/definition/english/jet-skitm,C2,Jet Ski™,Jet Ski™,noun,/ˈdʒet skiː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/j/jet/jet_s/jet_ski_1_gb_1.mp3
surfboard,https://www.oxfordlearnersdictionaries.com/definition/english/surfboard,B1,surfboard,ván lướt sóng,noun,/ˈsɜːfbɔːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sur/surfb/surfboard__gb_1.mp3
surf,https://www.oxfordlearnersdictionaries.com/definition/english/surf_2,B1,surf,lướt sóng,verb,/sɜːf/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sur/surf_/surf__gb_1.mp3
surfer,https://www.oxfordlearnersdictionaries.com/definition/english/surfer,B1,surfer,người lướt sóng,noun,/ˈsɜːfə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sur/surfe/surfer__gb_1.mp3
sailboard,https://www.oxfordlearnersdictionaries.com/definition/english/sailboard,C2,sailboard,ván buồm,noun,/ˈseɪlbɔːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sai/sailb/sailboard__gb_1.mp3
tetrathlon,https://www.oxfordlearnersdictionaries.com/definition/english/tetrathlon,C2,tetrathlon,cuộc thi bốn môn phối hợp,noun,/teˈtræθlən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tet/tetra/tetrathlon__gb_1.mp3
surfing,https://www.oxfordlearnersdictionaries.com/definition/english/surfing,B1,surfing,lướt sóng,noun,/ˈsɜːfɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/sur/surfi/surfing__gb_1.mp3
wakeboarding,https://www.oxfordlearnersdictionaries.com/definition/english/wakeboarding,C2,wakeboarding,lướt ván,noun,/ˈweɪkbɔːdɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wak/wakeb/wakeboarding__gb_1.mp3
wakeboard,https://www.oxfordlearnersdictionaries.com/definition/english/wakeboard,C2,wakeboard,ván lướt sóng,verb,/ˈweɪkbɔːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wak/wakeb/wakeboard__gb_1.mp3
water_polo,https://www.oxfordlearnersdictionaries.com/definition/english/water-polo,C2,water polo,bóng nước,noun,/ˈwɔːtə pəʊləʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wat/water/water_polo_1_gb_1.mp3
waterski,https://www.oxfordlearnersdictionaries.com/definition/english/waterski_1,B2,waterski,ván trượt nước,verb,/ˈwɔːtəskiː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wat/water/waterski__gb_1.mp3
waterski,https://www.oxfordlearnersdictionaries.com/definition/english/waterski_2,B2,waterski,ván trượt nước,noun,/ˈwɔːtəskiː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wat/water/waterski__gb_1.mp3
windsurf,https://www.oxfordlearnersdictionaries.com/definition/english/windsurf,C1,windsurf,lướt ván buồm,verb,/ˈwɪndsɜːf/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/win/winds/windsurf__gb_1.mp3
windsurfing,https://www.oxfordlearnersdictionaries.com/definition/english/windsurfing,C1,windsurfing,lướt ván buồm,noun,/ˈwɪndsɜːfɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/win/winds/windsurfing__gb_1.mp3
windsurfer,https://www.oxfordlearnersdictionaries.com/definition/english/windsurfer,C1,windsurfer,người lướt ván buồm,noun,/ˈwɪndsɜːfə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/win/winds/windsurfer__gb_1.mp3
waterskiing,https://www.oxfordlearnersdictionaries.com/definition/english/waterskiing,B2,waterskiing,lướt ván nước,noun,/ˈwɔːtəskiːɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wat/water/waterskiing__gb_1.mp3
wipe_out,https://www.oxfordlearnersdictionaries.com/definition/english/wipe-out,C2,wipe out,quét sạch,phrasal verb,,
white_water,https://www.oxfordlearnersdictionaries.com/definition/english/white-water,C1,white water,nước trắng,noun,/ˌwaɪt ˈwɔːtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/whi/white/white_water_1_gb_1.mp3
water_sports,https://www.oxfordlearnersdictionaries.com/definition/english/water-sports,A1,water sports,thể thao dưới nước,noun,/ˈwɔːtə spɔːts/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wat/water/water_sports_1_gb_1.mp3
wetsuit,https://www.oxfordlearnersdictionaries.com/definition/english/wetsuit,C1,wetsuit,bộ đồ lặn,noun,/ˈwetsuːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/wet/wetsu/wetsuit__gb_1.mp3
