id,url,levels,word,translation,part_of_speech,ipa,audio_link
commission,https://www.oxfordlearnersdictionaries.com/definition/english/commission_1,B2,commission,nhiệm vụ,noun,/kəˈmɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/commi/commission__gb_2.mp3
bonus,https://www.oxfordlearnersdictionaries.com/definition/english/bonus,C1,bonus,thưởng,noun,/ˈbəʊnəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bon/bonus/bonus__gb_2.mp3
absentee,https://www.oxfordlearnersdictionaries.com/definition/english/absentee,C2,absentee,vắng mặt,noun,/ˌæbsənˈtiː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absen/absentee__gb_1.mp3
contract,https://www.oxfordlearnersdictionaries.com/definition/english/contract_1,B2,contract,hợp đồng,noun,/ˈkɒntrækt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcont/xcontract__gb_3.mp3
discipline,https://www.oxfordlearnersdictionaries.com/definition/english/discipline_1,B2,discipline,kỷ luật,noun,/ˈdɪsəplɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/disci/discipline__gb_2.mp3
discrimination,https://www.oxfordlearnersdictionaries.com/definition/english/discrimination,C1,discrimination,phân biệt,noun,/dɪˌskrɪmɪˈneɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/discr/discrimination__gb_2.mp3
condition,https://www.oxfordlearnersdictionaries.com/definition/english/condition_1,B1,condition,tình trạng,noun,/kənˈdɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcond/xcondition__gb_1.mp3
exploit,https://www.oxfordlearnersdictionaries.com/definition/english/exploit_1,B2,exploit,khai thác,verb,/ɪkˈsplɔɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/exp/explo/exploit__gb_5.mp3
hazard_pay,https://www.oxfordlearnersdictionaries.com/definition/english/hazard-pay,C2,hazard pay,trả tiền nguy hiểm,noun,/ˈhæzəd peɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/haz/hazar/hazard_pay_1_gb_1.mp3
danger_money,https://www.oxfordlearnersdictionaries.com/definition/english/danger-money,C2,danger money,tiền nguy hiểm,noun,/ˈdeɪndʒə mʌni/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dan/dange/danger_money_1_gb_1.mp3
job_security,https://www.oxfordlearnersdictionaries.com/definition/english/job-security,B1,job security,bảo đảm việc làm,noun,/ˈdʒɒb sɪkjʊərəti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/j/job/job_s/job_security_1_gb_1.mp3
labour,https://www.oxfordlearnersdictionaries.com/definition/english/labour_1,B2,labour,nhân công,noun,/ˈleɪbə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lab/labou/labour__gb_2.mp3
minimum_wage,https://www.oxfordlearnersdictionaries.com/definition/english/minimum-wage,C1,minimum wage,mức lương tối thiểu,noun,/ˌmɪnɪməm ˈweɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/min/minim/minimum_wage_1_gb_1.mp3
