id,url,levels,word,translation,part_of_speech,ipa,audio_link
call_back,https://www.oxfordlearnersdictionaries.com/definition/english/call-back,B1,call back,gọi lại,phrasal verb,,
call_in,https://www.oxfordlearnersdictionaries.com/definition/english/call-in_1,C1,call in,gọi vào,phrasal verb,,
area_code,https://www.oxfordlearnersdictionaries.com/definition/english/area-code,C2,area code,mã vùng,noun,/ˈeəriə kəʊd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/are/area_/area_code_1_gb_1.mp3
callback,https://www.oxfordlearnersdictionaries.com/definition/english/callback,C2,callback,gọi lại,noun,/ˈkɔːlbæk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cal/callb/callback__gb_1.mp3
caller,https://www.oxfordlearnersdictionaries.com/definition/english/caller,A2,caller,người gọi,noun,/ˈkɔːlə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cal/calle/caller__gb_1.mp3
call,https://www.oxfordlearnersdictionaries.com/definition/english/call_2,A1,call,gọi,noun,/kɔːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cal/call_/call__gb_3.mp3
call,https://www.oxfordlearnersdictionaries.com/definition/english/call_1,A1,call,gọi,verb,/kɔːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cal/call_/call__gb_3.mp3
be_on_the_telephone,https://www.oxfordlearnersdictionaries.com/definition/english/telephone_1,A2,be on the telephone,đang nói chuyện điện thoại,noun,/ˈtelɪfəʊn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/tel/telep/telephone__gb_1.mp3
call-in,https://www.oxfordlearnersdictionaries.com/definition/english/call-in_2,C1,call-in,cuộc gọi đến,noun,/ˈkɔːl ɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cal/call_/call_in_1_gb_1.mp3
be_on_the_phone,https://www.oxfordlearnersdictionaries.com/definition/english/phone_1,A2,be on the phone,đang nghe điện thoại,noun,/fəʊn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pho/phone/phone__gb_2.mp3
call_up,https://www.oxfordlearnersdictionaries.com/definition/english/call-up_1,B1,call up,gọi lên,phrasal verb,,
contact,https://www.oxfordlearnersdictionaries.com/definition/english/contact_2,B1,contact,liên hệ,verb,/ˈkɒntækt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcont/xcontact__gb_1.mp3
dial,https://www.oxfordlearnersdictionaries.com/definition/english/dial_2,C1,dial,quay số,verb,/ˈdaɪəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dia/dial_/dial__gb_1.mp3
dial_in,https://www.oxfordlearnersdictionaries.com/definition/english/dial-in,C2,dial in,quay số vào,phrasal verb,,
engaged,https://www.oxfordlearnersdictionaries.com/definition/english/engaged,B2,engaged,đính hôn,adjective,/ɪnˈɡeɪdʒd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eng/engag/engaged__gb_1.mp3
dial_into,https://www.oxfordlearnersdictionaries.com/definition/english/dial-into,C2,dial into,quay số vào,phrasal verb,,
cut_off,https://www.oxfordlearnersdictionaries.com/definition/english/cut-off_2,B2,cut off,cắt đứt,phrasal verb,,
hold,https://www.oxfordlearnersdictionaries.com/definition/english/hold_1,B2,hold,giữ,verb,/həʊld/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hol/hold_/hold__gb_1.mp3
misdial,https://www.oxfordlearnersdictionaries.com/definition/english/misdial,C2,misdial,gọi nhầm,verb,/ˌmɪsˈdaɪəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mis/misdi/misdial__gb_1.mp3
get_hold_of_somebody,https://www.oxfordlearnersdictionaries.com/definition/english/hold_2,C2,get hold of somebody,nắm lấy ai đó,noun,/həʊld/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hol/hold_/hold__gb_1.mp3
give_somebody_a_ring,https://www.oxfordlearnersdictionaries.com/definition/english/ring2_2,B2,give somebody a ring,đưa cho ai một chiếc nhẫn,noun,/rɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rin/ring_/ring__gb_1.mp3
give_somebody_a_buzz,https://www.oxfordlearnersdictionaries.com/definition/english/buzz_2,C2,give somebody a buzz,báo cho ai đó một tiếng vang,noun,/bʌz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/buz/buzz_/buzz__gb_2.mp3
line,https://www.oxfordlearnersdictionaries.com/definition/english/line_1,A2,line,đường kẻ,noun,/laɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lin/line_/line__gb_1.mp3
give_somebody_a_bell,https://www.oxfordlearnersdictionaries.com/definition/english/bell,C2,give somebody a bell,đưa cho ai đó một cái chuông,noun,/bel/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bel/bell_/bell__gb_2.mp3
get_through,https://www.oxfordlearnersdictionaries.com/definition/english/get-through,C1,get through,vượt qua,phrasal verb,,
mute,https://www.oxfordlearnersdictionaries.com/definition/english/mute_2,C2,mute,tắt tiếng,noun,/mjuːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mut/mute_/mute__gb_1.mp3
mute,https://www.oxfordlearnersdictionaries.com/definition/english/mute_3,C2,mute,tắt tiếng,verb,/mjuːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mut/mute_/mute__gb_1.mp3
number,https://www.oxfordlearnersdictionaries.com/definition/english/number_1,A1,number,con số,noun,/ˈnʌmbə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/n/num/numbe/number__gb_1.mp3
phone,https://www.oxfordlearnersdictionaries.com/definition/english/phone_2,A1,phone,điện thoại,verb,/fəʊn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pho/phone/phone__gb_2.mp3
phone_call,https://www.oxfordlearnersdictionaries.com/definition/english/phone-call,A1,phone call,cuộc gọi điện thoại,noun,/ˈfəʊn kɔːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pho/phone/phone_call_1_gb_1.mp3
put_through,https://www.oxfordlearnersdictionaries.com/definition/english/put-through,C1,put through,vượt qua,phrasal verb,,
off_the_hook,https://www.oxfordlearnersdictionaries.com/definition/english/hook_1,C2,off the hook,thoát khỏi câu chuyện,noun,/hʊk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hoo/hook_/hook__gb_1.mp3
on_hold,https://www.oxfordlearnersdictionaries.com/definition/english/hold_2,C1,on hold,tạm dừng,noun,/həʊld/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hol/hold_/hold__gb_1.mp3
reach,https://www.oxfordlearnersdictionaries.com/definition/english/reach_1,C1,reach,với tới,verb,/riːtʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rea/reach/reach__gb_1.mp3
raise,https://www.oxfordlearnersdictionaries.com/definition/english/raise_1,C2,raise,nâng lên,verb,/reɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rai/raise/raise__gb_2.mp3
redial,https://www.oxfordlearnersdictionaries.com/definition/english/redial_1,C2,redial,gọi lại,verb,/ˌriːˈdaɪəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/red/redia/redial__gb_2.mp3
reverse,https://www.oxfordlearnersdictionaries.com/definition/english/reverse_1,C2,reverse,đảo ngược,verb,/rɪˈvɜːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rev/rever/reverse__gb_2.mp3
ring,https://www.oxfordlearnersdictionaries.com/definition/english/ring2_1,A2,ring,nhẫn,verb,/rɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rin/ring_/ring__gb_1.mp3
ring_around,https://www.oxfordlearnersdictionaries.com/definition/english/ring-around,C2,ring around,vòng quanh,phrasal verb,,
ring_off,https://www.oxfordlearnersdictionaries.com/definition/english/ring-off,C2,ring off,tắt chuông,phrasal verb,,
speed_dial,https://www.oxfordlearnersdictionaries.com/definition/english/speed-dial_1,C2,speed dial,quay số nhanh,noun,/ˈspiːd daɪəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/spe/speed/speed_dial_1_gb_1.mp3
ring_round,https://www.oxfordlearnersdictionaries.com/definition/english/ring-round,C2,ring round,vòng tròn,phrasal verb,,
