id,url,levels,word,translation,part_of_speech,ipa,audio_link
decorative,https://www.oxfordlearnersdictionaries.com/definition/english/decorative,C1,decorative,trang trí,adjective,/ˈdekərətɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dec/decor/decorative__gb_2.mp3
execute,https://www.oxfordlearnersdictionaries.com/definition/english/execute,C2,execute,thi hành,verb,/ˈeksɪkjuːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/exe/execu/execute__gb_2.mp3
cityscape,https://www.oxfordlearnersdictionaries.com/definition/english/cityscape,C2,cityscape,cảnh quan thành phố,noun,/ˈsɪtiskeɪp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cit/citys/cityscape__gb_1.mp3
depict,https://www.oxfordlearnersdictionaries.com/definition/english/depict,C1,depict,miêu tả,verb,/dɪˈpɪkt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dep/depic/depict__gb_1.mp3
classical,https://www.oxfordlearnersdictionaries.com/definition/english/classical,C1,classical,cổ điển,adjective,/ˈklæsɪkl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cla/class/classical__gb_1.mp3
depth,https://www.oxfordlearnersdictionaries.com/definition/english/depth,C1,depth,độ sâu,noun,/depθ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dep/depth/depth__gb_1.mp3
detail,https://www.oxfordlearnersdictionaries.com/definition/english/detail_1,A2,detail,chi tiết,noun,/ˈdiːteɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/det/detai/detail__gb_3.mp3
background,https://www.oxfordlearnersdictionaries.com/definition/english/background,A2,background,lý lịch,noun,/ˈbækɡraʊnd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bac/backg/background__gb_1.mp3
abstract,https://www.oxfordlearnersdictionaries.com/definition/english/abstract_1,B2,abstract,trừu tượng,adjective,/ˈæbstrækt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/abstr/abstract__gb_5.mp3
design,https://www.oxfordlearnersdictionaries.com/definition/english/design_1,A1,design,thiết kế,noun,/dɪˈzaɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/des/desig/design__gb_2.mp3
