id,url,levels,word,translation,part_of_speech,ipa,audio_link
ace,https://www.oxfordlearnersdictionaries.com/definition/english/ace_1,C2,ace,quân át,noun,/eɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ace/ace__/ace__gb_1.mp3
blackjack,https://www.oxfordlearnersdictionaries.com/definition/english/blackjack,C2,blackjack,bài xì dách,noun,/ˈblækdʒæk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bla/black/blackjack__gb_2.mp3
baccarat,https://www.oxfordlearnersdictionaries.com/definition/english/baccarat,C2,baccarat,baccarat,noun,/ˈbækərɑː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bac/bacca/baccarat_1_gb_1.mp3
casino,https://www.oxfordlearnersdictionaries.com/definition/english/casino,C1,casino,sòng bạc,noun,/kəˈsiːnəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cas/casin/casino__gb_2.mp3
club,https://www.oxfordlearnersdictionaries.com/definition/english/club_1,C2,club,câu lạc bộ,noun,/klʌb/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/clu/club_/club__gb_1.mp3
card,https://www.oxfordlearnersdictionaries.com/definition/english/card_1,A2,card,thẻ,noun,/kɑːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/card_/card__gb_1.mp3
bridge,https://www.oxfordlearnersdictionaries.com/definition/english/bridge_1,C2,bridge,cầu,noun,/brɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/bridg/bridge__gb_3.mp3
card_game,https://www.oxfordlearnersdictionaries.com/definition/english/card-game,A2,card game,trò chơi bài,noun,/ˈkɑːd ɡeɪm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/card_/card_game_1_gb_1.mp3
canasta,https://www.oxfordlearnersdictionaries.com/definition/english/canasta,C2,canasta,canasta,noun,/kəˈnæstə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/can/canas/canasta__gb_2.mp3
cribbage,https://www.oxfordlearnersdictionaries.com/definition/english/cribbage,C2,cribbage,cái nôi,noun,/ˈkrɪbɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cri/cribb/cribbage__gb_1.mp3
deal,https://www.oxfordlearnersdictionaries.com/definition/english/deal_1,A2,deal,thỏa thuận,verb,/diːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dea/deal_/deal__gb_1.mp3
dealer,https://www.oxfordlearnersdictionaries.com/definition/english/dealer,C1,dealer,đại lý,noun,/ˈdiːlə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dea/deale/dealer__gb_2.mp3
diamond,https://www.oxfordlearnersdictionaries.com/definition/english/diamond,C2,diamond,kim cương,noun,/ˈdaɪmənd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dia/diamo/diamond__gb_2.mp3
grand_slam,https://www.oxfordlearnersdictionaries.com/definition/english/grand-slam,C2,grand slam,cuộc tranh tài lớn,noun,/ˌɡrænd ˈslæm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gra/grand/grand_slam_1_gb_1.mp3
joker,https://www.oxfordlearnersdictionaries.com/definition/english/joker,C2,joker,người pha trò,noun,/ˈdʒəʊkə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/j/jok/joker/joker__gb_1.mp3
