id,url,levels,word,translation,part_of_speech,ipa,audio_link
allure,https://www.oxfordlearnersdictionaries.com/definition/english/allure,C2,allure,quyến rũ,noun,/əˈlʊə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/allur/allure__gb_1.mp3
beaut,https://www.oxfordlearnersdictionaries.com/definition/english/beaut_1,C2,beaut,xinh đẹp,noun,/bjuːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bea/beaut/beaut__gb_2.mp3
beauteous,https://www.oxfordlearnersdictionaries.com/definition/english/beauteous,C2,beauteous,xinh đẹp,adjective,/ˈbjuːtiəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bea/beaut/beauteous__gb_2.mp3
alluring,https://www.oxfordlearnersdictionaries.com/definition/english/alluring,C2,alluring,quyến rũ,adjective,/əˈlʊərɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/all/allur/alluring__gb_1.mp3
appearance,https://www.oxfordlearnersdictionaries.com/definition/english/appearance,A2,appearance,vẻ bề ngoài,noun,/əˈpɪərəns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/appea/appearance__gb_1.mp3
attractive,https://www.oxfordlearnersdictionaries.com/definition/english/attractive,A2,attractive,hấp dẫn,adjective,/əˈtræktɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/att/attra/attractive__gb_2.mp3
beautiful,https://www.oxfordlearnersdictionaries.com/definition/english/beautiful,A1,beautiful,xinh đẹp,adjective,/ˈbjuːtɪfl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bea/beaut/beautiful__gb_2.mp3
adonis,https://www.oxfordlearnersdictionaries.com/definition/english/adonis,C2,Adonis,Adonis,noun,/əˈdəʊnɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ado/adoni/adonis__gb_1.mp3
attractiveness,https://www.oxfordlearnersdictionaries.com/definition/english/attractiveness,C1,attractiveness,sự hấp dẫn,noun,/əˈtræktɪvnəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/att/attra/attractiveness__gb_1.mp3
angelic,https://www.oxfordlearnersdictionaries.com/definition/english/angelic,C2,angelic,thiên thần,adjective,/ænˈdʒelɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ang/angel/angelic__gb_1.mp3
beauty,https://www.oxfordlearnersdictionaries.com/definition/english/beauty,B2,beauty,sắc đẹp,noun,/ˈbjuːti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bea/beaut/beauty__gb_2.mp3
belle,https://www.oxfordlearnersdictionaries.com/definition/english/belle,C2,belle,người đẹp,noun,/bel/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bel/belle/belle__gb_2.mp3
comely,https://www.oxfordlearnersdictionaries.com/definition/english/comely,C2,comely,duyên dáng,adjective,/ˈkʌmli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/comel/comely__gb_1.mp3
bonny,https://www.oxfordlearnersdictionaries.com/definition/english/bonny,C2,bonny,vui vẻ,adjective,/ˈbɒni/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bon/bonny/bonny__gb_2.mp3
buxom,https://www.oxfordlearnersdictionaries.com/definition/english/buxom,C2,buxom,buxom,adjective,/ˈbʌksəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bux/buxom/buxom__gb_3.mp3
