id,url,levels,word,translation,part_of_speech,ipa,audio_link
astern,https://www.oxfordlearnersdictionaries.com/definition/english/astern,C2,astern,phía sau,adverb,/əˈstɜːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ast/aster/astern__gb_1.mp3
amidships,https://www.oxfordlearnersdictionaries.com/definition/english/amidships,C2,amidships,giữa tàu,adverb,/əˈmɪdʃɪps/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ami/amids/amidships__gb_1.mp3
abaft,https://www.oxfordlearnersdictionaries.com/definition/english/abaft,C2,abaft,sau,adverb,/əˈbɑːft/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aba/abaft/abaft__gb_1.mp3
aft,https://www.oxfordlearnersdictionaries.com/definition/english/aft,C2,aft,phía sau,"adverb,adjective",/ɑːft/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aft/aft__/aft__gb_1.mp3
berth,https://www.oxfordlearnersdictionaries.com/definition/english/berth_1,C2,berth,bến,noun,/bɜːθ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ber/berth/berth__gb_2.mp3
autopilot,https://www.oxfordlearnersdictionaries.com/definition/english/autopilot,C1,autopilot,lái tự động,noun,/ˈɔːtəʊpaɪlət/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aut/autop/autopilot__gb_1.mp3
anchor,https://www.oxfordlearnersdictionaries.com/definition/english/anchor_1,C1,anchor,neo,noun,/ˈæŋkə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/anc/ancho/anchor__gb_1.mp3
automatic_pilot,https://www.oxfordlearnersdictionaries.com/definition/english/automatic-pilot,C1,automatic pilot,phi công tự động,noun,/ˌɔːtəmætɪk ˈpaɪlət/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aut/autom/automatic_pilot_1_gb_1.mp3
ballast,https://www.oxfordlearnersdictionaries.com/definition/english/ballast,C2,ballast,vật dằn,noun,/ˈbæləst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bal/balla/ballast__gb_2.mp3
aftermost,https://www.oxfordlearnersdictionaries.com/definition/english/aftermost,C2,aftermost,sau cùng,adjective,/ˈɑːftəməʊst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aft/after/aftermost__gb_1.mp3
bilge,https://www.oxfordlearnersdictionaries.com/definition/english/bilge,C2,bilge,đáy tàu,noun,/bɪldʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bil/bilge/bilge__gb_2.mp3
boom,https://www.oxfordlearnersdictionaries.com/definition/english/boom_1,C2,boom,bùng nổ,noun,/buːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/boom_/boom__gb_2.mp3
bollard,https://www.oxfordlearnersdictionaries.com/definition/english/bollard,C2,bollard,cột trụ,noun,/ˈbɒlɑːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bol/bolla/bollard__gb_3.mp3
bottom,https://www.oxfordlearnersdictionaries.com/definition/english/bottom_1,B1,bottom,đáy,noun,/ˈbɒtəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bot/botto/bottom__gb_2.mp3
bow,https://www.oxfordlearnersdictionaries.com/definition/english/bow1_2,C2,bow,cây cung,noun,/baʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bow/bow__/bow__gb_3.mp3
boiler_room,https://www.oxfordlearnersdictionaries.com/definition/english/boiler-room,C2,boiler room,phòng nồi hơi,noun,/ˈbɔɪlə ruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boi/boile/boiler_room_1_gb_1.mp3
bridge,https://www.oxfordlearnersdictionaries.com/definition/english/bridge_1,C2,bridge,cầu,noun,/brɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/bridg/bridge__gb_3.mp3
bowline,https://www.oxfordlearnersdictionaries.com/definition/english/bowline1,C2,bowline,dây cung,noun,/ˈbaʊlaɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bow/bowli/bowline__gb_5.mp3
brig,https://www.oxfordlearnersdictionaries.com/definition/english/brig_1,C2,brig,cầu cảng,noun,/brɪɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bri/brig_/brig__gb_1.mp3
bowsprit,https://www.oxfordlearnersdictionaries.com/definition/english/bowsprit,C2,bowsprit,cây cung,noun,/ˈbəʊsprɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bow/bowsp/bowsprit__gb_1.mp3
bulkhead,https://www.oxfordlearnersdictionaries.com/definition/english/bulkhead,C2,bulkhead,vách ngăn,noun,/ˈbʌlkhed/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bul/bulkh/bulkhead__gb_2.mp3
bunk,https://www.oxfordlearnersdictionaries.com/definition/english/bunk_1,C2,bunk,giường tầng,noun,/bʌŋk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bun/bunk_/bunk__gb_2.mp3
cabin,https://www.oxfordlearnersdictionaries.com/definition/english/cabin,B2,cabin,cabin,noun,/ˈkæbɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cab/cabin/cabin__gb_2.mp3
cable,https://www.oxfordlearnersdictionaries.com/definition/english/cable_1,C1,cable,cáp,noun,/ˈkeɪbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cab/cable/cable__gb_2.mp3
cargo,https://www.oxfordlearnersdictionaries.com/definition/english/cargo,C1,cargo,hàng hóa,noun,/ˈkɑːɡəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/cargo/cargo__gb_1.mp3
capstan,https://www.oxfordlearnersdictionaries.com/definition/english/capstan,C2,capstan,thuyền trưởng,noun,/ˈkæpstən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cap/capst/capstan__gb_1.mp3
color,https://www.oxfordlearnersdictionaries.com/definition/english/color_1,C2,color,màu sắc,noun,/ˈkʌlə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/colou/colour__gb_1.mp3
cockpit,https://www.oxfordlearnersdictionaries.com/definition/english/cockpit,C1,cockpit,buồng lái,noun,/ˈkɒkpɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coc/cockp/cockpit__gb_1.mp3
companionway,https://www.oxfordlearnersdictionaries.com/definition/english/companionway,C2,companionway,đường đồng hành,noun,/kəmˈpænjənweɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/compa/companionway__gb_1.mp3
colour,https://www.oxfordlearnersdictionaries.com/definition/english/colour_1,C2,colour,màu sắc,noun,/ˈkʌlə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/colou/colour__gb_1.mp3
container,https://www.oxfordlearnersdictionaries.com/definition/english/container,C1,container,thùng chứa,noun,/kənˈteɪnə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcont/xcontainer__gb_1.mp3
crow’s_nest,https://www.oxfordlearnersdictionaries.com/definition/english/crow-s-nest,C2,crow’s nest,tổ quạ,noun,/ˈkrəʊz nest/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cro/crow_/crow_s_nest_1_gb_1.mp3
deck,https://www.oxfordlearnersdictionaries.com/definition/english/deck_1,B2,deck,boong tàu,noun,/dek/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dec/deck_/deck__gb_1.mp3
bunker,https://www.oxfordlearnersdictionaries.com/definition/english/bunker_1,C2,bunker,hầm trú ẩn,noun,/ˈbʌŋkə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bun/bunke/bunker__gb_1.mp3
deckhouse,https://www.oxfordlearnersdictionaries.com/definition/english/deckhouse,C2,deckhouse,nhà boong,noun,/ˈdekhaʊs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dec/deckh/deckhouse__gb_1.mp3
