id,url,levels,word,translation,part_of_speech,ipa,audio_link
appraise,https://www.oxfordlearnersdictionaries.com/definition/english/appraise,C1,appraise,đánh giá,verb,/əˈpreɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/app/appra/appraise__gb_1.mp3
attitude,https://www.oxfordlearnersdictionaries.com/definition/english/attitude,B1,attitude,thái độ,noun,/ˈætɪtjuːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/att/attit/attitude__gb_2.mp3
account,https://www.oxfordlearnersdictionaries.com/definition/english/account_2,B2,account,tài khoản,verb,/əˈkaʊnt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/account__gb_1.mp3
agnostic,https://www.oxfordlearnersdictionaries.com/definition/english/agnostic_2,C2,agnostic,bất khả tri,adjective,/æɡˈnɒstɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/agn/agnos/agnostic__gb_1.mp3
badly,https://www.oxfordlearnersdictionaries.com/definition/english/badly,B1,badly,tệ quá,adverb,/ˈbædli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bad/badly/badly__gb_2.mp3
believe,https://www.oxfordlearnersdictionaries.com/definition/english/believe,A1,believe,tin tưởng,verb,/bɪˈliːv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bel/belie/believe__gb_2.mp3
belief,https://www.oxfordlearnersdictionaries.com/definition/english/belief,B1,belief,sự tin tưởng,noun,/bɪˈliːf/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bel/belie/belief__gb_2.mp3
be_in_a_minority_of_one,https://www.oxfordlearnersdictionaries.com/definition/english/minority,C2,be in a minority of one,thuộc thiểu số của một người,noun,/maɪˈnɒrəti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/min/minor/minority__gb_3.mp3
be_of_one/the_same_mind_(about_somebody/something),https://www.oxfordlearnersdictionaries.com/definition/english/mind_1,C2,be of one/the same mind (about somebody/something),có cùng quan điểm (về ai/cái gì),noun,/maɪnd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/min/mind_/mind__gb_1.mp3
biased,https://www.oxfordlearnersdictionaries.com/definition/english/biased,B2,biased,thiên vị,adjective,/ˈbaɪəst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bia/biase/biased__gb_3.mp3
bias,https://www.oxfordlearnersdictionaries.com/definition/english/bias_1,B2,bias,sự thiên vị,noun,/ˈbaɪəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bia/bias_/bias__gb_2.mp3
budge,https://www.oxfordlearnersdictionaries.com/definition/english/budge,C2,budge,nhúc nhích,verb,/bʌdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bud/budge/budge__gb_2.mp3
calculation,https://www.oxfordlearnersdictionaries.com/definition/english/calculation,C1,calculation,tính toán,noun,/ˌkælkjuˈleɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cal/calcu/calculation__gb_3.mp3
calculate,https://www.oxfordlearnersdictionaries.com/definition/english/calculate,C1,calculate,tính toán,verb,/ˈkælkjuleɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cal/calcu/calculate__gb_3.mp3
come_around,https://www.oxfordlearnersdictionaries.com/definition/english/come-around,C2,come around,đến xung quanh,phrasal verb,,
a_man/woman_after_your_own_heart,https://www.oxfordlearnersdictionaries.com/definition/english/heart_1,C2,a man/woman after your own heart,một người đàn ông/phụ nữ theo trái tim của bạn,noun,/hɑːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hea/heart/heart__gb_1.mp3
come_over,https://www.oxfordlearnersdictionaries.com/definition/english/come-over,C2,come over,đi qua,phrasal verb,,
conjecture,https://www.oxfordlearnersdictionaries.com/definition/english/conjecture_2,C2,conjecture,phỏng đoán,verb,/kənˈdʒektʃə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconj/xconjecture__gb_1.mp3
be_set_in_your_ways,https://www.oxfordlearnersdictionaries.com/definition/english/way_1,C2,be set in your ways,được thiết lập theo cách của bạn,noun,/weɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/w/way/way__/way__gb_1.mp3
come_round,https://www.oxfordlearnersdictionaries.com/definition/english/come-round,C2,come round,đi vòng quanh,phrasal verb,,
consciousness,https://www.oxfordlearnersdictionaries.com/definition/english/consciousness,C1,consciousness,ý thức,noun,/ˈkɒnʃəsnəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconsciousness__gb_1.mp3
conjecture,https://www.oxfordlearnersdictionaries.com/definition/english/conjecture_1,C2,conjecture,phỏng đoán,noun,/kənˈdʒektʃə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconj/xconjecture__gb_1.mp3
consensus,https://www.oxfordlearnersdictionaries.com/definition/english/consensus,C1,consensus,sự đồng thuận,noun,/kənˈsensəs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconsensus__gb_1.mp3
be_of_the_opinion_that…,https://www.oxfordlearnersdictionaries.com/definition/english/opinion,C1,be of the opinion that…,có quan điểm rằng…,noun,/əˈpɪnjən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/opi/opini/opinion__gb_3.mp3
change_your/somebody’s_mind,https://www.oxfordlearnersdictionaries.com/definition/english/change_1,B1,change your/somebody’s mind,thay đổi suy nghĩ của bạn/ai đó,verb,/tʃeɪndʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/chang/change__gb_2.mp3
convert,https://www.oxfordlearnersdictionaries.com/definition/english/convert_1,C1,convert,chuyển thành,verb,/kənˈvɜːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconv/xconvert__gb_3.mp3
consistency,https://www.oxfordlearnersdictionaries.com/definition/english/consistency,C1,consistency,tính nhất quán,noun,/kənˈsɪstənsi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconsistency__gb_1.mp3
consistent,https://www.oxfordlearnersdictionaries.com/definition/english/consistent,B2,consistent,nhất quán,adjective,/kənˈsɪstənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconsistent__gb_1.mp3
current,https://www.oxfordlearnersdictionaries.com/definition/english/current_2,C2,current,hiện hành,noun,/ˈkʌrənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cur/curre/current__gb_4.mp3
conviction,https://www.oxfordlearnersdictionaries.com/definition/english/conviction,C1,conviction,niềm tin,noun,/kənˈvɪkʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconv/xconviction__gb_1.mp3
