id,url,levels,word,translation,part_of_speech,ipa,audio_link
afghan_hound,https://www.oxfordlearnersdictionaries.com/definition/english/afghan-hound,C2,Afghan hound,Chó săn Afghanistan,noun,/ˌæfɡæn ˈhaʊnd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/afg/afgha/afghan_hound_1_gb_1.mp3
basset,https://www.oxfordlearnersdictionaries.com/definition/english/basset,C2,basset,cái basset,noun,/ˈbæsɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bas/basse/basset__gb_2.mp3
beagle,https://www.oxfordlearnersdictionaries.com/definition/english/beagle,C2,beagle,chó săn nhỏ,noun,/ˈbiːɡl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bea/beagl/beagle__gb_2.mp3
bitzer,https://www.oxfordlearnersdictionaries.com/definition/english/bitzer,C2,bitzer,cay đắng,noun,/ˈbɪtsə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bit/bitze/bitzer__gb_1.mp3
attack_dog,https://www.oxfordlearnersdictionaries.com/definition/english/attack-dog,C2,attack dog,chó tấn công,noun,/əˈtæk dɒɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/att/attac/attack_dog_1_gb_1.mp3
alsatian,https://www.oxfordlearnersdictionaries.com/definition/english/alsatian,C1,Alsatian,tiếng Alsace,noun,/ælˈseɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/als/alsat/alsatian__gb_1.mp3
bitch,https://www.oxfordlearnersdictionaries.com/definition/english/bitch_1,C2,bitch,con khốn,noun,/bɪtʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bit/bitch/bitch__gb_3.mp3
bird_dog,https://www.oxfordlearnersdictionaries.com/definition/english/bird-dog,C2,bird dog,chó chim,noun,/ˈbɜːd dɒɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bir/bird_/bird_dog_1_gb_1.mp3
bloodhound,https://www.oxfordlearnersdictionaries.com/definition/english/bloodhound,C2,bloodhound,chó săn,noun,/ˈblʌdhaʊnd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blo/blood/bloodhound__gb_2.mp3
assistance_dog,https://www.oxfordlearnersdictionaries.com/definition/english/assistance-dog,C1,assistance dog,chó hỗ trợ,noun,/əˈsɪstəns dɒɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ass/assis/assistance_dog_1_gb_1.mp3
