id,url,levels,word,translation,part_of_speech,ipa,audio_link
ionosphere,https://www.oxfordlearnersdictionaries.com/definition/english/the-ionosphere,C2,ionosphere,tầng điện ly,noun,/ði aɪˈɒnəsfɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/the/the_i/the_ionosphere_1_gb_2.mp3
atmospheric,https://www.oxfordlearnersdictionaries.com/definition/english/atmospheric,C1,atmospheric,khí quyển,adjective,/ˌætməsˈferɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/atm/atmos/atmospheric__gb_1.mp3
biosphere,https://www.oxfordlearnersdictionaries.com/definition/english/biosphere,C2,biosphere,sinh quyển,noun,/ˈbaɪəʊsfɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bio/biosp/biosphere__gb_1.mp3
atmosphere,https://www.oxfordlearnersdictionaries.com/definition/english/atmosphere,B1,atmosphere,bầu không khí,noun,/ˈætməsfɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/atm/atmos/atmosphere__gb_1.mp3
aurora_borealis,https://www.oxfordlearnersdictionaries.com/definition/english/aurora-borealis,C2,aurora borealis,cực quang,noun,/əˌrɔːrə ˌbɔːriˈeɪlɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aur/auror/aurora_borealis_1_gb_2.mp3
earth,https://www.oxfordlearnersdictionaries.com/definition/english/earth_1,A2,earth,trái đất,noun,/ɜːθ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ear/earth/earth__gb_1.mp3
axis,https://www.oxfordlearnersdictionaries.com/definition/english/axis,C1,axis,trục,noun,/ˈæksɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/axi/axis_/axis__gb_2.mp3
cosmic_rays,https://www.oxfordlearnersdictionaries.com/definition/english/cosmic-rays,C2,cosmic rays,tia vũ trụ,noun,/ˌkɒzmɪk ˈreɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cos/cosmi/cosmic_rays_1_gb_1.mp3
magnetic_storm,https://www.oxfordlearnersdictionaries.com/definition/english/magnetic-storm,C2,magnetic storm,bão từ,noun,/mæɡˌnetɪk ˈstɔːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mag/magne/magnetic_storm_1_gb_1.mp3
aurora_australis,https://www.oxfordlearnersdictionaries.com/definition/english/aurora-australis,C2,aurora australis,cực quang,noun,/əˌrɔːrə ɒˈstreɪlɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aur/auror/aurora_australis_1_gb_4.mp3
mesosphere,https://www.oxfordlearnersdictionaries.com/definition/english/the-mesosphere,C2,mesosphere,tầng trung lưu,noun,/ðə ˈmezəsfɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/the/the_m/the_mesosphere_1_gb_1.mp3
meteor,https://www.oxfordlearnersdictionaries.com/definition/english/meteor,C1,meteor,sao băng,noun,/ˈmiːtiə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/met/meteo/meteor__gb_1.mp3
meteoroid,https://www.oxfordlearnersdictionaries.com/definition/english/meteoroid,C2,meteoroid,thiên thạch,noun,/ˈmiːtiərɔɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/met/meteo/meteoroid__gb_1.mp3
ozone_layer,https://www.oxfordlearnersdictionaries.com/definition/english/ozone-layer,C1,ozone layer,tầng ozone,noun,/ˈəʊzəʊn leɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/ozo/ozone/ozone_layer_1_gb_1.mp3
meteorite,https://www.oxfordlearnersdictionaries.com/definition/english/meteorite,C1,meteorite,thiên thạch,noun,/ˈmiːtiəraɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/met/meteo/meteorite__gb_1.mp3
ozone_hole,https://www.oxfordlearnersdictionaries.com/definition/english/ozone-hole,C2,ozone hole,lỗ thủng tầng ozone,noun,/ˈəʊzəʊn həʊl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/o/ozo/ozone/ozone_hole_1_gb_1.mp3
northern_lights,https://www.oxfordlearnersdictionaries.com/definition/english/the-northern-lights,C2,Northern Lights,Đèn phía Bắc,noun,/ðə ˌnɔːðən ˈlaɪts/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/the/the_n/the_northern_lights_1_gb_1.mp3
plate,https://www.oxfordlearnersdictionaries.com/definition/english/plate_1,C2,plate,đĩa,noun,/pleɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pla/plate/plate__gb_2.mp3
southern_lights,https://www.oxfordlearnersdictionaries.com/definition/english/the-southern-lights,C2,Southern Lights,Ánh đèn phía Nam,noun,/ðə ˌsʌðən ˈlaɪts/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/the/the_s/the_southern_lights_1_gb_1.mp3
stratospheric,https://www.oxfordlearnersdictionaries.com/definition/english/stratospheric,C2,stratospheric,tầng bình lưu,adjective,/ˌstrætəˈsferɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/s/str/strat/stratospheric__gb_1.mp3
stratosphere,https://www.oxfordlearnersdictionaries.com/definition/english/the-stratosphere,C2,stratosphere,tầng bình lưu,noun,/ðə ˈstrætəsfɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/the/the_s/the_stratosphere_1_gb_2.mp3
thermosphere,https://www.oxfordlearnersdictionaries.com/definition/english/the-thermosphere,C2,thermosphere,tầng nhiệt điện,noun,/ðə ˈθɜːməsfɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/the/the_t/the_thermosphere_1_gb_1.mp3
troposphere,https://www.oxfordlearnersdictionaries.com/definition/english/the-troposphere,C2,troposphere,tầng đối lưu,noun,/ðə ˈtrɒpəsfɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/t/the/the_t/the_troposphere_1_gb_1.mp3
radiation_belt,https://www.oxfordlearnersdictionaries.com/definition/english/radiation-belt,C2,radiation belt,vành đai bức xạ,noun,/ˌreɪdiˈeɪʃn belt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/rad/radia/radiation_belt_1_gb_1.mp3
