id,url,levels,word,translation,part_of_speech,ipa,audio_link
clog,https://www.oxfordlearnersdictionaries.com/definition/english/clog_2,C2,clog,tắc nghẽn,noun,/klɒɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/clo/clog_/clog__gb_1.mp3
boot,https://www.oxfordlearnersdictionaries.com/definition/english/boot_1,A1,boot,khởi động,noun,/buːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/boo/boot_/boot__gb_2.mp3
cleat,https://www.oxfordlearnersdictionaries.com/definition/english/cleat,C2,cleat,đòn chêm,noun,/kliːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cle/cleat/cleat__gb_1.mp3
clodhopper,https://www.oxfordlearnersdictionaries.com/definition/english/clodhopper,C2,clodhopper,rầy nâu,noun,/ˈklɒdhɒpə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/clo/clodh/clodhopper__gb_1.mp3
crocs™,https://www.oxfordlearnersdictionaries.com/definition/english/crocstm,C2,Crocs™,Crocs™,noun,/krɒks/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cro/crocs/crocs_1_gb_1.mp3
cross_trainer,https://www.oxfordlearnersdictionaries.com/definition/english/cross-trainer,C2,cross trainer,huấn luyện viên chéo,noun,/ˈkrɒs treɪnə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cro/cross/cross_trainer_1_gb_1.mp3
brogue,https://www.oxfordlearnersdictionaries.com/definition/english/brogue,C2,brogue,người đi môi giới,noun,/brəʊɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/brogu/brogue__gb_1.mp3
cowboy_boot,https://www.oxfordlearnersdictionaries.com/definition/english/cowboy-boot,C1,cowboy boot,giày cao bồi,noun,/ˈkaʊbɔɪ buːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cow/cowbo/cowboy_boot_1_gb_1.mp3
athletic_shoe,https://www.oxfordlearnersdictionaries.com/definition/english/athletic-shoe,B2,athletic shoe,giày thể thao,noun,/æθˈletɪk ʃuː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ath/athle/athletic_shoe_1_gb_1.mp3
court_shoe,https://www.oxfordlearnersdictionaries.com/definition/english/court-shoe,C2,court shoe,giày tòa án,noun,/ˈkɔːt ʃuː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/court/court_shoe_1_gb_1.mp3
doc_martens™,https://www.oxfordlearnersdictionaries.com/definition/english/doc-martenstm,C2,Doc Martens™,Doc Martens™,noun,/ˌdɒk ˈmɑːtənz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/doc/doc_m/doc_martens_1_gb_3.mp3
dms™,https://www.oxfordlearnersdictionaries.com/definition/english/dmstm,C2,DMs™,DM™,noun,/ˌdiː ˈemz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dms/dms__/dms__gb_1.mp3
flat,https://www.oxfordlearnersdictionaries.com/definition/english/flat_1,C1,flat,phẳng,noun,/flæt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fla/flat_/flat__gb_1.mp3
espadrille,https://www.oxfordlearnersdictionaries.com/definition/english/espadrille,C2,espadrille,Espadrill,noun,/ˈespədrɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/esp/espad/espadrille__gb_1.mp3
flatties,https://www.oxfordlearnersdictionaries.com/definition/english/flatties,C2,flatties,phẳng phiu,noun,/ˈflætiz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fla/flatt/flatties__gb_1.mp3
flip-flop,https://www.oxfordlearnersdictionaries.com/definition/english/flip-flop_2,C1,flip-flop,dép xỏ ngón,noun,/ˈflɪp flɒp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fli/flip_/flip_flop_1_gb_1.mp3
flipper,https://www.oxfordlearnersdictionaries.com/definition/english/flipper,C2,flipper,cái chân chèo,noun,/ˈflɪpə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fli/flipp/flipper__gb_1.mp3
dr_martens™,https://www.oxfordlearnersdictionaries.com/definition/english/dr-martenstm,C2,Dr Martens™,Dr Martens™,noun,/ˌdɒktə ˈmɑːtənz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dr_/dr_ma/dr_martens_1_gb_3.mp3
footwear,https://www.oxfordlearnersdictionaries.com/definition/english/footwear,C1,footwear,giày dép,noun,/ˈfʊtweə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/foo/footw/footwear__gb_1.mp3
football_boot,https://www.oxfordlearnersdictionaries.com/definition/english/football-boot,A2,football boot,giày bóng đá,noun,/ˈfʊtbɔːl buːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/foo/footb/football_boot_1_gb_1.mp3
deck_shoe,https://www.oxfordlearnersdictionaries.com/definition/english/deck-shoe,C2,deck shoe,giày boong,noun,/ˈdek ʃuː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dec/deck_/deck_shoe_1_gb_1.mp3
heel,https://www.oxfordlearnersdictionaries.com/definition/english/heel_1,B2,heel,gót chân,noun,/hiːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hee/heel_/heel__gb_1.mp3
galoshes,https://www.oxfordlearnersdictionaries.com/definition/english/galoshes,C2,galoshes,galoshes,noun,/ɡəˈlɒʃɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gal/galos/galoshes__gb_2.mp3
gym_shoe,https://www.oxfordlearnersdictionaries.com/definition/english/gym-shoe,C2,gym shoe,giày tập thể dục,noun,/ˈdʒɪm ʃuː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gym/gym_s/gym_shoe_1_gb_1.mp3
high_heels,https://www.oxfordlearnersdictionaries.com/definition/english/high-heels,C1,high heels,giày cao gót,noun,/ˌhaɪ ˈhiːlz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hig/high_/high_heels_1_gb_1.mp3
high-top,https://www.oxfordlearnersdictionaries.com/definition/english/high-top,C2,high-top,đỉnh cao,adjective,/ˈhaɪ tɒp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hig/high_/high_top_1_gb_1.mp3
