id,url,levels,word,translation,part_of_speech,ipa,audio_link
backing,https://www.oxfordlearnersdictionaries.com/definition/english/backing,C2,backing,ủng hộ,noun,/ˈbækɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bac/backi/backing__gb_1.mp3
audition,https://www.oxfordlearnersdictionaries.com/definition/english/audition_2,C2,audition,thử giọng,verb,/ɔːˈdɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aud/audit/audition__gb_1.mp3
audition,https://www.oxfordlearnersdictionaries.com/definition/english/audition_1,C2,audition,thử giọng,noun,/ɔːˈdɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aud/audit/audition__gb_1.mp3
compose,https://www.oxfordlearnersdictionaries.com/definition/english/compose,B2,compose,soạn,verb,/kəmˈpəʊz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/compo/compose__gb_1.mp3
demo,https://www.oxfordlearnersdictionaries.com/definition/english/demo_1,C2,demo,thử nghiệm,noun,/ˈdeməʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dem/demo_/demo__gb_1.mp3
cut,https://www.oxfordlearnersdictionaries.com/definition/english/cut_1,C2,cut,cắt,verb,/kʌt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cut/cut__/cut__gb_1.mp3
hum,https://www.oxfordlearnersdictionaries.com/definition/english/hum_1,C1,hum,ậm ừ,verb,/hʌm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hum/hum__/hum__gb_1.mp3
beatbox,https://www.oxfordlearnersdictionaries.com/definition/english/beatbox_1,C2,beatbox,beatbox,noun,/ˈbiːtbɒks/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bea/beatb/beatbox__gb_2.mp3
conduct,https://www.oxfordlearnersdictionaries.com/definition/english/conduct_1,B2,conduct,chỉ đạo,verb,/kənˈdʌkt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcond/xconduct__gb_4.mp3
back_catalogue,https://www.oxfordlearnersdictionaries.com/definition/english/back-catalogue,C2,back catalogue,trở lại danh mục,noun,/ˈbæk kætəlɒɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bac/back_/back_catalogue_1_gb_1.mp3
interpretation,https://www.oxfordlearnersdictionaries.com/definition/english/interpretation,C1,interpretation,sự thông giải,noun,/ɪnˌtɜːprəˈteɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/int/inter/interpretation__gb_1.mp3
karaoke,https://www.oxfordlearnersdictionaries.com/definition/english/karaoke,B2,karaoke,karaoke,noun,/ˌkæriˈəʊki/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/k/kar/karao/karaoke__gb_1.mp3
mix,https://www.oxfordlearnersdictionaries.com/definition/english/mix_1,B2,mix,trộn,verb,/mɪks/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mix/mix__/mix__gb_1.mp3
pluck,https://www.oxfordlearnersdictionaries.com/definition/english/pluck_1,C1,pluck,nhổ,verb,/plʌk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/plu/pluck/pluck__gb_1.mp3
post-production,https://www.oxfordlearnersdictionaries.com/definition/english/post-production_1,C2,post-production,hậu kỳ,adjective,/ˌpəʊst prəˈdʌkʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pos/post_/post_production_1_gb_1.mp3
mono,https://www.oxfordlearnersdictionaries.com/definition/english/mono_1,C2,mono,bệnh tăng bạch cầu đơn nhân,adjective,/ˈmɒnəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mon/mono_/mono__gb_1.mp3
play,https://www.oxfordlearnersdictionaries.com/definition/english/play_1,A1,play,chơi,verb,/pleɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pla/play_/play__gb_1.mp3
