id,url,levels,word,translation,part_of_speech,ipa,audio_link
blended_family,https://www.oxfordlearnersdictionaries.com/definition/english/blended-family,C2,blended family,gia đình hòa quyện,noun,/ˌblendɪd ˈfæməli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ble/blend/blended_family_1_gb_1.mp3
background,https://www.oxfordlearnersdictionaries.com/definition/english/background,A2,background,lý lịch,noun,/ˈbækɡraʊnd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bac/backg/background__gb_1.mp3
adopt,https://www.oxfordlearnersdictionaries.com/definition/english/adopt,B2,adopt,nhận nuôi,verb,/əˈdɒpt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ado/adopt/adopt__gb_1.mp3
antecedent,https://www.oxfordlearnersdictionaries.com/definition/english/antecedent_1,C2,antecedent,tiền lệ,noun,/ˌæntɪˈsiːdnt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ant/antec/antecedent__gb_1.mp3
blood,https://www.oxfordlearnersdictionaries.com/definition/english/blood_1,C2,blood,máu,noun,/blʌd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blo/blood/blood__gb_2.mp3
ancestor,https://www.oxfordlearnersdictionaries.com/definition/english/ancestor,B2,ancestor,tổ tiên,noun,/ˈænsestə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/anc/ances/ancestor__gb_4.mp3
adoptive,https://www.oxfordlearnersdictionaries.com/definition/english/adoptive,C1,adoptive,nhận nuôi,adjective,/əˈdɒptɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ado/adopt/adoptive__gb_1.mp3
biracial,https://www.oxfordlearnersdictionaries.com/definition/english/biracial,C1,biracial,hai chủng tộc,adjective,/ˌbaɪˈreɪʃl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bir/birac/biracial__gb_2.mp3
birthright,https://www.oxfordlearnersdictionaries.com/definition/english/birthright,C2,birthright,quyền thừa kế,noun,/ˈbɜːθraɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bir/birth/birthright__gb_1.mp3
ancestry,https://www.oxfordlearnersdictionaries.com/definition/english/ancestry,C1,ancestry,tổ tiên,noun,/ˈænsestri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/anc/ances/ancestry__gb_1.mp3
broken_home,https://www.oxfordlearnersdictionaries.com/definition/english/broken-home,C2,broken home,nhà tan vỡ,noun,/ˌbrəʊkən ˈhəʊm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bro/broke/broken_home_1_gb_1.mp3
breeding,https://www.oxfordlearnersdictionaries.com/definition/english/breeding,C2,breeding,chăn nuôi,noun,/ˈbriːdɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bre/breed/breeding__gb_1.mp3
clan,https://www.oxfordlearnersdictionaries.com/definition/english/clan,C1,clan,thị tộc,noun,/klæn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cla/clan_/clan__gb_1.mp3
branch,https://www.oxfordlearnersdictionaries.com/definition/english/branch_1,C1,branch,chi nhánh,noun,/brɑːntʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bra/branc/branch__gb_1.mp3
close-knit,https://www.oxfordlearnersdictionaries.com/definition/english/close-knit,C1,close-knit,gắn bó chặt chẽ,adjective,/ˌkləʊs ˈnɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/clo/close/close_knit_1_gb_1.mp3
blue-blooded,https://www.oxfordlearnersdictionaries.com/definition/english/blue-blooded,C2,blue-blooded,máu xanh,adjective,/ˌbluː ˈblʌdɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blu/blue_/blue_blooded_1_gb_1.mp3
consanguinity,https://www.oxfordlearnersdictionaries.com/definition/english/consanguinity,C2,consanguinity,huyết thống,noun,/ˌkɒnsæŋˈɡwɪnəti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconsanguinity__gb_1.mp3
descendant,https://www.oxfordlearnersdictionaries.com/definition/english/descendant,C1,descendant,hậu duệ,noun,/dɪˈsendənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/des/desce/descendant__gb_1.mp3
blue_blood,https://www.oxfordlearnersdictionaries.com/definition/english/blue-blood,C2,blue blood,máu xanh,noun,/ˌbluː ˈblʌd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blu/blue_/blue_blood_1_gb_1.mp3
descent,https://www.oxfordlearnersdictionaries.com/definition/english/descent,C2,descent,đi xuống,noun,/dɪˈsent/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/des/desce/descent__gb_1.mp3
