id,url,levels,word,translation,part_of_speech,ipa,audio_link
afro,https://www.oxfordlearnersdictionaries.com/definition/english/afro_1,C2,Afro,Phi,noun,/ˈæfrəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/afr/afro_/afro__gb_1.mp3
afro,https://www.oxfordlearnersdictionaries.com/definition/english/afro_2,C2,Afro,Phi,adjective,/ˈæfrəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/afr/afro_/afro__gb_1.mp3
bald,https://www.oxfordlearnersdictionaries.com/definition/english/bald,B2,bald,hói,adjective,/bɔːld/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bal/bald_/bald__gb_2.mp3
backcomb,https://www.oxfordlearnersdictionaries.com/definition/english/backcomb,C2,backcomb,lược chải ngược,verb,/ˈbækkəʊm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bac/backc/backcomb__gb_1.mp3
beehive,https://www.oxfordlearnersdictionaries.com/definition/english/beehive,C2,beehive,tổ ong,noun,/ˈbiːhaɪv/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bee/beehi/beehive__gb_2.mp3
blonde,https://www.oxfordlearnersdictionaries.com/definition/english/blonde_1,A1,blonde,tóc vàng,adjective,/blɒnd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blo/blond/blonde__gb_2.mp3
auburn,https://www.oxfordlearnersdictionaries.com/definition/english/auburn_1,C2,auburn,màu nâu vàng,adjective,/ˈɔːbən/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aub/aubur/auburn__gb_1.mp3
bang,https://www.oxfordlearnersdictionaries.com/definition/english/bang_2,C2,bang,bang,noun,/bæŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ban/bang_/bang__gb_2.mp3
ash_blonde,https://www.oxfordlearnersdictionaries.com/definition/english/ash-blonde_2,C2,ash blonde,tóc vàng tro,adjective,/ˌæʃ ˈblɒnd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ash/ash_b/ash_blonde_1_gb_1.mp3
body,https://www.oxfordlearnersdictionaries.com/definition/english/body,C2,body,thân hình,noun,/ˈbɒdi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bod/body_/body__gb_2.mp3
bobbed,https://www.oxfordlearnersdictionaries.com/definition/english/bobbed,C2,bobbed,bồng bềnh,adjective,/bɒbd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bob/bobbe/bobbed__gb_3.mp3
bob,https://www.oxfordlearnersdictionaries.com/definition/english/bob_2,C2,bob,bob,noun,/bɒb/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bob/bob__/bob__gb_3.mp3
bounce,https://www.oxfordlearnersdictionaries.com/definition/english/bounce_2,C2,bounce,tung lên,noun,/baʊns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bou/bounc/bounce__gb_2.mp3
brunette,https://www.oxfordlearnersdictionaries.com/definition/english/brunette,C2,brunette,tóc nâu,noun,/bruːˈnet/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bru/brune/brunette__gb_1.mp3
bouffant,https://www.oxfordlearnersdictionaries.com/definition/english/bouffant,C2,bouffant,bồng bềnh,adjective,/ˈbuːfɒ̃/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bou/bouff/bouffant__gb_2.mp3
braid,https://www.oxfordlearnersdictionaries.com/definition/english/braid_1,C2,braid,bím tóc,noun,/breɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bra/braid/braid__gb_1.mp3
balding,https://www.oxfordlearnersdictionaries.com/definition/english/balding,C2,balding,hói đầu,adjective,/ˈbɔːldɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bal/baldi/balding__gb_2.mp3
bun,https://www.oxfordlearnersdictionaries.com/definition/english/bun,C2,bun,bánh bao,noun,/bʌn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bun/bun__/bun__gb_3.mp3
bottle_blonde,https://www.oxfordlearnersdictionaries.com/definition/english/bottle-blonde_1,C2,bottle blonde,chai tóc vàng,adjective,/ˌbɒtl ˈblɒnd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bot/bottl/bottle_blonde_1_gb_1.mp3
bushy,https://www.oxfordlearnersdictionaries.com/definition/english/bushy,C2,bushy,rậm rạp,adjective,/ˈbʊʃi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bus/bushy/bushy__gb_4.mp3
bunch,https://www.oxfordlearnersdictionaries.com/definition/english/bunch_1,C2,bunch,bó,noun,/bʌntʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bun/bunch/bunch__gb_2.mp3
carroty,https://www.oxfordlearnersdictionaries.com/definition/english/carroty,C2,carroty,củ cà rốt,adjective,/ˈkærəti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/carro/carroty__gb_1.mp3
cornrows,https://www.oxfordlearnersdictionaries.com/definition/english/cornrows,C2,cornrows,cây ngô,noun,/ˈkɔːnrəʊz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cor/cornr/cornrows__gb_1.mp3
chignon,https://www.oxfordlearnersdictionaries.com/definition/english/chignon,C2,chignon,búi tóc,noun,/ˈʃiːnjɒn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/chi/chign/chignon__gb_3.mp3
cowlick,https://www.oxfordlearnersdictionaries.com/definition/english/cowlick,C2,cowlick,vết liếm,noun,/ˈkaʊlɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cow/cowli/cowlick__gb_1.mp3
close-cropped,https://www.oxfordlearnersdictionaries.com/definition/english/close-cropped,C2,close-cropped,cắt sát,adjective,/ˌkləʊs ˈkrɒpt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/clo/close/close_cropped_1_gb_1.mp3
crew_cut,https://www.oxfordlearnersdictionaries.com/definition/english/crew-cut_1,C2,crew cut,cắt phi hành đoàn,noun,/ˈkruː kʌt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cre/crew_/crew_cut_1_gb_1.mp3
buzz_cut,https://www.oxfordlearnersdictionaries.com/definition/english/buzz-cut,C2,buzz cut,cắt buzz,noun,/ˈbʌz kʌt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/buz/buzz_/buzz_cut_1_gb_1.mp3
coiffure,https://www.oxfordlearnersdictionaries.com/definition/english/coiffure,C2,coiffure,kiểu tóc,noun,/kwɑːˈfjʊə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coi/coiff/coiffure__gb_1.mp3
curly,https://www.oxfordlearnersdictionaries.com/definition/english/curly,A2,curly,quăn,adjective,/ˈkɜːli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cur/curly/curly__gb_1.mp3
crop,https://www.oxfordlearnersdictionaries.com/definition/english/crop_1,C2,crop,mùa vụ,noun,/krɒp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cro/crop_/crop__gb_1.mp3
curl,https://www.oxfordlearnersdictionaries.com/definition/english/curl_2,C1,curl,cuộn tròn,noun,/kɜːl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cur/curl_/curl__gb_1.mp3
crinkly,https://www.oxfordlearnersdictionaries.com/definition/english/crinkly,C2,crinkly,nhăn nheo,adjective,/ˈkrɪŋkli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cri/crink/crinkly__gb_1.mp3
cut,https://www.oxfordlearnersdictionaries.com/definition/english/cut_2,B1,cut,cắt,noun,/kʌt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cut/cut__/cut__gb_1.mp3
dandruff,https://www.oxfordlearnersdictionaries.com/definition/english/dandruff,C2,dandruff,gàu,noun,/ˈdændrʌf/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dan/dandr/dandruff__gb_1.mp3
crew-cut,https://www.oxfordlearnersdictionaries.com/definition/english/crew-cut_2,C2,crew-cut,kiểu húi cua,adjective,/ˈkruː kʌt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cre/crew_/crew_cut_1_gb_1.mp3
dreadlocks,https://www.oxfordlearnersdictionaries.com/definition/english/dreadlocks,C2,dreadlocks,tóc xoăn,noun,/ˈdredlɒks/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dre/dread/dreadlocks__gb_2.mp3
downy,https://www.oxfordlearnersdictionaries.com/definition/english/downy,C2,downy,lông măng,adjective,/ˈdaʊni/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dow/downy/downy__gb_1.mp3
dark,https://www.oxfordlearnersdictionaries.com/definition/english/dark_1,A1,dark,tối tăm,adjective,/dɑːk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dar/dark_/dark__gb_1.mp3
flat-top,https://www.oxfordlearnersdictionaries.com/definition/english/flat-top,C2,flat-top,mặt phẳng,noun,/ˈflæt tɒp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fla/flat_/flat_top_1_gb_1.mp3
fair,https://www.oxfordlearnersdictionaries.com/definition/english/fair_1,B1,fair,hội chợ,adjective,/feə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fai/fair_/fair__gb_1.mp3
flyaway,https://www.oxfordlearnersdictionaries.com/definition/english/flyaway,C2,flyaway,bay đi,adjective,/ˈflaɪəweɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fly/flyaw/flyaway__gb_1.mp3
