id,url,levels,word,translation,part_of_speech,ipa,audio_link
casket,https://www.oxfordlearnersdictionaries.com/definition/english/casket,C2,casket,quan tài,noun,/ˈkɑːskɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cas/caske/casket__gb_3.mp3
cadaver,https://www.oxfordlearnersdictionaries.com/definition/english/cadaver,C2,cadaver,xác chết,noun,/kəˈdævə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cad/cadav/cadaver__gb_1.mp3
burial,https://www.oxfordlearnersdictionaries.com/definition/english/burial,C1,burial,chôn cất,noun,/ˈberiəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bur/buria/burial__gb_1.mp3
autopsy,https://www.oxfordlearnersdictionaries.com/definition/english/autopsy,C2,autopsy,khám nghiệm tử thi,noun,/ˈɔːtɒpsi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aut/autop/autopsy__gb_1.mp3
bier,https://www.oxfordlearnersdictionaries.com/definition/english/bier,C2,bier,quan tài,noun,/bɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bie/bier_/bier__gb_1.mp3
bury,https://www.oxfordlearnersdictionaries.com/definition/english/bury,B1,bury,chôn,verb,/ˈberi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bur/bury_/bury__gb_1.mp3
ash,https://www.oxfordlearnersdictionaries.com/definition/english/ash_1,C2,ash,tro,noun,/æʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ash/ash__/ash__gb_2.mp3
at_rest,https://www.oxfordlearnersdictionaries.com/definition/english/rest_1,C2,at rest,lúc nghỉ ngơi,noun,/rest/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/r/res/rest_/rest__gb_1.mp3
burial_ground,https://www.oxfordlearnersdictionaries.com/definition/english/burial-ground,C2,burial ground,nơi chôn cất,noun,/ˈberiəl ɡraʊnd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bur/buria/burial_ground_1_gb_1.mp3
assisted_dying,https://www.oxfordlearnersdictionaries.com/definition/english/assisted-dying,C2,assisted dying,trợ tử,noun,/əˌsɪstɪd ˈdaɪɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ass/assis/assisted_dying_1_gb_1.mp3
catacombs,https://www.oxfordlearnersdictionaries.com/definition/english/catacombs,C2,catacombs,hầm mộ,noun,/ˈkætəkuːmz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cat/catac/catacombs__gb_3.mp3
committal,https://www.oxfordlearnersdictionaries.com/definition/english/committal,C2,committal,cam kết,noun,/kəˈmɪtl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/commi/committal__gb_1.mp3
cemetery,https://www.oxfordlearnersdictionaries.com/definition/english/cemetery,C1,cemetery,nghĩa trang,noun,/ˈsemətri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cem/cemet/cemetery__gb_1.mp3
coffin,https://www.oxfordlearnersdictionaries.com/definition/english/coffin,C1,coffin,quan tài,noun,/ˈkɒfɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cof/coffi/coffin__gb_1.mp3
cremate,https://www.oxfordlearnersdictionaries.com/definition/english/cremate,C2,cremate,hỏa táng,verb,/krəˈmeɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cre/crema/cremate__gb_1.mp3
corpse,https://www.oxfordlearnersdictionaries.com/definition/english/corpse,C2,corpse,xác chết,noun,/kɔːps/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cor/corps/corpse__gb_1.mp3
catafalque,https://www.oxfordlearnersdictionaries.com/definition/english/catafalque,C2,catafalque,đàn catafalque,noun,/ˈkætəfælk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cat/cataf/catafalque__gb_2.mp3
cremation,https://www.oxfordlearnersdictionaries.com/definition/english/cremation,C2,cremation,hỏa táng,noun,/krəˈmeɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cre/crema/cremation__gb_1.mp3
cremains,https://www.oxfordlearnersdictionaries.com/definition/english/cremains,C2,cremains,hỏa táng,noun,/krəˈmeɪnz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cre/crema/cremains__gb_1.mp3
crematorium,https://www.oxfordlearnersdictionaries.com/definition/english/crematorium,C2,crematorium,lò hỏa táng,noun,/ˌkreməˈtɔːriəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cre/crema/crematorium__gb_1.mp3
chapel_of_rest,https://www.oxfordlearnersdictionaries.com/definition/english/chapel-of-rest,C2,chapel of rest,nhà nguyện nghỉ ngơi,noun,/ˌtʃæpl əv ˈrest/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cha/chape/chapel_of_rest_1_gb_1.mp3
deceased,https://www.oxfordlearnersdictionaries.com/definition/english/deceased,C2,deceased,đã chết,adjective,/dɪˈsiːst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dec/decea/deceased__gb_1.mp3
death,https://www.oxfordlearnersdictionaries.com/definition/english/death,A2,death,cái chết,noun,/deθ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dea/death/death__gb_1.mp3
dead,https://www.oxfordlearnersdictionaries.com/definition/english/dead_1,A2,dead,chết,adjective,/ded/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dea/dead_/dead__gb_1.mp3
die,https://www.oxfordlearnersdictionaries.com/definition/english/die_1,A1,die,chết,verb,/daɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/die/die__/die__gb_1.mp3
depart_this_life,https://www.oxfordlearnersdictionaries.com/definition/english/depart,C2,depart this life,rời xa cuộc đời này,verb,/dɪˈpɑːt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dep/depar/depart__gb_1.mp3
funeral,https://www.oxfordlearnersdictionaries.com/definition/english/funeral,C1,funeral,tang lễ,noun,/ˈfjuːnərəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fun/funer/funeral__gb_1.mp3
epitaph,https://www.oxfordlearnersdictionaries.com/definition/english/epitaph,C2,epitaph,văn bia,noun,/ˈepɪtɑːf/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/epi/epita/epitaph__gb_1.mp3
