id,url,levels,word,translation,part_of_speech,ipa,audio_link
barrage,https://www.oxfordlearnersdictionaries.com/definition/english/barrage,C2,barrage,đập phá,noun,/ˈbærɑːʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bar/barra/barrage__gb_1.mp3
basin,https://www.oxfordlearnersdictionaries.com/definition/english/basin,C2,basin,lưu vực,noun,/ˈbeɪsn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bas/basin/basin__gb_2.mp3
babble,https://www.oxfordlearnersdictionaries.com/definition/english/babble_2,C2,babble,lảm nhảm,verb,/ˈbæbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bab/babbl/babble__gb_1.mp3
archipelago,https://www.oxfordlearnersdictionaries.com/definition/english/archipelago,C2,archipelago,quần đảo,noun,/ˌɑːkɪˈpeləɡəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/arc/archi/archipelago__gb_1.mp3
bog,https://www.oxfordlearnersdictionaries.com/definition/english/bog_1,C2,bog,đầm lầy,noun,/bɒɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bog/bog__/bog__gb_2.mp3
belt,https://www.oxfordlearnersdictionaries.com/definition/english/belt_1,C2,belt,thắt lưng,noun,/belt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bel/belt_/belt__gb_2.mp3
bank,https://www.oxfordlearnersdictionaries.com/definition/english/bank_1,B1,bank,ngân hàng,noun,/bæŋk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ban/bank_/bank__gb_2.mp3
bend,https://www.oxfordlearnersdictionaries.com/definition/english/bend_2,B1,bend,uốn cong,noun,/bend/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ben/bend_/bend__gb_2.mp3
area,https://www.oxfordlearnersdictionaries.com/definition/english/area,A1,area,khu vực,noun,/ˈeəriə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/are/area_/area__gb_3.mp3
bed,https://www.oxfordlearnersdictionaries.com/definition/english/bed_1,B2,bed,giường,noun,/bed/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bed/bed__/bed__gb_3.mp3
bore,https://www.oxfordlearnersdictionaries.com/definition/english/bore_2,C2,bore,khoan,noun,/bɔː(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bor/bore_/bore__gb_1.mp3
bottom,https://www.oxfordlearnersdictionaries.com/definition/english/bottom_1,A2,bottom,đáy,noun,/ˈbɒtəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bot/botto/bottom__gb_2.mp3
