id,url,levels,word,translation,part_of_speech,ipa,audio_link
alto,https://www.oxfordlearnersdictionaries.com/definition/english/alto_1,C2,alto,giọng alto,noun,/ˈæltəʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/alt/alto_/alto__gb_1.mp3
band,https://www.oxfordlearnersdictionaries.com/definition/english/band_1,A1,band,ban nhạc,noun,/bænd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ban/band_/band__gb_3.mp3
act,https://www.oxfordlearnersdictionaries.com/definition/english/act_2,B2,act,hành động,noun,/ækt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/act__/act__gb_2.mp3
bassist,https://www.oxfordlearnersdictionaries.com/definition/english/bassist,C2,bassist,tay bass,noun,/ˈbeɪsɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bas/bassi/bassist__gb_2.mp3
baritone,https://www.oxfordlearnersdictionaries.com/definition/english/baritone_2,C2,baritone,giọng nam trung,noun,/ˈbærɪtəʊn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bar/barit/baritone__gb_1.mp3
big_band,https://www.oxfordlearnersdictionaries.com/definition/english/big-band,C1,big band,ban nhạc lớn,noun,/ˈbɪɡ bænd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/big/big_b/big_band_1_gb_1.mp3
balladeer,https://www.oxfordlearnersdictionaries.com/definition/english/balladeer,C2,balladeer,người chơi nhạc ballade,noun,/ˌbæləˈdɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bal/balla/balladeer__gb_1.mp3
artist,https://www.oxfordlearnersdictionaries.com/definition/english/artist,B2,artist,nghệ sĩ,noun,/ˈɑːtɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/art/artis/artist__gb_2.mp3
bugler,https://www.oxfordlearnersdictionaries.com/definition/english/bugler,C2,bugler,người thổi kèn,noun,/ˈbjuːɡlə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bug/bugle/bugler__gb_1.mp3
bassoonist,https://www.oxfordlearnersdictionaries.com/definition/english/bassoonist,C2,bassoonist,người chơi bassoon,noun,/bəˈsuːnɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bas/basso/bassoonist__gb_2.mp3
choir,https://www.oxfordlearnersdictionaries.com/definition/english/choir,B2,choir,dàn đồng ca,noun,/ˈkwaɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cho/choir/choir__gb_1.mp3
conductor,https://www.oxfordlearnersdictionaries.com/definition/english/conductor,B2,conductor,nhạc trưởng,noun,/kənˈdʌktə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcond/xconductor__gb_1.mp3
