id,url,levels,word,translation,part_of_speech,ipa,audio_link
amnesia,https://www.oxfordlearnersdictionaries.com/definition/english/amnesia,C2,amnesia,chứng mất trí nhớ,noun,/æmˈniːziə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/amn/amnes/amnesia__gb_1.mp3
anorexic,https://www.oxfordlearnersdictionaries.com/definition/english/anorexic_1,C2,anorexic,biếng ăn,noun,/ˌænəˈreksɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ano/anore/anorexic__gb_1.mp3
add,https://www.oxfordlearnersdictionaries.com/definition/english/add_2,C2,ADD,THÊM VÀO,abbreviation,/ˌeɪ diː ˈdiː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/add/add__/add__gb_2.mp3
anxiety,https://www.oxfordlearnersdictionaries.com/definition/english/anxiety,B2,anxiety,sự lo lắng,noun,/æŋˈzaɪəti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/anx/anxie/anxiety__gb_1.mp3
anorexia,https://www.oxfordlearnersdictionaries.com/definition/english/anorexia,C2,anorexia,chán ăn,noun,/ˌænəˈreksiə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ano/anore/anorexia__gb_1.mp3
anorexic,https://www.oxfordlearnersdictionaries.com/definition/english/anorexic_2,C2,anorexic,biếng ăn,adjective,/ˌænəˈreksɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ano/anore/anorexic__gb_1.mp3
adhd,https://www.oxfordlearnersdictionaries.com/definition/english/adhd,C2,ADHD,tăng động giảm chú ý,abbreviation,/ˌeɪ diː eɪtʃ ˈdiː/,
baby_blues,https://www.oxfordlearnersdictionaries.com/definition/english/baby-blues,C2,baby blues,nhạc blues trẻ thơ,noun,/ˈbeɪbi bluːz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bab/baby_/baby_blues_1_gb_1.mp3
attention_deficit_disorder,https://www.oxfordlearnersdictionaries.com/definition/english/attention-deficit-disorder,C2,attention deficit disorder,rối loạn thiếu tập trung,noun,/əˌtenʃn ˈdefɪsɪt dɪsɔːdə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/att/atten/attention_deficit_disorder_1_gb_1.mp3
battle_fatigue,https://www.oxfordlearnersdictionaries.com/definition/english/battle-fatigue,C2,battle fatigue,chiến đấu mệt mỏi,noun,/ˈbætl fətiːɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bat/battl/battle_fatigue_1_gb_1.mp3
bdd,https://www.oxfordlearnersdictionaries.com/definition/english/bdd,C2,BDD,BDD,abbreviation,/ˌbiː diː ˈdiː/,
bipolar,https://www.oxfordlearnersdictionaries.com/definition/english/bipolar,C2,bipolar,lưỡng cực,adjective,/ˌbaɪˈpəʊlə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bip/bipol/bipolar__gb_1.mp3
breakdown,https://www.oxfordlearnersdictionaries.com/definition/english/breakdown,C1,breakdown,sự cố,noun,/ˈbreɪkdaʊn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bre/break/breakdown__gb_1.mp3
borderline_personality_disorder,https://www.oxfordlearnersdictionaries.com/definition/english/borderline-personality-disorder,C2,borderline personality disorder,rối loạn nhân cách thể bất định,noun,/ˌbɔːdəlaɪn pɜːsəˈnæləti dɪsɔːdə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bor/borde/borderline_personality_disorder_1_gb_1.mp3
catatonia,https://www.oxfordlearnersdictionaries.com/definition/english/catatonia,C2,catatonia,căng trương lực,noun,/ˌkætəˈtəʊniə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cat/catat/catatonia__gb_2.mp3
