id,url,levels,word,translation,part_of_speech,ipa,audio_link
colloquium,https://www.oxfordlearnersdictionaries.com/definition/english/colloquium,C2,colloquium,hội thảo chuyên đề,noun,/kəˈləʊkwiəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/col/collo/colloquium__gb_1.mp3
comprehension,https://www.oxfordlearnersdictionaries.com/definition/english/comprehension,A2,comprehension,sự hiểu biết,noun,/ˌkɒmprɪˈhenʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/compr/comprehension__gb_1.mp3
adult_education,https://www.oxfordlearnersdictionaries.com/definition/english/adult-education,B1,adult education,giáo dục người lớn,noun,/ˌædʌlt edʒuˈkeɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adu/adult/adult_education_1_gb_1.mp3
academic,https://www.oxfordlearnersdictionaries.com/definition/english/academic_1,B1,academic,học thuật,adjective,/ˌækəˈdemɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aca/acade/academic__gb_2.mp3
composition,https://www.oxfordlearnersdictionaries.com/definition/english/composition,C1,composition,thành phần,noun,/ˌkɒmpəˈzɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/compo/composition__gb_2.mp3
blended_learning,https://www.oxfordlearnersdictionaries.com/definition/english/blended-learning,C1,blended learning,học tập kết hợp,noun,/ˌblendɪd ˈlɜːnɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ble/blend/blended_learning_1_gb_3.mp3
continuing_education,https://www.oxfordlearnersdictionaries.com/definition/english/continuing-education,C1,continuing education,giáo dục thường xuyên,noun,/kənˌtɪnjuːɪŋ edʒuˈkeɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcont/xcontinuing_education_1_gb_1.mp3
academic_year,https://www.oxfordlearnersdictionaries.com/definition/english/academic-year,C1,academic year,năm học,noun,/ˌækədemɪk ˈjɪə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aca/acade/academic_year_1_gb_1.mp3
common_core,https://www.oxfordlearnersdictionaries.com/definition/english/common-core,C2,Common Core,Cốt lõi chung,noun,/ˌkɒmən ˈkɔː(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/commo/common_core_1_gb_1.mp3
coursebook,https://www.oxfordlearnersdictionaries.com/definition/english/coursebook,C1,coursebook,giáo trình,noun,/ˈkɔːsbʊk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/cours/coursebook__gb_1.mp3
academic_freedom,https://www.oxfordlearnersdictionaries.com/definition/english/academic-freedom,B2,academic freedom,tự do học thuật,noun,/ækəˌdemɪk ˈfriːdəm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aca/acade/academic_freedom_1_gb_1.mp3
drill,https://www.oxfordlearnersdictionaries.com/definition/english/drill_1,C2,drill,máy khoan,noun,/drɪl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dri/drill/drill__gb_3.mp3
educate,https://www.oxfordlearnersdictionaries.com/definition/english/educate,B1,educate,giáo dục,verb,/ˈedʒukeɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/edu/educa/educate__gb_1.mp3
distance_learning,https://www.oxfordlearnersdictionaries.com/definition/english/distance-learning,C1,distance learning,học từ xa,noun,/ˌdɪstəns ˈlɜːnɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/dista/distance_learning_1_gb_2.mp3
educated,https://www.oxfordlearnersdictionaries.com/definition/english/educated,B1,educated,có học thức,adjective,/ˈedʒukeɪtɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/edu/educa/educated__gb_1.mp3
educational,https://www.oxfordlearnersdictionaries.com/definition/english/educational,B1,educational,giáo dục,adjective,/ˌedʒuˈkeɪʃənl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/edu/educa/educational__gb_1.mp3
education,https://www.oxfordlearnersdictionaries.com/definition/english/education,A2,education,giáo dục,noun,/ˌedʒuˈkeɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/edu/educa/education__gb_4.mp3
esol,https://www.oxfordlearnersdictionaries.com/definition/english/esol,C2,ESOL,ESOL,abbreviation,/ˈiːsɒl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eso/esol_/esol__gb_1.mp3
edtech,https://www.oxfordlearnersdictionaries.com/definition/english/edtech,C2,EdTech,Công nghệ giáo dục,noun,/ˈedtek/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/edt/edtec/edtech_1_gb_1.mp3
essay,https://www.oxfordlearnersdictionaries.com/definition/english/essay_1,A2,essay,tiểu luận,noun,/ˈeseɪ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ess/essay/essay__gb_3.mp3
flipped_classroom,https://www.oxfordlearnersdictionaries.com/definition/english/flipped-classroom,C2,flipped classroom,lớp học đảo ngược,noun,/ˌflɪpt ˈklɑːsruːm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fli/flipp/flipped_classroom_1_gb_3.mp3
exercise,https://www.oxfordlearnersdictionaries.com/definition/english/exercise_1,A1,exercise,bài tập,noun,/ˈeksəsaɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/exe/exerc/exercise__gb_1.mp3
further_education,https://www.oxfordlearnersdictionaries.com/definition/english/further-education,B2,further education,giáo dục nâng cao,noun,/ˌfɜːðər edʒuˈkeɪʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fur/furth/further_education_1_gb_1.mp3
evening_class,https://www.oxfordlearnersdictionaries.com/definition/english/evening-class,B1,evening class,lớp học buổi tối,noun,/ˈiːvnɪŋ klɑːs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/eve/eveni/evening_class_1_gb_1.mp3
knowledge,https://www.oxfordlearnersdictionaries.com/definition/english/knowledge,A2,knowledge,kiến thức,noun,/ˈnɒlɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/k/kno/knowl/knowledge__gb_3.mp3
learn,https://www.oxfordlearnersdictionaries.com/definition/english/learn,A1,learn,học hỏi,verb,/lɜːn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lea/learn/learn__gb_1.mp3
learning,https://www.oxfordlearnersdictionaries.com/definition/english/learning,A2,learning,học hỏi,noun,/ˈlɜːnɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lea/learn/learning__gb_1.mp3
lecture,https://www.oxfordlearnersdictionaries.com/definition/english/lecture_1,A2,lecture,bài giảng,noun,/ˈlektʃə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lec/lectu/lecture__gb_2.mp3
