id,url,levels,word,translation,part_of_speech,ipa,audio_link
advice,https://www.oxfordlearnersdictionaries.com/definition/english/advice,A1,advice,khuyên bảo,noun,/ədˈvaɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advic/advice__gb_1.mp3
advise,https://www.oxfordlearnersdictionaries.com/definition/english/advise,B1,advise,khuyên nhủ,verb,/ədˈvaɪz/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advis/advise__gb_2.mp3
act_on,https://www.oxfordlearnersdictionaries.com/definition/english/act-on,C1,act on,hành động trên,phrasal verb,,
admonish,https://www.oxfordlearnersdictionaries.com/definition/english/admonish,C2,admonish,khiển trách,verb,/ədˈmɒnɪʃ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adm/admon/admonish__gb_1.mp3
advisement,https://www.oxfordlearnersdictionaries.com/definition/english/advisement,C2,advisement,lời khuyên,noun,/ədˈvaɪzmənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advis/advisement__gb_1.mp3
a_counsel_of_perfection,https://www.oxfordlearnersdictionaries.com/definition/english/counsel_1,C2,a counsel of perfection,lời khuyên của sự hoàn hảo,noun,/ˈkaʊnsl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/couns/counsel__gb_1.mp3
advice_column,https://www.oxfordlearnersdictionaries.com/definition/english/advice-column,B1,advice column,chuyên mục tư vấn,noun,/ədˈvaɪs kɒləm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advic/advice_column_1_gb_1.mp3
advice_columnist,https://www.oxfordlearnersdictionaries.com/definition/english/advice-columnist,C1,advice columnist,chuyên mục tư vấn,noun,/ədˈvaɪs kɒləmnɪst/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advic/advice_columnist_1_gb_1.mp3
a_counsel_of_despair,https://www.oxfordlearnersdictionaries.com/definition/english/counsel_1,C2,a counsel of despair,lời khuyên tuyệt vọng,noun,/ˈkaʊnsl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/couns/counsel__gb_1.mp3
act_upon,https://www.oxfordlearnersdictionaries.com/definition/english/act-upon,C1,act upon,hành động theo,phrasal verb,,
adviser,https://www.oxfordlearnersdictionaries.com/definition/english/adviser,B1,adviser,cố vấn,noun,/ədˈvaɪzə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advis/adviser__gb_1.mp3
advisory,https://www.oxfordlearnersdictionaries.com/definition/english/advisory_1,C2,advisory,tư vấn,adjective,/ədˈvaɪzəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advis/advisory__gb_1.mp3
after-sales_service,https://www.oxfordlearnersdictionaries.com/definition/english/after-sales-service,C1,after-sales service,dịch vụ sau bán hàng,noun,/ˌɑːftə ˌseɪlz ˈsɜːvɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aft/after/after_sales_service_1_gb_1.mp3
careline,https://www.oxfordlearnersdictionaries.com/definition/english/careline,C2,careline,đường chăm sóc,noun,/ˈkeəlaɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/car/carel/careline__gb_1.mp3
assessor,https://www.oxfordlearnersdictionaries.com/definition/english/assessor,C2,assessor,giám định viên,noun,/əˈsesə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ass/asses/assessor__gb_1.mp3
caution,https://www.oxfordlearnersdictionaries.com/definition/english/caution_1,C1,caution,thận trọng,noun,/ˈkɔːʃn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cau/cauti/caution__gb_2.mp3
aftercare,https://www.oxfordlearnersdictionaries.com/definition/english/aftercare,C2,aftercare,chăm sóc sau,noun,/ˈɑːftəkeə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aft/after/aftercare__gb_1.mp3
cautionary,https://www.oxfordlearnersdictionaries.com/definition/english/cautionary,C2,cautionary,cảnh báo,adjective,/ˈkɔːʃənəri/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cau/cauti/cautionary__gb_1.mp3
commend,https://www.oxfordlearnersdictionaries.com/definition/english/commend,C2,commend,khen ngợi,verb,/kəˈmend/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/com/comme/commend__gb_1.mp3
consult,https://www.oxfordlearnersdictionaries.com/definition/english/consult,B2,consult,tham khảo ý kiến,verb,/kənˈsʌlt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconsult__gb_3.mp3
agony_aunt,https://www.oxfordlearnersdictionaries.com/definition/english/agony-aunt,C2,agony aunt,dì đau đớn,noun,/ˈæɡəni ɑːnt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ago/agony/agony_aunt_1_gb_1.mp3
agony_column,https://www.oxfordlearnersdictionaries.com/definition/english/agony-column,C2,agony column,cột đau đớn,noun,/ˈæɡəni kɒləm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ago/agony/agony_column_1_gb_1.mp3
agony_uncle,https://www.oxfordlearnersdictionaries.com/definition/english/agony-uncle,C2,agony uncle,chú đau đớn,noun,/ˈæɡəni ʌŋkl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ago/agony/agony_uncle_1_gb_1.mp3
consultant,https://www.oxfordlearnersdictionaries.com/definition/english/consultant,B2,consultant,tư vấn,noun,/kənˈsʌltənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconsultant__gb_1.mp3
counsel,https://www.oxfordlearnersdictionaries.com/definition/english/counsel_1,C2,counsel,lời khuyên,noun,/ˈkaʊnsl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/couns/counsel__gb_1.mp3
counsel,https://www.oxfordlearnersdictionaries.com/definition/english/counsel_2,C2,counsel,lời khuyên,verb,/ˈkaʊnsl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/couns/counsel__gb_1.mp3
counselling,https://www.oxfordlearnersdictionaries.com/definition/english/counselling,C1,counselling,tư vấn,noun,/ˈkaʊnsəlɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/couns/counselling__gb_1.mp3
counsellor,https://www.oxfordlearnersdictionaries.com/definition/english/counsellor,C1,counsellor,cố vấn,noun,/ˈkaʊnsələ(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/couns/counsellor__gb_1.mp3
feedback,https://www.oxfordlearnersdictionaries.com/definition/english/feedback,B2,feedback,nhận xét,noun,/ˈfiːdbæk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fee/feedb/feedback__gb_2.mp3
enjoin,https://www.oxfordlearnersdictionaries.com/definition/english/enjoin,C2,enjoin,ra lệnh,verb,/ɪnˈdʒɔɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/enj/enjoi/enjoin__gb_1.mp3
don’t_blame_me,https://www.oxfordlearnersdictionaries.com/definition/english/blame_1,C2,don’t blame me,đừng trách tôi,verb,/bleɪm/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bla/blame/blame__gb_2.mp3
consultancy,https://www.oxfordlearnersdictionaries.com/definition/english/consultancy,C1,consultancy,tư vấn,noun,/kənˈsʌltənsi/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcons/xconsultancy__gb_1.mp3
follow,https://www.oxfordlearnersdictionaries.com/definition/english/follow,A2,follow,theo,verb,/ˈfɒləʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/fol/follo/follow__gb_1.mp3
guide,https://www.oxfordlearnersdictionaries.com/definition/english/guide_1,B2,guide,hướng dẫn,noun,/ɡaɪd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gui/guide/guide__gb_3.mp3
guidance,https://www.oxfordlearnersdictionaries.com/definition/english/guidance,C1,guidance,hướng dẫn,noun,/ˈɡaɪdns/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gui/guida/guidance__gb_2.mp3
guiding,https://www.oxfordlearnersdictionaries.com/definition/english/guiding,C1,guiding,hướng dẫn,adjective,/ˈɡaɪdɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/g/gui/guidi/guiding__gb_3.mp3
hand_out,https://www.oxfordlearnersdictionaries.com/definition/english/hand-out,C1,hand out,trao,phrasal verb,,
have_to,https://www.oxfordlearnersdictionaries.com/definition/english/have-to,A2,have to,phải,modal verb,/ˈhæv tə/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hav/have_/have_to_1_gb_1.mp3
help,https://www.oxfordlearnersdictionaries.com/definition/english/help_2,A2,help,giúp đỡ,noun,/help/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hel/help_/help__gb_1.mp3
helpline,https://www.oxfordlearnersdictionaries.com/definition/english/helpline,B2,helpline,đường dây trợ giúp,noun,/ˈhelplaɪn/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hel/helpl/helpline__gb_1.mp3
heed,https://www.oxfordlearnersdictionaries.com/definition/english/heed_1,C2,heed,chú ý,verb,/hiːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hee/heed_/heed__gb_1.mp3
how-to,https://www.oxfordlearnersdictionaries.com/definition/english/how-to_1,C1,how-to,làm cách nào để,adjective,/ˌhaʊ ˈtuː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/how/how_t/how_to_1_gb_2.mp3
how-to,https://www.oxfordlearnersdictionaries.com/definition/english/how-to_2,C1,how-to,làm cách nào để,noun,/ˌhaʊ ˈtuː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/how/how_t/how_to_1_gb_2.mp3
heads-up,https://www.oxfordlearnersdictionaries.com/definition/english/heads-up,C2,heads-up,cảnh báo,noun,/ˌhedz ˈʌp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hea/heads/heads_up_1_gb_3.mp3
if_in_doubt,https://www.oxfordlearnersdictionaries.com/definition/english/doubt_1,C2,if in doubt,nếu nghi ngờ,noun,/daʊt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dou/doubt/doubt__gb_1.mp3
if_i_was/were_in_your_place,https://www.oxfordlearnersdictionaries.com/definition/english/place_1,C1,if I was/were in your place,nếu tôi đã/đang ở vị trí của bạn,noun,/pleɪs/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/pla/place/place__gb_1.mp3
indicate,https://www.oxfordlearnersdictionaries.com/definition/english/indicate,C2,indicate,biểu thị,verb,/ˈɪndɪkeɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ind/indic/indicate__gb_2.mp3
mentee,https://www.oxfordlearnersdictionaries.com/definition/english/mentee,C2,mentee,người cố vấn,noun,/ˌmenˈtiː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/men/mente/mentee__gb_1.mp3
homily,https://www.oxfordlearnersdictionaries.com/definition/english/homily,C2,homily,bài giảng,noun,/ˈhɒməli/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/h/hom/homil/homily__gb_1.mp3
inadvisable,https://www.oxfordlearnersdictionaries.com/definition/english/inadvisable,C2,inadvisable,không nên khuyên,adjective,/ˌɪnədˈvaɪzəbl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/i/ina/inadv/inadvisable__gb_1.mp3
marriage_counselling,https://www.oxfordlearnersdictionaries.com/definition/english/marriage-counselling,C2,marriage counselling,tư vấn hôn nhân,noun,/ˈmærɪdʒ kaʊnsəlɪŋ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mar/marri/marriage_counselling_1_gb_2.mp3
