id,url,levels,word,translation,part_of_speech,ipa,audio_link
amp,https://www.oxfordlearnersdictionaries.com/definition/english/amp,C2,amp,amp,noun,/æmp/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/amp/amp__/amp__gb_1.mp3
bandwidth,https://www.oxfordlearnersdictionaries.com/definition/english/bandwidth,C2,bandwidth,băng thông,noun,/ˈbændwɪdθ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/ban/bandw/bandwidth__gb_4.mp3
ammeter,https://www.oxfordlearnersdictionaries.com/definition/english/ammeter,C2,ammeter,ampe kế,noun,/ˈæmiːtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/amm/ammet/ammeter__gb_1.mp3
analogue,https://www.oxfordlearnersdictionaries.com/definition/english/analogue_1,C1,analogue,tương tự,adjective,/ˈænəlɒɡ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ana/analo/analogue__gb_1.mp3
capacitor,https://www.oxfordlearnersdictionaries.com/definition/english/capacitor,C2,capacitor,tụ điện,noun,/kəˈpæsɪtə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cap/capac/capacitor__gb_1.mp3
circuit,https://www.oxfordlearnersdictionaries.com/definition/english/circuit,B2,circuit,mạch điện,noun,/ˈsɜːkɪt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cir/circu/circuit__gb_1.mp3
circuit_board,https://www.oxfordlearnersdictionaries.com/definition/english/circuit-board,C2,circuit board,bảng mạch,noun,/ˈsɜːkɪt bɔːd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cir/circu/circuit_board_1_gb_1.mp3
ac,https://www.oxfordlearnersdictionaries.com/definition/english/ac,C2,AC,AC,abbreviation,/ˌeɪ ˈsiː/,
blow,https://www.oxfordlearnersdictionaries.com/definition/english/blow_1,C2,blow,thổi,verb,/bləʊ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/blo/blow_/blow__gb_2.mp3
circuit_breaker,https://www.oxfordlearnersdictionaries.com/definition/english/circuit-breaker,C2,circuit breaker,ngắt mạch,noun,/ˈsɜːkɪt breɪkə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cir/circu/circuit_breaker_1_gb_1.mp3
amperage,https://www.oxfordlearnersdictionaries.com/definition/english/amperage,C2,amperage,cường độ dòng điện,noun,/ˈæmpərɪdʒ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/amp/amper/amperage__gb_1.mp3
coax,https://www.oxfordlearnersdictionaries.com/definition/english/coax_2,C2,coax,dỗ dành,adjective,/ˈkəʊæks/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coa/coax_/coax__gb_2.mp3
coaxial,https://www.oxfordlearnersdictionaries.com/definition/english/coaxial,C2,coaxial,đồng trục,adjective,/kəʊˈæksiəl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/coa/coaxi/coaxial__gb_1.mp3
condenser,https://www.oxfordlearnersdictionaries.com/definition/english/condenser,C2,condenser,bình ngưng,noun,/kənˈdensə(r)/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcond/xcondenser__gb_1.mp3
conduct,https://www.oxfordlearnersdictionaries.com/definition/english/conduct_1,C1,conduct,chỉ đạo,verb,/kənˈdʌkt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xcond/xconduct__gb_4.mp3
connect,https://www.oxfordlearnersdictionaries.com/definition/english/connect,A2,connect,kết nối,verb,/kəˈnekt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/x/xco/xconn/xconnect__gb_1.mp3
current,https://www.oxfordlearnersdictionaries.com/definition/english/current_2,B2,current,hiện hành,noun,/ˈkʌrənt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cur/curre/current__gb_4.mp3
dc,https://www.oxfordlearnersdictionaries.com/definition/english/dc,C2,DC,DC,abbreviation,/ˌdiː ˈsiː/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dc_/dc__g/dc__gb_1.mp3
diode,https://www.oxfordlearnersdictionaries.com/definition/english/diode,C2,diode,điốt,noun,/ˈdaɪəʊd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dio/diode/diode__gb_1.mp3
electrode,https://www.oxfordlearnersdictionaries.com/definition/english/electrode,C1,electrode,điện cực,noun,/ɪˈlektrəʊd/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ele/elect/electrode__gb_1.mp3
electronics,https://www.oxfordlearnersdictionaries.com/definition/english/electronics,B2,electronics,thiết bị điện tử,noun,/ɪˌlekˈtrɒnɪks/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ele/elect/electronics__gb_2.mp3
disconnect,https://www.oxfordlearnersdictionaries.com/definition/english/disconnect_1,C1,disconnect,ngắt kết nối,verb,/ˌdɪskəˈnekt/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dis/disco/disconnect__gb_1.mp3
electric,https://www.oxfordlearnersdictionaries.com/definition/english/electric_1,A2,electric,điện,adjective,/ɪˈlektrɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ele/elect/electric__gb_1.mp3
electricity,https://www.oxfordlearnersdictionaries.com/definition/english/electricity,A2,electricity,điện,noun,/ɪˌlekˈtrɪsəti/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ele/elect/electricity__gb_1.mp3
electronic,https://www.oxfordlearnersdictionaries.com/definition/english/electronic,A2,electronic,điện tử,adjective,/ɪˌlekˈtrɒnɪk/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ele/elect/electronic__gb_2.mp3
electrical,https://www.oxfordlearnersdictionaries.com/definition/english/electrical,A2,electrical,điện,adjective,/ɪˈlektrɪkl/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ele/elect/electrical__gb_2.mp3
earth,https://www.oxfordlearnersdictionaries.com/definition/english/earth_1,C2,earth,trái đất,noun,/ɜːθ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ear/earth/earth__gb_1.mp3
earth,https://www.oxfordlearnersdictionaries.com/definition/english/earth_2,C2,earth,trái đất,verb,/ɜːθ/,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/e/ear/earth/earth__gb_1.mp3
